/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_3.0_bud_180_20-07-14-09-54/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=336 | return=-69.73 | steps=42
global_step=544 | return=-113.93 | steps=68
global_step=992 | return=-70.58 | steps=124
global_step=1048 | return=-171.43 | steps=131
global_step=1048 | return=-159.43 | steps=131
global_step=1048 | return=-159.43 | steps=131
global_step=1048 | return=-162.43 | steps=131
global_step=1048 | return=-150.43 | steps=131
global_step=1392 | return=-159.43 | steps=131
global_step=1720 | return=-97.71 | steps=146
global_step=2048 | return=-171.43 | steps=131
global_step=2104 | return=-168.43 | steps=131
global_step=2104 | return=-147.43 | steps=131
global_step=2104 | return=-171.43 | steps=131
global_step=2104 | return=-162.43 | steps=131
global_step=2104 | return=-165.43 | steps=131
global_step=2448 | return=-159.43 | steps=131
global_step=3048 | return=-124.78 | steps=117
global_step=3160 | return=-186.43 | steps=131
global_step=3160 | return=-171.43 | steps=131
global_step=3160 | return=-168.43 | steps=131
global_step=3160 | return=-153.43 | steps=131
global_step=3504 | return=-162.43 | steps=131
global_step=4064 | return=-98.43 | steps=112
global_step=4096, SPS=20
global_step=4104 | return=-159.43 | steps=131
global_step=4216 | return=-159.43 | steps=131
global_step=4216 | return=-171.43 | steps=131
global_step=4216 | return=-159.43 | steps=131
global_step=4560 | return=-140.15 | steps=131
global_step=4608 | return=-218.44 | steps=360
global_step=4816 | return=-103.46 | steps=345
global_step=5120 | return=-168.43 | steps=131
global_step=5272 | return=-168.43 | steps=131
global_step=5272 | return=-162.43 | steps=131
global_step=5272 | return=-168.43 | steps=131
global_step=5400 | return=-111.93 | steps=161
global_step=5616 | return=-174.43 | steps=131
global_step=5664 | return=-171.43 | steps=131
global_step=6016 | return=-94.53 | steps=149
global_step=6328 | return=-156.43 | steps=131
global_step=6328 | return=-168.43 | steps=131
global_step=6328 | return=-162.43 | steps=131
global_step=6456 | return=-162.43 | steps=131
global_step=6672 | return=-180.43 | steps=131
global_step=6720 | return=-177.43 | steps=131
global_step=7072 | return=-156.43 | steps=131
global_step=7384 | return=-168.43 | steps=131
global_step=7384 | return=-152.15 | steps=131
global_step=7512 | return=-113.26 | steps=147
global_step=7512 | return=-153.43 | steps=131
global_step=7728 | return=-150.43 | steps=131
global_step=7744 | return=-325.58 | steps=327
global_step=7928 | return=-162.58 | steps=150
global_step=7984 | return=-69.10 | steps=58
global_step=8128 | return=-165.43 | steps=131
global_step=8192, SPS=20
global_step=8304 | return=-107.35 | steps=69
global_step=8440 | return=-153.43 | steps=131
global_step=8440 | return=-165.43 | steps=131
global_step=8440 | return=-93.73 | steps=63
global_step=8552 | return=-188.53 | steps=129
global_step=8624 | return=-30.38 | steps=61
global_step=8784 | return=-168.43 | steps=131
global_step=9040 | return=-174.43 | steps=131
global_step=9392 | return=-142.18 | steps=135
global_step=9496 | return=-168.43 | steps=131
global_step=9640 | return=-139.18 | steps=135
global_step=9656 | return=-202.40 | steps=151
global_step=9680 | return=-168.43 | steps=131
global_step=9840 | return=-153.43 | steps=131
global_step=10120 | return=-144.43 | steps=134
