/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.3_bud_180_22-07-13-02-38/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=7360 | return=10.15 | steps=64 | track=b367050cb80ce17065b832f75f1c421b
global_step=7424 | return=-155.91 | steps=131 | track=14500616ef04b2d2e2cc87cc1a310719
global_step=7552 | return=-154.63 | steps=131 | track=8b0b321cd05b81b228120b0abc9cd8a7
global_step=7824 | return=-83.75 | steps=94 | track=ff1d62f96a3c44de8725964b23f912d4
global_step=7920 | return=-162.12 | steps=131 | track=fdb79c9cc925dc795c53d50e37d9174f
global_step=7936 | return=-150.50 | steps=131 | track=0c7fd93e40a01deb469703b99afad5fb
global_step=8208 | return=-155.33 | steps=131 | track=9eeb44dedbf6dfa158dae05b9e0afda3
global_step=8592 | return=-57.38 | steps=41 | track=6692bbe773a1b5b65429e2e3cd4a8301
global_step=8656 | return=30.63 | steps=68 | track=3b1d5387b5dd48591f186c91c6090326
global_step=8736 | return=-154.63 | steps=131 | track=ca34906afacbaabf31c97fe795e7a05b
global_step=8752 | return=-66.88 | steps=153 | track=1984a16676d408034ecf64fc0d1ffcf5
global_step=8768 | return=-81.95 | steps=152 | track=02a91277d5779f48e507de945222e11f
global_step=8944 | return=-168.70 | steps=131 | track=32485a290b68f26c4f0b387c68684a3b
global_step=9344 | return=-154.12 | steps=131 | track=48387268760dab7085ab09b8264a5026
global_step=9392 | return=-22.07 | steps=73 | track=351c98f5820c1cb99c3cd9db5105dc43
global_step=9424 | return=-148.20 | steps=131 | track=6c620272a6a1046032125d4c283c3d6c
global_step=9440 | return=-149.47 | steps=131 | track=739cf8cfe0c7aaa1194b9f53d2446cc1
global_step=9536 | return=-151.44 | steps=131 | track=4833a7ba7f749587b01a30e1edaa8fb1
global_step=10048 | return=-138.29 | steps=131 | track=4ef38b2d8955b445cf835c23dc177dba
global_step=10176 | return=-66.00 | steps=46 | track=ddc040e3b7a86cf40e03f5fd7855027b
global_step=10400 | return=-87.52 | steps=102 | track=affab564e27c2df183cb43f74125f1ad
global_step=10448 | return=-41.85 | steps=192 | track=4d9beb59cda1f84e9ad92787d05e9163
global_step=10464 | return=-13.03 | steps=243 | track=e5f0e96f89bb79452b3fd807df2c56eb
global_step=10528 | return=-24.05 | steps=70 | track=788fc229a266c4ae6418f0a9a17edd3c
global_step=10608 | return=-107.78 | steps=173 | track=f7d8abf8a63e069d845d75f42c791889
global_step=10704 | return=-146.95 | steps=131 | track=ab3e70feeb05b15ade5ec342d5f805aa
global_step=10832 | return=-147.38 | steps=130 | track=6b576898431a00613cb0d768f108b89e
global_step=11056 | return=-153.73 | steps=131 | track=6f389a9b9d0c815bf5a159dc49c478a3
