/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.0_bud_180_22-07-13-02-35/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=27632 | return=-139.90 | steps=131 | track=f63a3716e1fe907e3bdacbd7d1b774ad
global_step=27648 | return=-155.58 | steps=129 | track=735b7c6b51d7ff2993b70fb198a9c684
global_step=27872 | return=-153.91 | steps=131 | track=f043c46f11ab9fbd55b9275650bdd483
global_step=27888 | return=-148.13 | steps=131 | track=e491a2c0a5b4c8b369fd1d7a3ce581fd
global_step=27920 | return=-89.72 | steps=146 | track=4c15b59ebda3e5c9d979d8a53b726e84
global_step=27952 | return=-140.70 | steps=131 | track=27cb8c2634bd04eeae259c3575654dde
global_step=28032 | return=-249.52 | steps=381 | track=97f5fa7af1f1e3708262f04c52bfb463
global_step=28112 | return=-150.50 | steps=131 | track=3333ddbff5b399dd616c1c5e7efc0eb3
global_step=28400 | return=-10.83 | steps=47 | track=b52b4882494f332e9ec4c3df3e428965
global_step=28496 | return=-139.43 | steps=131 | track=4c534d18a4eae8a7e3cd486df4078217
global_step=28784 | return=16.21 | steps=70 | track=5bacf2daefa258af47c5c435cea87ec7
global_step=28976 | return=5.71 | steps=68 | track=571d4e16e5f41e2344a582f1021156ca
global_step=29040 | return=-17.28 | steps=71 | track=43e41886ba2ac4e8103c65f8775bd2e2
global_step=29152 | return=-135.20 | steps=131 | track=aa7096acd6a01462803adb22ea32bf02
global_step=29232 | return=-145.20 | steps=131 | track=977cec08d2b322a47e5e66c425779ffa
global_step=29360 | return=-156.16 | steps=131 | track=d07cbd6ad5d0cc785458e994ba34ebc1
global_step=29488 | return=-156.67 | steps=131 | track=4ba3b0d97d5e40db4e6ff3fa0e411713
global_step=29488 | return=-146.81 | steps=131 | track=9cf1421032e9cd9147bbeaa038ef8f73
global_step=29664 | return=-145.99 | steps=131 | track=8610d8db8949ea061077580169eed015
global_step=29760 | return=-35.67 | steps=60 | track=ecf47cc3586431f41c9ee37fcb9b72e3
global_step=30000 | return=-113.44 | steps=183 | track=b305978fc83caa9dde0d50679f5de7c4
global_step=30032 | return=-139.20 | steps=131 | track=dc4edc014ad6962599181f5fe209d795
global_step=30064 | return=-155.97 | steps=131 | track=5feb580ada5e7cd8eb0cfe48e2aeef47
global_step=30144 | return=-155.78 | steps=131 | track=cf6b3086f63d3960855511da56fb6616
global_step=30224 | return=-140.00 | steps=131 | track=4f8138501b01969879eae2f2f125f576
global_step=30384 | return=-36.99 | steps=83 | track=cbf63985d9cbc73b28b8f5986229d369
global_step=30448 | return=-74.10 | steps=59 | track=3e4c938c982fc5144e6638327d0e68f0
global_step=30608 | return=-142.01 | steps=131 | track=7cd280f4ae53ad425f65eae495505c94
global_step=30672 | return=-70.12 | steps=73 | track=723ae991a9343a6ab395d442ba139d06
global_step=30864 | return=-25.01 | steps=117 | track=1011a28bc4ebaad3be395c905c133fee
global_step=31248 | return=-144.99 | steps=130 | track=6c82fa88163f7598dcbd05d4db355e38
global_step=31776 | return=-140.46 | steps=131 | track=5ffba7e1cfaefda30ade39f0c8569a3c
global_step=32000 | return=-7.18 | steps=172 | track=53f09368e38c61a82fe07ed77a52c424
global_step=32144 | return=-154.35 | steps=131 | track=7427ea50e42b5968e5020f0d16995b1c
global_step=32176 | return=-149.40 | steps=131 | track=3f391747db10d5e18170b6a8c89ff047
global_step=32240 | return=-132.17 | steps=130 | track=f30c0fc3171eaa40dc3b2d16aed411ca
global_step=32368 | return=-102.42 | steps=147 | track=c10d55a9dd82e9ba7c125f97cfc9fb97
global_step=32528 | return=-34.73 | steps=129 | track=64d8dcbcca2ed01a673d836a7b18c6b4
global_step=32752 | return=-219.05 | steps=271 | track=6e19dcd0e0de8f5ac54f3b5fd795a7cb
global_step=32768, SPS=79
global_step=32784 | return=-137.75 | steps=131 | track=b8b325579064fe2d5fd208b320de8a64
global_step=32832 | return=-37.84 | steps=152 | track=dd6c82cb8682b7f0942dae65ee7f0d76
global_step=32912 | return=-121.06 | steps=143 | track=99938fc2d0bd05383867e41b2b658c64
global_step=32976 | return=-128.62 | steps=225 | track=65156a1e865e545bbb0c44722ba0377d
global_step=32976 | return=-136.98 | steps=131 | track=448df1143b0e7dea78e926c5a936cb8f
global_step=32976 | return=48.41 | steps=171 | track=b2e0632e99e5045ea3204c7b868e23c1
global_step=33120 | return=-12.69 | steps=60 | track=8744dbe2c56fba56bffbb9b26794e621
global_step=33360 | return=-161.90 | steps=131 | track=a286fae9596de9ce8af6449f8c90a692
global_step=33712 | return=-111.79 | steps=246 | track=c24b3ec1d3dfa5e0552772bb7059d127
global_step=33808 | return=-3.64 | steps=63 | track=f831668a6832f11e73f290c831c2bbcd
global_step=33824 | return=0.23 | steps=61 | track=cae4834e45211383052949a82f329401
global_step=33856 | return=-25.95 | steps=45 | track=b270613005100e63199cbf160b203e1f
global_step=33888 | return=-138.76 | steps=131 | track=050c933ed9ea7ba2d5fcd904eeb2f81c
global_step=34016 | return=-13.27 | steps=68 | track=daae6d9eacd2b29576e0ee333a11d7f1
global_step=34112 | return=-146.98 | steps=131 | track=c23039dd576b1a93be8edc84a90bbe0b
global_step=34288 | return=-146.55 | steps=131 | track=fecbdcf131d2f79a6044b49353a2606d
global_step=34352 | return=-130.94 | steps=131 | track=3d4934d5f0a3c5ae52dc1be254960857
global_step=34480 | return=-163.20 | steps=131 | track=fd7586556ebeb79f40cd436413de1d8d
