/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_5.0_bud_180_22-07-13-02-43/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=4592 | return=-59.62 | steps=155 | track=c2a2308d7869c19d7109ada7e23f16e3
global_step=5024 | return=-216.95 | steps=183 | track=8a1354d27ff13d74770fcd0a643a896e
global_step=5200 | return=-41.28 | steps=61 | track=5b20d0180124dfe126528003d9d4d015
global_step=5200 | return=-161.80 | steps=130 | track=cc078bd5f329d8a0db7b76f776caa2f6
global_step=5696 | return=-19.67 | steps=68 | track=b5f6d7e7ba35344802c6f984165f5a53
global_step=6128 | return=-183.98 | steps=131 | track=75a0da4b6d4a9c76af9de2ae8d02753b
global_step=6208 | return=-190.87 | steps=237 | track=a786d01b2f76a0e9422805f844b897e1
global_step=6224 | return=-18.23 | steps=63 | track=e7119e4bd81fb46f757a4ae925b1bf3c
global_step=6240 | return=-158.90 | steps=126 | track=8592b4170470e9b7fdc8803f667f7d60
global_step=6272 | return=-204.51 | steps=130 | track=86f52f2bc9c7ba5456b5e3f3c535c277
global_step=6288 | return=-171.40 | steps=130 | track=e6807e9070ffb60e139258addd06f64f
global_step=6320 | return=-184.39 | steps=131 | track=2ed4ea0952afdac39f6a1d9d09ae312a
global_step=6320 | return=-180.41 | steps=131 | track=0d3ec25683c1e79f9deb8622ac3eb3dd
global_step=6384 | return=-130.36 | steps=135 | track=fa7b456c80e75b2579c67df330d234ef
global_step=6528 | return=-190.16 | steps=130 | track=e73feebaf4091370c5ade189d8c49b9c
global_step=6592 | return=-175.90 | steps=131 | track=d6446758d547ca8e20714c8f286698f8
global_step=6960 | return=-71.56 | steps=46 | track=923d30eeae247fc22fcc30a2cf5a4d6c
global_step=7136 | return=-173.46 | steps=131 | track=4cbca81cf0dc7262f964d644420fbe82
global_step=7296 | return=-131.95 | steps=173 | track=ebb978df68e8e369d0d4961e77bc67d5
global_step=7312 | return=-195.11 | steps=197 | track=d2598a1e9aca2a013433ceae2cb8be2a
global_step=7312 | return=-164.86 | steps=131 | track=a3219edbf457d3c0bf445b1d2d5882bf
global_step=7584 | return=-13.50 | steps=74 | track=aa12102a37ce08406cccf89934b740d5
global_step=7808 | return=-218.82 | steps=131 | track=debd1a76a38d8d1d03c7aaaf01319fe0
global_step=8240 | return=-164.80 | steps=131 | track=613a09b56d419dfb0ca38ef4dc4cb3f7
global_step=8352 | return=-182.25 | steps=131 | track=c26239564428176abcff7043f05197ef
global_step=8400 | return=-195.94 | steps=131 | track=b0742153fa8fd3132af2faf9e07c7b0d
global_step=8432 | return=-156.13 | steps=131 | track=11f433e383107557b669a50a9dcc9c7c
global_step=8432 | return=-179.60 | steps=131 | track=9481a72b509b37d9d08b7ef4990ab5f2
global_step=8560 | return=-156.63 | steps=142 | track=25faa64fc1a924cb26a4062bd8331a6b
global_step=8640 | return=-123.60 | steps=150 | track=668214fabc9f93b47a585b768ba251e5
global_step=8704 | return=-198.34 | steps=131 | track=b6be535f9fb4aa9a4e2de09b77f3fe36
global_step=8816 | return=-29.62 | steps=62 | track=52b86c61ac5df5d8724959072f606a7b
global_step=9072 | return=-163.26 | steps=131 | track=15b0cf9b6f6ca8e82eb134c0c84a48f1
global_step=9360 | return=-166.96 | steps=138 | track=67b2ffa9e69bb81fbcb9dcf25db4e3d3
global_step=9376 | return=-154.67 | steps=177 | track=24f1361439a118d17586ca113a0ce11e
global_step=9408 | return=-184.73 | steps=130 | track=dd2cd0da350f251039ab162fdbf912f4
