/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.1_bud_180_22-07-13-02-36/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=7216 | return=-147.79 | steps=130 | track=5733e63766df51f76b439ba24c722198
global_step=7328 | return=-143.50 | steps=131 | track=5b59fc05bf2f9ba6ee68caea1c2688f9
global_step=7344 | return=-142.90 | steps=131 | track=33278392717abd862d7fe459e29dec58
global_step=7712 | return=-138.45 | steps=131 | track=7c212a5ba5ccb0237361e15ffc7c36d5
global_step=7776 | return=-91.05 | steps=91 | track=62bd1db496ee23f8a33a6fe367eda872
global_step=7776 | return=-67.49 | steps=91 | track=943ab955b85ca148c5cad4094491ea58
global_step=8240 | return=-44.90 | steps=80 | track=e8c9654dadb22618d706b76dc970657b
global_step=8288 | return=-38.09 | steps=58 | track=2334050897958ec0dcb7fbb24d5bcfb8
global_step=8400 | return=16.26 | steps=66 | track=da82028969f13ee2711207df93c593e8
global_step=8416 | return=-161.22 | steps=130 | track=fbb175a96f70343cc48a0610ea2c4f00
global_step=8416 | return=-159.73 | steps=131 | track=10a4ce51ff8164192a6de903f997d2dd
global_step=8432 | return=-148.96 | steps=131 | track=d764ef72f4062cdb6f5fa57c57d22dde
global_step=8432 | return=-142.73 | steps=131 | track=8c440a12773fd90456fdfbbba9edc981
global_step=8528 | return=-56.35 | steps=46 | track=b84a5d3be8b14e9768b8db6bfec8fbd3
global_step=8608 | return=-141.91 | steps=131 | track=bf5b1535929ccf642cbd3b75eacd74cd
global_step=8768 | return=-33.10 | steps=61 | track=915d540d54beec512149b2270381837b
global_step=8784 | return=-51.53 | steps=153 | track=d27474d7a8c845c8800e1700e73eacf2
global_step=8816 | return=-152.91 | steps=131 | track=e9b2d783929b6f9a0bf004ee7d99b49b
global_step=8960 | return=-141.27 | steps=131 | track=83fc0861908d017c9627279c10f68e59
global_step=9200 | return=-78.92 | steps=159 | track=12db824b100739fb62c81ca7692bfa8d
global_step=9312 | return=-54.43 | steps=48 | track=717c04b6c76eeaaa4d1e4d8f699ceca5
global_step=9312 | return=-153.04 | steps=130 | track=06c15de46e9666ff2313c441a112d2ad
global_step=9872 | return=30.85 | steps=65 | track=7666fc7c7d334847285c9ec85dacaeb7
global_step=10064 | return=-1.14 | steps=68 | track=fb0806a77e48225ddef33b883a83d6e8
global_step=10512 | return=-142.20 | steps=131 | track=5ed62f4c6efb1a9033ff5f7f3d4c48e8
global_step=10512 | return=-145.64 | steps=130 | track=99a0c01a900a26ddc90dbf008e3c7273
global_step=10880 | return=-146.50 | steps=130 | track=3ec32550bc7f1e208e548ac017e18745
global_step=10880 | return=-149.89 | steps=131 | track=70cff68d8bc1e4cc114540adb0220214
global_step=10880 | return=-58.64 | steps=152 | track=b9e4f759d885a241b33024ed6c9590b4
global_step=10928 | return=8.94 | steps=65 | track=70b9b10ebbdf2ff4a2dc58634aafbfe1
global_step=11072 | return=-131.31 | steps=209 | track=199aa60f9ada7ac3965a7534da7a6f83
global_step=11136 | return=-107.59 | steps=177 | track=c753c0c1fe3a92ffaa7e01bcc3ac5867
global_step=11312 | return=-144.50 | steps=131 | track=ebc6a9b4a91f76bc5c3f627261ed132b
global_step=11424 | return=-156.56 | steps=131 | track=e8f86339bfaa5eb503d294e3cb504969
global_step=11712 | return=-105.94 | steps=193 | track=ac168f505e44f5dd549552b4e4b5440c
global_step=11872 | return=-99.86 | steps=159 | track=1c6d1c659b53ccf2950d91effa8dfbeb
global_step=11920 | return=9.44 | steps=64 | track=78889c5016aac0fb161b3d31a650f607
global_step=12016 | return=-19.43 | steps=70 | track=011379ea4a875e23a032f7f099f31180
global_step=12160 | return=5.27 | steps=63 | track=e42007083dc2fd1f0b6f713e7c02ebd5
global_step=12176 | return=-135.70 | steps=131 | track=0e93ef8ecd263316354993ded58054a2
global_step=12304 | return=-174.91 | steps=241 | track=e0561ba97895142118d368c3ecf8d9fb
global_step=12608 | return=-152.87 | steps=130 | track=e14f2752bd921edd33d91d1ae3236a95
global_step=12624 | return=-145.99 | steps=131 | track=ac3611e2363fb8025c8ec4c49777beac
global_step=12688 | return=-174.65 | steps=266 | track=8c2113143d00afd9d26b3b5c92f7e1ab
global_step=12864 | return=-244.71 | steps=288 | track=ec76e1118b907f06df42e68ecd6000fd
global_step=12992 | return=-170.68 | steps=131 | track=6b9fad53b78d1326e2aec2203308ad80
global_step=13040 | return=-147.81 | steps=131 | track=490242ebfbaca18c70359aa0856fc1cf
global_step=13152 | return=142.92 | steps=79 | track=9f5f9ed392ac8a85fb9a4e331396ac89
global_step=13184 | return=-144.71 | steps=131 | track=06e4b2312f1a0f939312d90849997c8f
global_step=13664 | return=-78.52 | steps=146 | track=95a6ea66c78b9f28de57c367e4f33d37
global_step=13744 | return=-93.62 | steps=144 | track=8c2cd01fda450745789034df06a19277
global_step=13744 | return=23.83 | steps=69 | track=45570507e3fe2c5decc386884a6eb0c4
global_step=13824 | return=-142.61 | steps=131 | track=120add862cb2304c53cd6ff3f21e7fc0
global_step=13856 | return=-22.34 | steps=61 | track=bc423a5ca7bf3d21156d39b02ba2373b
global_step=14032 | return=-142.83 | steps=131 | track=56c2c48fb56fc60bcdce5ae1bf2b1efc
global_step=14288 | return=-127.98 | steps=131 | track=2de4172cd613ccbbdaf4d50fc3d5413f
global_step=14416 | return=-173.36 | steps=131 | track=30e6e69ad6d2884a7f9dacf18bdf2900
global_step=14464 | return=-105.56 | steps=152 | track=69cc9653f4ee48fa0ada35c7bad47bd8
global_step=14592 | return=-72.76 | steps=151 | track=730ebd0260803f7fe36a859ba7ae527a
global_step=14720 | return=-149.34 | steps=131 | track=bbcb367019dd5eea6b5271d680b3d859
global_step=14768 | return=-11.01 | steps=63 | track=d76fd3919526ef8798c0ee31c9cb0890
global_step=15104 | return=-134.07 | steps=131 | track=f02ef3625f5c1a5f19fb6f6f47466cff
global_step=15152 | return=-147.79 | steps=131 | track=30dc3075fbf5acbf62cb4d6f453dc32a
global_step=15264 | return=-166.00 | steps=131 | track=435dd00cdb9ea8a6c934274b093584f9
global_step=15296 | return=-149.23 | steps=131 | track=5f0e62594d6a80b14d3eba53b102ac1e
global_step=15712 | return=-183.12 | steps=188 | track=b72bc732a4c886ed4ce24842ee958ebb
global_step=15776 | return=-152.29 | steps=131 | track=d9596cba306b529f3f76f0853a23f3a7
global_step=15840 | return=-176.98 | steps=130 | track=a05aba44ced8423b4307d4c4013732cf
global_step=15936 | return=-147.67 | steps=131 | track=42d92ec9abf34fc8902dc972536f6067
global_step=15952 | return=-156.65 | steps=130 | track=67401cafac72098d19857a8969bdada5
global_step=16144 | return=-147.47 | steps=131 | track=86b718be3363039fa31cae5e8794d20a
global_step=16192 | return=-50.60 | steps=110 | track=1bfd1c0066981b474632312fc81c0c8c
global_step=16384, SPS=86
global_step=16400 | return=-161.30 | steps=131 | track=11490164309d281a702a026a52edf4d1
global_step=16576 | return=-149.34 | steps=131 | track=2f05ae4ee1a6c42980c41f0de0c81b61
global_step=16688 | return=-129.16 | steps=130 | track=cc78d364919b110fd9d39f9b699b68e7
global_step=16720 | return=-15.19 | steps=48 | track=57aa14f6d2e159c7185005626e4b2c25
global_step=16816 | return=-150.35 | steps=130 | track=ef842bbcbfc67f6356e00f97f06d031e
global_step=16880 | return=-141.15 | steps=131 | track=450880f43413a642f3b922f0ba8c198f
global_step=16896 | return=-29.38 | steps=43 | track=da22e6d44ea3b2833b0a43d5a03ec609
global_step=16896 | return=14.90 | steps=58 | track=d355e22e2ca9dd45b418e540a3df14ac
global_step=17264 | return=-143.25 | steps=131 | track=0e7e76984f2edee0a3bc849f9e0eae5d
global_step=17376 | return=-147.45 | steps=131 | track=2f6cf46aaddfba9ca0dc16638e3d6a85
global_step=17408 | return=-148.91 | steps=131 | track=89e6d569472c341391b99011ccc3e902
global_step=17728 | return=-98.40 | steps=82 | track=ebb174ae6d5f5a7e85ed046e1f430c32
