/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_4.0_bud_180_22-07-13-02-43/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=7104 | return=-66.50 | steps=49 | track=b1cba8a763d326fb0d17b28632d07008
global_step=7216 | return=-18.66 | steps=63 | track=648e19daf8226bbe5a22a1d8e5f48a0e
global_step=7376 | return=-170.21 | steps=131 | track=1bd69e331581d964f03d780ca8ae114f
global_step=7392 | return=-161.46 | steps=131 | track=81a5a518a476f62b3d3d83343df142aa
global_step=7680 | return=-162.84 | steps=130 | track=2256eb203660ab902357c98e2a83bca6
global_step=7776 | return=-97.93 | steps=45 | track=6a2ea89d77bdadc5be7ba0c9435471fa
global_step=7968 | return=-156.45 | steps=155 | track=2ef94ebd35bc4ef2f8e534fafa2a5cb2
global_step=7968 | return=-20.96 | steps=63 | track=edc26e5aac1922478e02800574a10b53
global_step=8048 | return=-157.87 | steps=130 | track=0a166f19352240b48d20c258bbf8562a
global_step=8416 | return=-174.13 | steps=131 | track=7c976e73bdbfc864ef8aa8bc9e5626e5
global_step=8432 | return=-151.47 | steps=131 | track=74bb6003a603070eb1c678fdfaa15b68
global_step=8624 | return=-170.25 | steps=131 | track=4ddcfd0df2b60c8174f9cdb3d118efb5
global_step=8752 | return=-29.82 | steps=102 | track=5c6c2fb8068813baf1ae48c4b411d37a
global_step=8800 | return=-183.40 | steps=131 | track=90d9ce9129826090a7f711ddb02940cb
global_step=8976 | return=-54.80 | steps=62 | track=0d4abb61f7bdb597a4112b6a0a25878b
global_step=9104 | return=20.24 | steps=70 | track=a923bc51248ae0a58dc95b287eae1251
global_step=9104 | return=-154.18 | steps=284 | track=209b206e1b08a442a7809e3ff0fb7a12
global_step=9280 | return=-54.40 | steps=40 | track=54d0a93056b0f89c224da0182ac6df3f
global_step=9328 | return=-164.48 | steps=131 | track=f0d596b5b755cf8b010b21894aab93fd
global_step=9472 | return=-155.80 | steps=130 | track=6bc90bea0379aa2a741ae7ed284345dd
global_step=9504 | return=-147.86 | steps=131 | track=40a473f2bbad25b1d0259402277ebfd7
global_step=9536 | return=-101.66 | steps=270 | track=f4b0f1a28f53f453077595a2f296277f
global_step=9728 | return=-41.12 | steps=80 | track=52a0d3ed93f1b421590ad52cc76f09cc
global_step=9792 | return=-163.97 | steps=131 | track=7b31b935e2260640eb672af9b10c1209
global_step=9888 | return=-159.26 | steps=131 | track=33a95b68a78f39f676447e21e0946a89
global_step=9952 | return=-37.55 | steps=60 | track=df5a457ee8de1bdc6bf4b8f861b52d09
global_step=10160 | return=-162.41 | steps=131 | track=6197198652f00898d82a028e61d119af
global_step=10240 | return=-75.05 | steps=43 | track=8bc57013beaade8850c4e2dde90a6e8d
global_step=10384 | return=-103.36 | steps=101 | track=83e66bdf6b7b1ce9a7ee60dcd6e6d498
global_step=10448 | return=-78.76 | steps=44 | track=2f79056541adebd1d67269e145a8bbbe
global_step=10512 | return=-156.20 | steps=130 | track=6067491cf8815de84ef9cd64c1802ae4
global_step=10544 | return=-15.88 | steps=89 | track=0339e65a7e823bdc85a1ec0a96bdac68
global_step=10592 | return=7.63 | steps=69 | track=f836623feb5fb0f104793ab739a1ea21
global_step=10608 | return=27.90 | steps=68 | track=9efc6dee3b2bcb95ccf7004c809302dd
global_step=10656 | return=-54.89 | steps=115 | track=457a001a674f05ee43bc6e2d19e0630e
global_step=11216 | return=-154.41 | steps=131 | track=235143c2403cef73b273e8747ba1fb29
global_step=11264 | return=3.26 | steps=63 | track=ddd4ee9989c572619cd4367d335d14c2
global_step=11392 | return=-149.47 | steps=131 | track=4271434d7c598a89a9a416bc49d2e8e1
global_step=11440 | return=-172.35 | steps=131 | track=7e51ac1ec09f3c47b8250dbde36ffea9
global_step=11568 | return=4.46 | steps=69 | track=8230a745d8114eedb26b21953bc958d0
global_step=11904 | return=-206.81 | steps=131 | track=59b9cefce2a3e4eaee4f86deadbbaff3
global_step=12000 | return=-159.75 | steps=131 | track=df21c29cd7925674fc6109cf1dc7634d
global_step=12016 | return=-201.79 | steps=375 | track=8c4fac1d0bc73e97e66de676d366606a
global_step=12048 | return=-148.02 | steps=130 | track=897fddf8ff7a7e47e992668a4af22b61
global_step=12272 | return=-156.77 | steps=131 | track=70fddaae69603823e760005fc373bd0d
global_step=12496 | return=-155.25 | steps=131 | track=45692990ff704dc8cb83fe83839918f4
global_step=12496 | return=-46.22 | steps=117 | track=adff0a5f2c82e5c0ad2db88ad879f4e0
global_step=12512 | return=-64.60 | steps=58 | track=82675381550db6e7c9a4b04bb0fc9a7b
global_step=12656 | return=-195.97 | steps=131 | track=e1294765cade64cfb41b1bf09febf82e
global_step=12704 | return=-149.20 | steps=131 | track=13df441dfe7e3cbeb8ac5943175c03ab
global_step=12752 | return=-69.97 | steps=130 | track=1d386be27813af44e42bf8edec60377a
global_step=13376 | return=-162.01 | steps=131 | track=b9126a64921f4b293576707ec636bf16
global_step=13504 | return=-15.20 | steps=62 | track=58d5fe3ece3e9fb18a99dc7e7dd3e436
global_step=13504 | return=-166.21 | steps=131 | track=15fb29e1fd1b6672a559cefe8c3221e4
global_step=13568 | return=-196.73 | steps=146 | track=3bc3b542a789243905fed584bec565d3
global_step=13568 | return=-0.25 | steps=66 | track=4832b9da19d847ddd7f9078b94b69c80
global_step=13648 | return=-165.84 | steps=195 | track=e4e6b6f52351f3b3c2748257d4285abb
global_step=13760 | return=-87.50 | steps=144 | track=5b13a39cae6e4a73460604f31504f564
global_step=14016 | return=-169.43 | steps=131 | track=a3edfa1baf93c78e0ea35714c534e81f
global_step=14112 | return=-179.40 | steps=130 | track=709f9cf98239211498efcbb6d10aa722
