/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_0.5_bud_180_21-07-13-18-22/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=7200 | return=-137.90 | steps=131 | track=cd53882c1c003ea58dcb05a357f11178
global_step=7712 | return=-128.09 | steps=130 | track=f0528497949e58c3cebbb7ad0f3caebb
global_step=7744 | return=-137.59 | steps=131 | track=05e7d7d550e6b520654699435e233cb9
global_step=7920 | return=-135.34 | steps=131 | track=8c3ac079a4a8fbf8e7a9370ae74d7234
global_step=7920 | return=-132.97 | steps=130 | track=18270ae7946bde48c7e1c2e35e867840
global_step=7920 | return=-137.42 | steps=130 | track=79598687555d9e3904c642d3b59352ba
global_step=8112 | return=-3.20 | steps=62 | track=9e2eeb2e4a659d2548a35a8f164f9fc0
global_step=8208 | return=-7.50 | steps=114 | track=9acac09108fe1f124519efc5badecf94
global_step=8416 | return=-133.20 | steps=131 | track=9956ce28742946d444792a8d8c94bd99
global_step=8432 | return=-131.34 | steps=131 | track=e2480f3016a22870f6b30e873753ddda
global_step=8528 | return=-131.03 | steps=131 | track=edb96ac0a80d6d82ecc44fea46250aee
global_step=8672 | return=-45.15 | steps=149 | track=d5e142e6cf5b4a5189ed4449915fc749
global_step=8768 | return=-92.93 | steps=97 | track=ec63d8f31060c7d33a7b1ec94085da5a
global_step=9040 | return=25.21 | steps=69 | track=821b8b293105157ab8ab040c5defeed5
global_step=9056 | return=-137.59 | steps=131 | track=d9edf5eb3299e51b616d65f5c2a87e8b
global_step=9104 | return=-2.35 | steps=61 | track=99d5a32ee7b724311f43da5dd2b87c81
global_step=9248 | return=-96.30 | steps=221 | track=286f3882d69efd64ca36dd037855d618
global_step=9248 | return=-137.50 | steps=131 | track=717ac3d6c97f527e554eebbdc2b96452
global_step=9312 | return=-125.63 | steps=131 | track=d436fdbf97876d9b886510c5b1041e2c
global_step=9824 | return=-137.47 | steps=131 | track=2ad5851eaf049550942dfe7a0c864cac
global_step=9856 | return=-131.91 | steps=131 | track=9636da94469c554a09a1ce6637534316
global_step=9968 | return=-42.47 | steps=80 | track=b1ca33ff6572d48d57751fa183affc39
global_step=10032 | return=-131.47 | steps=131 | track=f9f75e3debf6219b65d62785d073e4b7
global_step=10032 | return=-133.21 | steps=131 | track=03be9a7423c1eb52d0889d1285f082ca
global_step=10064 | return=-58.29 | steps=50 | track=f0d2cb22fa18185d051672c19312efd2
global_step=10272 | return=2.55 | steps=63 | track=492654e4f8ec979a10ffd740db17c8f4
global_step=10304 | return=-138.70 | steps=130 | track=a57d18054214f552e01bdee4c5657e60
global_step=10400 | return=20.64 | steps=67 | track=665e2e62ef7113f84794760f4add52b7
global_step=10432 | return=-37.44 | steps=103 | track=fa561c41248fe4cad627e83bf1664304
global_step=10528 | return=-130.20 | steps=131 | track=92b9612647fae391428d6cd6460c761e
global_step=10640 | return=-129.01 | steps=131 | track=492549b561a3b5c6748c2b0358f0e3d3
global_step=11104 | return=2.89 | steps=64 | track=e8ce8a36c3a55815d46d1ddb9b5a876c
global_step=11152 | return=23.10 | steps=80 | track=00c1c69997966a45ae8747e4574d3cbe
global_step=11152 | return=-138.64 | steps=131 | track=ccf9466d7dfd16596df9a853f056be21
global_step=11168 | return=-128.17 | steps=131 | track=245ca72d1e34c1fb8f9c521c1f53fa61
global_step=11216 | return=-139.88 | steps=131 | track=2e0229b8d205a9b25c05b84455f48723
global_step=11232 | return=-128.82 | steps=174 | track=3f32d3a7d1f6cb41916c1ab19487e51f
global_step=11456 | return=-73.98 | steps=101 | track=e8f999c4fb54cf546d612a0dfdf50886
global_step=11456 | return=3.55 | steps=63 | track=ec1b48eca5629aaacd5572e49458231c
global_step=11696 | return=46.98 | steps=72 | track=aba0f724da9f81da6b00085b77ca9355
global_step=12064 | return=-137.74 | steps=130 | track=70213acb865e3affa01ae3e73e7adff0
global_step=12128 | return=-135.19 | steps=130 | track=24f10badfb97a37ea0d00b205f6acb64
global_step=12144 | return=-137.40 | steps=131 | track=b44255b141faa40ea1e68a87832cb564
global_step=12384 | return=-108.29 | steps=131 | track=47531db4bb86dc3869d4f6dcfff70f84
global_step=12416 | return=-130.47 | steps=131 | track=507272e19231d889e597c1897cb76c84
global_step=12496 | return=-139.05 | steps=130 | track=c9c717bfdf75f81ad06799786da5263a
global_step=12752 | return=-136.31 | steps=131 | track=c8a16e72883c4e982bf90319d41bcf47
global_step=13136 | return=-24.08 | steps=61 | track=a656a6c20f69c627ebb02c3db6455f78
global_step=13200 | return=-62.83 | steps=93 | track=2c89eaf365679de044239a57639542cb
global_step=13216 | return=-133.27 | steps=131 | track=5f87e4194f0eab4b8b1507cc41ce195b
global_step=13264 | return=-136.51 | steps=131 | track=8741527ed9bd62419ba0cddcc00631fa
global_step=13264 | return=-127.74 | steps=131 | track=793bfd4c98d4d18bebeadffd65fac648
