/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.2_bud_180_22-07-19-18-37/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=7744 | return=-141.53 | steps=131 | track=67e53dd9aca0dc7d1720bbf1d20a34f7
global_step=7776 | return=-159.80 | steps=131 | track=c8f85c7ced19160351939fa4582346b2
global_step=7888 | return=-111.09 | steps=130 | track=cfc01c234c8e77c01cd36ca746297cd8
global_step=7936 | return=-148.35 | steps=131 | track=882f9e15aace5969fd089fe276d301f0
global_step=8320 | return=-8.50 | steps=64 | track=3f545ef900374bdc3678dddbbda3d591
global_step=8368 | return=-151.19 | steps=131 | track=f21ba2f30da69eada44d984f31661b9f
global_step=8384 | return=-99.58 | steps=129 | track=b7276292178cd5bbeef76a0241101509
global_step=8512 | return=-147.54 | steps=130 | track=46fa7e5996b02feb11fb42d7defc19d1
global_step=8576 | return=-74.40 | steps=49 | track=c3c234c021929e4d911e1d42426faa80
global_step=8864 | return=-150.95 | steps=291 | track=00fcfb3608e497978228459f6c32d91e
global_step=8928 | return=-18.63 | steps=61 | track=6559d364a364d574274fe07493b35273
global_step=9152 | return=-104.83 | steps=93 | track=c431bd2ee77c045dc8c82a4ee53dcb09
global_step=9168 | return=-154.19 | steps=130 | track=a9ae8159c56e017e0694182a60a0e2d9
global_step=9200 | return=-143.99 | steps=131 | track=7f0f38426d6d5f19acd0e562bd25645e
global_step=9504 | return=-165.94 | steps=131 | track=b27f81a15ec2a334857d63751731669e
global_step=9632 | return=-25.66 | steps=65 | track=971d9f44cb05b02e78dcea8ec94c7418
global_step=9696 | return=200.61 | steps=210 | track=1a1784b1158482dccde1c55b6ded0dde
global_step=9792 | return=-133.86 | steps=131 | track=c63a49ee6a8310a171dd226e85985ce7
global_step=9904 | return=-33.08 | steps=60 | track=64220b4966c96e2a941c179762758f29
global_step=9936 | return=-1.26 | steps=66 | track=be0b7131b2d49e55ebad308b49ff7c2c
global_step=9984 | return=-157.18 | steps=130 | track=ba623c1354e22a493b2f328eb9b337cd
global_step=10256 | return=-3.59 | steps=65 | track=99cae558a86ade8505ff1d46f56bb076
global_step=10416 | return=-142.98 | steps=130 | track=a24308f2d069bf102400755eb4110400
global_step=10592 | return=-158.96 | steps=129 | track=57c94d5ccf931ea3b120e67ff9bf53a2
global_step=10640 | return=13.17 | steps=70 | track=5b55339ed7565bbbe8277d40167498f8
global_step=10736 | return=-78.98 | steps=98 | track=49d6304b931788de7cabee480e869f2a
global_step=11072 | return=-20.80 | steps=79 | track=77f6c2a50749a61925f42963821fbf47
global_step=11216 | return=-52.22 | steps=216 | track=e560d3cebc944ff342f066eed8dfa21a
global_step=11248 | return=-47.54 | steps=83 | track=4e94b85e2f491fb91959085ff4e8695b
global_step=11280 | return=-150.15 | steps=131 | track=5a68ef282090131b815848539b66018f
global_step=11744 | return=-143.27 | steps=131 | track=b82b7e1f4bc7253dc8100232d5b656cf
global_step=11808 | return=-140.86 | steps=131 | track=1430e85383563f51727b84d5cb167c19
global_step=11920 | return=-118.80 | steps=221 | track=8607745f25bbf4264efd8400547dac1d
global_step=12080 | return=-9.25 | steps=62 | track=539ebc30eafb5e366701806c7d673ede
global_step=12368 | return=-133.76 | steps=131 | track=267199068cb5286aaabaed70fb0a5dcd
global_step=12400 | return=-62.37 | steps=153 | track=244837f121158f50c5913bee20676cc6
global_step=12704 | return=-158.40 | steps=131 | track=469fa83fe49df0b7aaabb20d31812a8f
global_step=12752 | return=-75.59 | steps=272 | track=721a07dc072fb32974d6d8181b415122
global_step=12752 | return=-150.33 | steps=131 | track=7680ae9329c0d734f0e6bb20e65990de
global_step=12848 | return=-158.20 | steps=131 | track=061e55fb56ffd97fb92297a0d88e9b2a
global_step=13232 | return=24.19 | steps=71 | track=5ae2a95109022758dedb07d16991609b
global_step=13360 | return=-147.61 | steps=131 | track=d24be5b66d1d75f99776d0145cb4eb30
global_step=13392 | return=-137.10 | steps=131 | track=5f83c93a1c1d99815b32d702fdb0b2ea
global_step=13392 | return=-239.82 | steps=401 | track=a046276287ef68c70de3d8d2f5e5e46d
global_step=13408 | return=-6.81 | steps=64 | track=cd12245cdd0e9eabc3ce37159ee8eed2
global_step=13664 | return=-78.38 | steps=119 | track=235cd5b31c3704bdd6ee4ec4fdbebe14
global_step=13920 | return=-149.69 | steps=131 | track=53fdba6d78d6def8c3e0ebbb31f43508
global_step=14032 | return=-146.72 | steps=131 | track=aa32b528bc262362f9893545f1a456c8
global_step=14064 | return=-157.11 | steps=227 | track=b1d520a875efbaa05d867e7eb37ed96a
global_step=14240 | return=-59.52 | steps=51 | track=5dd71c465b272f439c806fbf2100320e
global_step=14400 | return=-65.46 | steps=62 | track=35f82b02b5c9137eed1d342d97cc1980
global_step=14512 | return=-153.26 | steps=131 | track=4d782015eddafc2fc39261b7a3fb38cf
global_step=14624 | return=-63.03 | steps=43 | track=6d5ed140bb7d13d4d443cf49cf363c67
global_step=14704 | return=-20.62 | steps=64 | track=78d3eaaeb1ad4e90f06d314d94b69014
global_step=14768 | return=-13.40 | steps=85 | track=a8e3765c4a7bb85a2d9c1103221d6ea8
