/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.8_bud_180_22-07-19-18-35/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=7984 | return=-115.08 | steps=301 | track=44061d3ea6cf2aed1fe640226a92d3fc
global_step=8032 | return=-78.19 | steps=212 | track=2b9fe7e68f699f886509adac8bc0d975
global_step=8064 | return=-72.91 | steps=108 | track=2771278dc890e7d53b0c216c95efef58
global_step=8256 | return=-60.22 | steps=49 | track=ccb7b7ad0ace1a254de69c5afe1c0405
global_step=8272 | return=-71.06 | steps=154 | track=18b011e038f5498454cdcb662506dc92
global_step=8368 | return=-164.75 | steps=131 | track=c986bd3f8711609a5cc9b0aa033622e0
global_step=8544 | return=8.51 | steps=71 | track=484fdad216212d6898c30d97d7f90b7c
global_step=8640 | return=-53.37 | steps=47 | track=335f89b78a078025e05850a755c6d4da
global_step=8784 | return=-143.21 | steps=131 | track=29a3322d55960cd793d9367fee95a901
global_step=8848 | return=-164.40 | steps=130 | track=02701cc0ac1220c2f74bc0c26cd733e8
global_step=9120 | return=-141.43 | steps=131 | track=2a493facdf01216c38261429df7def71
global_step=9152 | return=-37.98 | steps=55 | track=9c92984fec3eaa202c8cdd7bb6d75957
global_step=9344 | return=-143.43 | steps=131 | track=18ca1a21291912744fc4bff70be1901d
global_step=9472 | return=-140.80 | steps=130 | track=bfa04e190af4c48756eccd06d3fe153d
global_step=9872 | return=-164.34 | steps=200 | track=69c74543c80b003965b79b76a65b3c9d
global_step=10016 | return=-130.51 | steps=362 | track=565498ff49beffc20f5aa69b35eeec26
global_step=10096 | return=-136.13 | steps=131 | track=fa18c79a2b635a28996e7c7d85be2ca8
global_step=10128 | return=-157.51 | steps=130 | track=ea1954623b23b731e40be5b9dd740a4a
global_step=10176 | return=-142.40 | steps=131 | track=39965cf4097a5be984c993491ffc07ec
global_step=10656 | return=-136.60 | steps=131 | track=f4a6fa79ff62898d5dcf8486cdb9b315
global_step=10688 | return=-65.55 | steps=150 | track=890a06a66e622638492f53a21a4f0898
global_step=10688 | return=-89.01 | steps=144 | track=603f162bf2c5f01229bea850ef1df127
global_step=10880 | return=-141.99 | steps=130 | track=dd29db09e6894a7b6be53e9cdeacf1fc
global_step=11120 | return=-17.99 | steps=63 | track=0229673290ed1144807a716d38ec4dea
global_step=11152 | return=-65.38 | steps=156 | track=4b2ece8e746a1116215947f906b2e734
global_step=11232 | return=-138.03 | steps=131 | track=0bc5c4c63ceb867a030e45b27984d42a
global_step=11264 | return=-134.80 | steps=131 | track=8888ca5ca1a15962472a31e6fc396c39
global_step=11360 | return=-210.44 | steps=268 | track=71fe028e4910176492805c87dd8f984e
global_step=11456 | return=-139.85 | steps=131 | track=5f7109c9a5cc84107e4c4e769feaa11a
global_step=11488 | return=-18.65 | steps=164 | track=7f31d254f8deedb87ac5fdaefefa2b48
global_step=11584 | return=-142.00 | steps=131 | track=4711ee9a529ab00c6202de056e354e5f
global_step=11968 | return=-162.37 | steps=130 | track=ae2f2466ec0856c6eddbc245d60ccbbc
global_step=12128 | return=-134.90 | steps=131 | track=2a726348ac6e47b4a3700891c18f69ab
