/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.4_bud_180_22-07-19-18-33/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=7728 | return=-138.01 | steps=131 | track=3f9d2699d2c7080bfea6d421f3af5464
global_step=7824 | return=-133.80 | steps=131 | track=1fe0640eee1a43a6cbd331aa32b84f85
global_step=8016 | return=-62.08 | steps=42 | track=9033525a3a950e1e8c889c0602c4365b
global_step=8032 | return=-68.11 | steps=92 | track=22624181faa12ed20f39756b4fbdef6f
global_step=8048 | return=-66.19 | steps=107 | track=d62b6cd64338c4b789cfe9a7fd5ef2ff
global_step=8336 | return=-141.25 | steps=131 | track=046e83bcceb8ed374918fe95aeb7f9a7
global_step=8416 | return=-150.08 | steps=131 | track=864c723ed38aad5dd1be5fb04e60a7e1
global_step=8528 | return=-114.13 | steps=333 | track=f8a33b62651e18475dc399c11f56c350
global_step=8688 | return=-147.38 | steps=130 | track=a4924e7ce1b22044f5650b379f974d1a
global_step=8752 | return=-129.82 | steps=130 | track=a5993e4b375c4f74491e11e73d33816f
global_step=8784 | return=-148.70 | steps=131 | track=fbacdb8b3ff9c4cbd2032e06f4758926
global_step=8848 | return=-22.39 | steps=63 | track=7e093fe9a61f8ab54de96f9942eea9db
global_step=9072 | return=-82.74 | steps=306 | track=675c844b1c580b45fc769d9a50016859
global_step=9264 | return=-154.41 | steps=130 | track=b19d0c5f6c07a2f04df12944ed3c2ba1
global_step=9360 | return=-17.85 | steps=63 | track=c580fa9163a9f0d7e320233c65bb7f2e
global_step=9408 | return=-71.84 | steps=148 | track=92147cc0f017f60fb1b76105a90948f5
global_step=9408 | return=-131.16 | steps=131 | track=1038adde6279d3eb84b8964f4a314542
global_step=9696 | return=-17.05 | steps=62 | track=81e5bbe67a7e0b4a0f2a1bfe94f7e30e
global_step=9840 | return=-142.77 | steps=131 | track=d5bf5dde4258ac876abd69275438c19f
global_step=9952 | return=-154.17 | steps=173 | track=99a4c918d6fe3813ed3c9b671350de2a
global_step=10128 | return=-140.53 | steps=130 | track=ee10321ffc089293e213a666571c1e10
global_step=10128 | return=-131.30 | steps=131 | track=d6bb52e438dc2815775992e90799a9b5
global_step=10160 | return=-129.10 | steps=131 | track=324d90ad343a8b43b386b85830500846
global_step=10448 | return=-29.97 | steps=64 | track=75f074b03e82e939bf34cbb4ad3edbcd
global_step=10528 | return=-134.04 | steps=131 | track=fec55f3d797e3a04b28819e891e7f97f
global_step=10640 | return=-145.52 | steps=131 | track=45bb14e7f3f8cf20b29b3b670c1bff62
global_step=10768 | return=-15.08 | steps=50 | track=7f385d0892dbf5ec92bd9815b8493fc9
global_step=11184 | return=-144.78 | steps=131 | track=c568dc8c09745dc7d885ed5f85fd8bd9
global_step=11264 | return=-52.17 | steps=154 | track=fb530cb06993c8f554e11266596cdee8
global_step=11312 | return=-73.50 | steps=159 | track=963ff9ccc7343a52294103491882fc78
global_step=11376 | return=-149.55 | steps=131 | track=86ed6b6e23324e7881b1153d6f7d1a58
global_step=11456 | return=-147.20 | steps=130 | track=40df55949d731cbba4326a2fbea096ed
global_step=11520 | return=-148.23 | steps=131 | track=b0f705052036ff35fb3d4d0ac22dbc20
global_step=11648 | return=-125.66 | steps=174 | track=77ce6fa67d47fad45bbf3ba9fcd78574
global_step=11808 | return=-133.81 | steps=131 | track=da274b9086fdd02559de4673d0639543
global_step=11856 | return=-29.41 | steps=41 | track=a4a5b1547e1feb9febd88ab2f43fb812
global_step=11888 | return=25.49 | steps=69 | track=ad4107355c72c69cb01c7abe5b36b663
global_step=12224 | return=-132.62 | steps=130 | track=0cb4e089bcd8b997c172c70f8613f1e4
global_step=12240 | return=-151.19 | steps=131 | track=e428e03c5216d0e5a626dc427b0f3b95
global_step=12288 | return=-70.70 | steps=152 | track=9de90496d46e6fb529a453fa4b6921c2
global_step=12336 | return=-73.87 | steps=105 | track=a772132ecefeda13d153fa6e0f7204fd
global_step=12560 | return=-137.21 | steps=131 | track=ab6dbd653ab348261465227aead876cd
global_step=12864 | return=-77.54 | steps=145 | track=e6ceaf3041a4a707634f618ede36e7d3
global_step=12928 | return=11.41 | steps=69 | track=b0341168a554146f1c381db15f6535c3
global_step=13232 | return=-51.28 | steps=106 | track=3431d7dbec1768f287151b82bbd9cc9d
global_step=13376 | return=-145.27 | steps=131 | track=fc13afe32d79a2b25409b35e3f5c4d3b
global_step=13424 | return=-149.21 | steps=131 | track=2a5c0bb4e47012608908e3bce894b147
global_step=13488 | return=-141.21 | steps=131 | track=3adf41fd8317b8924c040f4a4aabe672
global_step=13648 | return=-128.55 | steps=136 | track=c8dcd8b3336d42717d6dbb32f958a912
global_step=13760 | return=-148.61 | steps=131 | track=3ea6b9de2b77eb1d832730e1f943f53c
global_step=13968 | return=-133.86 | steps=131 | track=c67b7d33691a752b05573157a215d042
global_step=14144 | return=-159.96 | steps=248 | track=5c780d990a31f9689f1daae8ecc38493
global_step=14320 | return=2.51 | steps=67 | track=b95f2716f8c9d530f5286ad5628dbdb8
global_step=14336 | return=-143.95 | steps=131 | track=5335facb002d9e698189f4ead26e3a50
global_step=14352 | return=-139.19 | steps=131 | track=7263ac4a42b4a59ae9b5fea5722be865
global_step=14400 | return=-153.20 | steps=131 | track=3352f4f375ccf160c827dff886ca6bf8
global_step=14448 | return=-133.60 | steps=131 | track=3e46cc8f33f65ad6664095bade506a8b
global_step=14560 | return=-21.45 | steps=70 | track=5b93ef109c51d059822f9d0fd9790620
global_step=14608 | return=-97.36 | steps=108 | track=6551d24c729e05b0527adc7449fbb558
global_step=14672 | return=-129.76 | steps=131 | track=7a87edb705695fca27d57bebdc28b3ed
global_step=14720 | return=11.58 | steps=66 | track=959c6f26e6e9c77cdf6064b6e6b7dcdc
global_step=15040 | return=-138.50 | steps=131 | track=e3b86b3144efc29f2857b54ee7ecd9d9
global_step=15312 | return=-31.87 | steps=43 | track=8112649a349e739a5b49a3543f1c2f8f
global_step=15328 | return=-27.01 | steps=61 | track=89677124ea5962a00075e22c6ce62af3
global_step=15376 | return=-4.23 | steps=65 | track=bed20254beb5dc7aa141e7ef8420f164
global_step=15408 | return=-59.66 | steps=45 | track=af7dfacd1d24201c0a351ea2c23588b9
global_step=15488 | return=-142.53 | steps=131 | track=90c89c82f735e300f2de2c262f4a384b
global_step=15600 | return=-129.18 | steps=131 | track=b1314df2d1d0db5647582a7961ff9e79
global_step=15872 | return=-146.18 | steps=131 | track=65f39ba72c6f5db908d2904accefcb2b
global_step=16000 | return=-2.63 | steps=256 | track=5611be7d13e890801f9b4e64c1051c87
global_step=16080 | return=-141.58 | steps=131 | track=6690eb401165e1b874a34ce2e36869fe
global_step=16384, SPS=104
global_step=16464 | return=-134.70 | steps=131 | track=a8216f2569d57328fbc60b42619aa341
global_step=16512 | return=-129.90 | steps=131 | track=3c474e13509197bb9db3c3356b02d57f
global_step=16592 | return=-105.22 | steps=133 | track=c8c07c72196186272969df8dff59bdab
global_step=16672 | return=-144.29 | steps=131 | track=18d9b2e40495e5e10f2751e624c64b9b
global_step=17152 | return=-126.96 | steps=131 | track=8bf8b0f50a4fee3dc6fb7a63d64350b1
global_step=17248 | return=80.29 | steps=72 | track=1d67939d52d538b96ce48c0b2f7630ef
global_step=17408 | return=-85.58 | steps=203 | track=9a11a1a8da28604c3bcbb90dfd3792ce
global_step=17440 | return=-138.96 | steps=131 | track=b917450e5ee02c7bfdaae4fc883bf78e
global_step=17456 | return=-56.02 | steps=48 | track=36bb999a63f113a32d53bb28043c4f10
global_step=17520 | return=-135.68 | steps=131 | track=2bbab66cde793c04b269340b517a4cc7
global_step=17536 | return=-26.92 | steps=175 | track=9a052d50491a61eab08bbca4cfd0223d
global_step=17680 | return=-90.15 | steps=147 | track=99ee3134ddaa50c163fc9209a7bb8ee3
global_step=17824 | return=-59.53 | steps=152 | track=66cffdf0cd3211c71f635885ccf432f1
global_step=17968 | return=-143.59 | steps=130 | track=f166a2bbd26cf0989002701ca5f9f23f
global_step=17984 | return=-52.91 | steps=155 | track=9c9cd008b4c64cb052632eca7cbfa671
global_step=18112 | return=-143.74 | steps=131 | track=b46e754206507258f6453b378cd427e3
global_step=18464 | return=7.49 | steps=65 | track=07af6f51c5387c195ae6dc99ba2c426c
global_step=18560 | return=-136.08 | steps=130 | track=57702d43e7dc3c28d16b7ddd8a9982ca
global_step=18608 | return=-136.57 | steps=130 | track=7ad4d20a0be7066909780e19360ef175
global_step=18720 | return=-11.87 | steps=64 | track=1e92909d7947956c9e3a5c4d8cca31d6
global_step=18848 | return=-25.04 | steps=202 | track=0f9b6bb7e96a3d3bb3213b99e57870ce
global_step=18944 | return=-137.22 | steps=146 | track=32d72d37eaa9a3eb59254e0f94a3d264
global_step=19168 | return=22.00 | steps=65 | track=1cd3da04175b760a86247027f41c0d9e
global_step=19360 | return=-147.36 | steps=131 | track=4493ca5ae0c4732366efc71530ba3171
global_step=19376 | return=-61.60 | steps=119 | track=f95cc63cfa58dfb906ebb4a4f9f11772
global_step=19488 | return=-29.34 | steps=63 | track=1c4ff7b764843ebb4ec4d2e48b54c8d6
global_step=19520 | return=-47.79 | steps=59 | track=0c3ae3c3c84fa3dcf30661a583df5af6
global_step=19552 | return=-136.38 | steps=131 | track=0f31f76416842230f3831be36ecf5975
global_step=19632 | return=-142.39 | steps=130 | track=145b8d4ed08f658fceebdbdb4c0a6a8a
global_step=19632 | return=-143.60 | steps=131 | track=3fce442abd98bd39a62b4f2995f4028a
global_step=19808 | return=-169.20 | steps=165 | track=e5cc40c561d25d05fc40a34574285137
global_step=19888 | return=-24.52 | steps=44 | track=a02a2f2456dcf3b8a7dad96761ba66c9
global_step=20000 | return=24.05 | steps=65 | track=4669a10f1a1027b4249b2ced444eb412
global_step=20096 | return=-134.07 | steps=131 | track=2c56350b8d2311adf204df6e0fa54da7
global_step=20416 | return=-43.33 | steps=152 | track=61e742b7eede88c3ea8a6eea436d0593
global_step=20736 | return=16.65 | steps=68 | track=9187059bb555737e8e9a38195fb52f66
global_step=20960 | return=-143.52 | steps=131 | track=a127750bdea0c85a55071a65860ec593
global_step=21200 | return=-17.18 | steps=154 | track=a6360a818f6d3cd0d7bd2e58f7e7c090
global_step=21408 | return=-147.19 | steps=126 | track=8d246bbf14da0eab008e8e849004df19
global_step=21456 | return=-145.98 | steps=130 | track=202ce1f1f55280ab99a41f04450d3d2d
global_step=21520 | return=-2.19 | steps=181 | track=d4017f6654f7059251e71eabcae2d8c6
global_step=21536 | return=32.54 | steps=69 | track=714f123df45b038d7bb8dc52f1b1fa8e
global_step=21584 | return=-138.44 | steps=130 | track=9a1c9c2b437e7a7784c7e9e16d77b99c
global_step=21632 | return=-146.56 | steps=131 | track=7ca1f96fff5f97f259ed241907cea948
global_step=21664 | return=-150.60 | steps=131 | track=a46b610830302db4f0fbb1c6eed0e639
global_step=21920 | return=-139.56 | steps=131 | track=fec1e288eeb936b172e03957a881b446
global_step=22000 | return=-154.51 | steps=131 | track=223f8c96e18513f89d3144f92fe95f5f
global_step=22112 | return=-136.50 | steps=131 | track=f5b09619477861a6adca53b72fa752ed
global_step=22208 | return=-149.01 | steps=131 | track=b5b54b86e48ded957bc89aca83ebef88
global_step=22624 | return=-83.29 | steps=299 | track=90298d26683f6673b798c9b14c9ab382
global_step=22768 | return=1.25 | steps=68 | track=f097414a033d90539eccaff654ae6b15
global_step=22848 | return=-154.91 | steps=131 | track=2fc8818230a8b1df7febd421bf5e0a2f
global_step=22880 | return=63.30 | steps=77 | track=f94adf719b9782be238d52d4296226e5
global_step=23520 | return=-133.96 | steps=131 | track=00c7f5717a5c8a0b576af2f178bf5c9f
global_step=23632 | return=-140.73 | steps=131 | track=1d32822e53b0b49fa299c97b90ad9b1f
global_step=23648 | return=-126.19 | steps=131 | track=965271c1ec12e324badcbec7da43baf1
