/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.2_bud_180_22-07-19-18-32/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpuNavigation Model loaded on cpu

Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=7232 | return=-141.75 | steps=131 | track=3d6395462bfc6e3874c3860ba4a2bc7e
global_step=7264 | return=-39.04 | steps=59 | track=242e5ce0ec92133c919bd3d15272abfb
global_step=7824 | return=14.58 | steps=64 | track=436ff2f7d9195b96cc72003f9dcdbc26
global_step=8048 | return=59.20 | steps=69 | track=2bbb26fd677b445919d4b743416d4fdf
global_step=8096 | return=-22.09 | steps=154 | track=1887cb22839ec013eddcef5cf65c3a8e
global_step=8144 | return=-39.11 | steps=99 | track=b333fe259f928f04353a2b3cf4cc6894
global_step=8416 | return=-145.60 | steps=131 | track=c4898a50a56d13b95c9b0e58d82c8a4d
global_step=8432 | return=-132.87 | steps=131 | track=3d43a742b0027b853d58c603c09e0d79
global_step=8432 | return=-147.96 | steps=131 | track=74b1c087966bb4c36df783af8938c011
global_step=8432 | return=-135.73 | steps=131 | track=16a25ed6d88be1921924263cb07209d9
global_step=8544 | return=-136.18 | steps=130 | track=57b3f6b0438dc0306d66de1536553205
global_step=8848 | return=-140.56 | steps=131 | track=d0fd4e0d0c4cbb0f3cd60b531dd3194d
global_step=9104 | return=-144.58 | steps=131 | track=49c7e493064f0aa8ce4d93ed5bd69248
global_step=9152 | return=-47.16 | steps=151 | track=fd88ae25f9ae16f8127498ca5e62e40b
global_step=9344 | return=-146.11 | steps=131 | track=8983518880ef21985063f671b6bb0ab9
global_step=9440 | return=-86.31 | steps=100 | track=7f29b2c3c74b89008cd20f663b80c4e2
global_step=9456 | return=-42.77 | steps=152 | track=44a3b4145da9fe5ad576885cb3ae6889
global_step=9568 | return=-22.09 | steps=63 | track=5cbe894d0aa81746ac1c00c2a22fccc5
global_step=9664 | return=-74.39 | steps=149 | track=f2820e783bdad1d914e8567755f61f3d
global_step=9824 | return=-20.38 | steps=60 | track=16dfafd9bc445748484615a222a4a987
global_step=10048 | return=20.49 | steps=196 | track=7fdad1015274908cc2a01b415a137702
global_step=10208 | return=-144.40 | steps=131 | track=5be01e9e5abcdc9fdb937ff75cace435
global_step=10256 | return=-127.33 | steps=131 | track=982d6cc33592b25d01866c63b42e0626
global_step=10480 | return=-42.93 | steps=151 | track=4197d846f47ec1d80c70536b99ae7674
global_step=10512 | return=-132.53 | steps=130 | track=6af989144b4df7edd3ff5ab82b004b1e
