/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.0_bud_180_04-08-13-39-41/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=7008 | return=-7.83 | steps=66 | track=558b87d1e5c5b44d18c0f6fef17259a8
global_step=7344 | return=-28.50 | steps=64 | track=9cbd0b1066f06a437d0a1868729f9a82
global_step=7440 | return=-164.07 | steps=130 | track=60aa3b2027eed2adf459e0902c2faa6b
global_step=7440 | return=-16.01 | steps=69 | track=ef5ce24635cbe7fe51a1617dcb81b0dc
global_step=7456 | return=-18.27 | steps=62 | track=4b94fcd1961fea575a10bc061d670cd6
global_step=7680 | return=-147.46 | steps=131 | track=f573d900356e50b422bb77de9e1ff035
global_step=8080 | return=-141.60 | steps=131 | track=374e153a0fb93e189a2fbbee98f89777
global_step=8128 | return=-144.13 | steps=130 | track=ee2a9b42e58de89e8c70efbea52387f6
global_step=8224 | return=-26.41 | steps=75 | track=b349f55f24c1725020d21ebe859d11ec
global_step=8352 | return=-13.72 | steps=62 | track=0560fd456e4d0577cc2cfca9803b009f
global_step=8416 | return=-137.01 | steps=131 | track=e95951db3e0cf4227b381575df254b4d
global_step=8416 | return=-138.46 | steps=131 | track=2c900309118a3b5b0d47d5c685ba4616
global_step=8464 | return=-142.91 | steps=132 | track=af01b5a2dcc12914116a4ec324e839f8
global_step=8480 | return=-145.39 | steps=131 | track=e4130dcb0a9c002ec281a8e3738fb14f
global_step=8592 | return=-51.19 | steps=56 | track=a0f279f228856254cafac60c56b13db6
global_step=8736 | return=-108.70 | steps=136 | track=c75e1856d78b629e418ce1e0fefdf826
global_step=9056 | return=-153.97 | steps=131 | track=0df13c54af83779b682d62cf9e57ff88
global_step=9104 | return=-161.03 | steps=131 | track=054c5549fe098190df32cd673d92be57
global_step=9456 | return=-7.68 | steps=64 | track=afdae521acccf28787677503cdb493ae
global_step=9552 | return=-171.67 | steps=131 | track=5a1ef484d2b70e119d0005f4f6dcd29f
global_step=9568 | return=-135.80 | steps=131 | track=1172e4f1658c4538f87edf56b6f9cbdf
global_step=9792 | return=-111.24 | steps=89 | track=2ec5e424c00a9f7234a8441196c47485
global_step=9856 | return=-77.50 | steps=150 | track=fe9f59de05a92df58712752eee0fa691
global_step=10192 | return=-146.52 | steps=131 | track=e916f9e4fdc071a75af54779d287c897
global_step=10240 | return=-138.25 | steps=131 | track=dbd1ca006567a7d8e10dd26809a6375c
global_step=10320 | return=-153.47 | steps=130 | track=a13882470f9ec47354b559e97d34ce75
global_step=10528 | return=-149.73 | steps=131 | track=dbe6224b3dffcace484fd1920e94b9ee
global_step=10576 | return=-14.40 | steps=63 | track=213278b4919d3bcc6a0960879628d968
global_step=10592 | return=-144.13 | steps=131 | track=4f6ead08b9e85edaab5ff8de6f3754fc
global_step=10736 | return=-65.97 | steps=133 | track=2e130cae885c08195978dfdc0e6c8c20
global_step=10848 | return=-153.39 | steps=131 | track=d885bbeab2d9d534547e3b8a8476916c
global_step=10912 | return=-155.26 | steps=375 | track=37874031ff439b0a7a8ee1b6ec15f13e
global_step=10992 | return=-120.80 | steps=95 | track=10dcbda5bb1a4edad1dbbe5a4e0ec59f
global_step=11168 | return=-138.13 | steps=131 | track=343481163e9091e4904d1d697797ecd4
global_step=11216 | return=-158.16 | steps=131 | track=22157a8cb3e1fb258c51b281c10558d7
global_step=11264 | return=-58.64 | steps=42 | track=9b5a98178c0975d97c264b7a7359913c
global_step=11328 | return=-74.48 | steps=109 | track=b0fbe0c1af2c06b5879c962ced3197dd
global_step=11680 | return=-52.61 | steps=47 | track=dbea58fe03172e0ffa0b272e6f92d709
global_step=11904 | return=-151.97 | steps=131 | track=680a745e78321a5bbc9d03d541e432fa
global_step=11968 | return=-160.00 | steps=131 | track=f29e7e4d5cb2421d8290355890104c5f
global_step=12016 | return=-35.30 | steps=79 | track=2232a7bd8119c21ce976000a42e2092a
global_step=12240 | return=12.68 | steps=66 | track=ae5338de26395582382cb2a47752eacb
global_step=12304 | return=-154.74 | steps=131 | track=1431a280259c4e4af386bd386fce3bd9
global_step=12352 | return=-152.21 | steps=131 | track=62db19fca570beba1da20b5b982208b3
global_step=12464 | return=-114.34 | steps=133 | track=3d232c14a4931b31fd4040f7930f77f0
global_step=12640 | return=-142.76 | steps=131 | track=ff51630ac966af6101a2e539a32e72a3
global_step=12704 | return=-147.46 | steps=131 | track=e57b618c428b41664575357fd610d1b8
global_step=12752 | return=-69.32 | steps=45 | track=d1c8daab75698bb2b97b125dff1a5d35
global_step=12960 | return=-159.78 | steps=131 | track=1b8edaa115beeb197a7cb2b2b5d718e6
global_step=13104 | return=-168.55 | steps=131 | track=0e04cf5819ab2afeda8fdb6495fcc69e
global_step=13248 | return=-67.51 | steps=298 | track=76630379b1e151df929786d0954f00e3
global_step=13376 | return=-151.39 | steps=131 | track=6e52bdeec849068d1db5728a9820a391
global_step=13408 | return=-110.80 | steps=89 | track=5b4df0df39f389884234d76c7fc90b4b
global_step=13424 | return=-142.20 | steps=130 | track=aa8f6be3ae4c63824d92e6d26cab4522
global_step=13696 | return=12.13 | steps=65 | track=240174d3c124bb5360ab1d2e392c90b3
global_step=13776 | return=-150.78 | steps=130 | track=b5feced301ca6c25a76ae3c55d75564a
global_step=14016 | return=-147.39 | steps=131 | track=487ef6a0826f36e84b9bb3382a26064d
global_step=14096 | return=-46.02 | steps=52 | track=d81d3881d2ad1d0695a3643316178f32
global_step=14336 | return=-145.51 | steps=130 | track=0dbfff9e36576c26de51bc62de4d016f
global_step=14400 | return=-67.11 | steps=60 | track=342a78c584ea88ac4ef3470e8c9be4d5
global_step=14432 | return=-8.65 | steps=82 | track=411125d16ebfb361ce953eecc5000a63
global_step=14576 | return=-141.80 | steps=131 | track=f8ecfe0a47792f042c3a473c081fb9e3
global_step=14608 | return=-66.00 | steps=143 | track=7a3b892f29c834e108d02c94c7323047
global_step=14768 | return=-183.66 | steps=221 | track=6989407d61c99e98c9a0fbeb117e2764
global_step=14800 | return=-163.08 | steps=130 | track=dd748f0d4b29bba6fde36500e9bc5520
global_step=14832 | return=37.35 | steps=70 | track=e4c43fac73c4b9078333889fa9924782
global_step=14864 | return=-136.74 | steps=131 | track=f7f8f3309abe0fadfe3894e5ff6e0538
global_step=14976 | return=-175.61 | steps=163 | track=7141fc392caf6b4d8a59257634a2be46
global_step=15456 | return=-1.16 | steps=63 | track=56459ac2811d05bbb37b595e031aa580
global_step=15488 | return=-153.47 | steps=131 | track=3517af585accd14e7d1686cb3279611e
global_step=15584 | return=-125.20 | steps=97 | track=6ef2b4c00a4b4347f35a925298e29c56
global_step=15856 | return=7.80 | steps=67 | track=09631dfedf2260515c12df2bfbbba170
global_step=15888 | return=-157.03 | steps=131 | track=2e94b0e848ba73f4c4999c05f4b3c17b
global_step=16080 | return=-40.49 | steps=194 | track=9f4266ee12f7bb0e2ae6711ea34e7183
global_step=16272 | return=35.15 | steps=89 | track=4f1ec5fa819a676980962bb7a5e459a2
global_step=16320 | return=-189.98 | steps=181 | track=b32687e5f6d7a60a75e0c264ae4ab235
global_step=16384, SPS=93
global_step=16512 | return=-166.77 | steps=131 | track=32ceab7550947e24b6fceab892911e51
global_step=16672 | return=-143.73 | steps=130 | track=baa53568bcd5ec38d50460b90a0a0713
global_step=16720 | return=-145.90 | steps=131 | track=10927f9aa201d7d381c709d9c8f65cea
global_step=16896 | return=-145.51 | steps=130 | track=86fbaa1a4a43820b5feb746ddd43ca64
global_step=16976 | return=-147.69 | steps=131 | track=6facf3078167529a2b773c4dd588e00b
global_step=17088 | return=-141.39 | steps=131 | track=446bdeaf14a669f50e97ad024779b921
global_step=17200 | return=-112.50 | steps=108 | track=171472af8982842c4de9a5b75ab25a25
global_step=17232 | return=-120.66 | steps=102 | track=b808ab5497ac304fb79ef1ad81b826de
global_step=17328 | return=-24.87 | steps=89 | track=ac91eb43babd747fa46d5201fada6c4a
global_step=17408 | return=28.13 | steps=70 | track=490aa986140d40613a4d78814bf0b40f
global_step=17584 | return=-145.60 | steps=130 | track=04c5236f1f771efaf5a4fa1a3473f3e3
global_step=17696 | return=206.19 | steps=114 | track=18c00d4bf766ef2e967b13192a87b42a
global_step=18112 | return=-98.08 | steps=99 | track=8da7c44cbc8cfb57ce55563f015b5f51
global_step=18192 | return=-146.58 | steps=131 | track=7014e79197f5cb6d11c306a66b080dcc
global_step=18272 | return=-115.06 | steps=96 | track=32e3940deb7a8b6e5c1b6ec57afa4cef
global_step=18432 | return=-140.25 | steps=131 | track=891d59861438d4b9658b7973c89dd7c7
global_step=18672 | return=-78.15 | steps=83 | track=593377ff93edd5ff2fceada60ffe75f6
global_step=18736 | return=-86.45 | steps=93 | track=e7aae5bcee9f18e7813e68b416c604be
global_step=18784 | return=-56.61 | steps=41 | track=e7a1ab4c094c967062782e98c4de2ac1
global_step=18784 | return=-146.94 | steps=131 | track=487a2817c99896fba8143a0f296e3c3a
global_step=19008 | return=-151.47 | steps=131 | track=cf016dac15bc0439f5a575dd566052b8
global_step=19008 | return=-168.26 | steps=306 | track=0959445f5ad26c64cfcccf31d7c5e899
global_step=19088 | return=-145.75 | steps=131 | track=8e03f68fa5030352026fe7769879efd9
global_step=19200 | return=-138.13 | steps=131 | track=91541127006ad913d5c642551457705c
global_step=19312 | return=-161.43 | steps=131 | track=268e723eab08b710b6cd3b62d0b54816
global_step=19520 | return=-145.03 | steps=131 | track=1fd7f1565bfce9ccf14e48af7f01e3e3
global_step=19760 | return=-73.30 | steps=338 | track=cd2df5127b2c8fd5a55e4cf0365b2f35
global_step=19888 | return=-113.08 | steps=100 | track=b035cea5a122325a1cb872c7c8ec1fbe
global_step=20176 | return=-108.60 | steps=89 | track=1d7c85431aa0d4672636908dc024dfa1
global_step=20240 | return=18.92 | steps=71 | track=1ce9889dedc639f132860d59b3bbea34
global_step=20304 | return=-144.77 | steps=131 | track=7366b895e1c08fc53d5fecc91702fe82
global_step=20448 | return=-203.46 | steps=171 | track=ddc48b769eeb84476b4f0a69edb1b853
global_step=20560 | return=-109.87 | steps=96 | track=249e8b9fc14e056d7fb7b9311bdd2b3f
