/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.9_bud_180_04-08-13-39-40/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=7040 | return=-57.24 | steps=46 | track=1197ba4db9004956d7e9dca86c934407
global_step=7344 | return=-133.35 | steps=182 | track=624706f5630c577c1aa4c393eec75453
global_step=7376 | return=-156.81 | steps=131 | track=d8611acfdbc54827ea5e0f22d6bfcbd4
global_step=7712 | return=-147.91 | steps=131 | track=06b322b9b52d2ef99407a6d5943727e1
global_step=7760 | return=-45.94 | steps=137 | track=dd69f5b55e9068ac80dba244ae1b7331
global_step=7776 | return=14.97 | steps=66 | track=9ca08fb217974b5f3350a1359e1af013
global_step=8048 | return=-72.52 | steps=88 | track=a3843ed991cbea40dd32bf5805777cd6
global_step=8112 | return=-146.33 | steps=131 | track=dc459fdf0edac86df0311f28bda784fe
global_step=8368 | return=-153.11 | steps=130 | track=91ef660ca79dc242ff2460a4221ea7d8
global_step=8416 | return=-132.60 | steps=131 | track=9c941a45be6984772a8ec033989d0ef3
global_step=8416 | return=-148.85 | steps=131 | track=f60a08e38afc77a192e151e5b7634ce6
global_step=8432 | return=8.61 | steps=67 | track=324d0feca23cb43e6bf6158089f31e6d
global_step=8432 | return=-139.05 | steps=131 | track=86b7f892136ac2c7e00824ffef502cf5
global_step=8528 | return=-206.76 | steps=270 | track=d2222c2ab1cb4fe97bcf83a52535e6d4
global_step=8592 | return=-130.17 | steps=130 | track=7fd15aff1b48eb937e9affb328bd6854
global_step=8688 | return=46.60 | steps=60 | track=783c7a2e663576cc5037a8d7afeda82b
global_step=8704 | return=-157.95 | steps=131 | track=312f157ea9d207ef2a302f640d93242d
global_step=9088 | return=-58.25 | steps=41 | track=5bf3355807b44c2e3698da8a31dc14e4
global_step=9152 | return=-142.70 | steps=131 | track=c0bec38f0e4968ee2badf2c413b0733a
global_step=9472 | return=0.18 | steps=64 | track=62f54d52196f73966b7a7fd432ff33c5
global_step=9472 | return=-55.76 | steps=58 | track=84acd9611e2742bdd143356bb860fe34
global_step=9472 | return=-142.09 | steps=130 | track=52cdac9525f1c6774a694044932756de
global_step=9872 | return=-150.60 | steps=131 | track=343d59d31430f5ecab01779b0b7d70fd
global_step=9888 | return=-139.66 | steps=131 | track=d0f64942a00e7abb03a9ed699842d7a6
global_step=10160 | return=-141.03 | steps=131 | track=1609efdaeca20c151c56646e9364333a
global_step=10192 | return=-5.52 | steps=64 | track=280810776cf8a0636cfeff2e8257ffe5
global_step=10208 | return=-165.97 | steps=130 | track=5b9444969e9e4eb91790dece5232388d
global_step=10208 | return=-63.67 | steps=45 | track=7f61833ba8a5ede2c3284b992da6960d
global_step=10528 | return=-150.60 | steps=131 | track=ba6c177a0b4915d72d7f7561a80f41fe
global_step=10544 | return=-131.75 | steps=131 | track=3bb449c8591e6ef6094424df8019b7b4
global_step=10656 | return=-221.82 | steps=348 | track=53d8a9121eec99f1434f5f68892fbd63
global_step=10688 | return=-147.42 | steps=130 | track=1dc9d277bb7ee7cebc65dd0463de4cab
global_step=10800 | return=-140.36 | steps=131 | track=43d2e8f3965a72f4769a33100f0d0717
global_step=11088 | return=-106.18 | steps=100 | track=c5bf367398c066da7553200c08c7dd0a
global_step=11200 | return=-142.49 | steps=131 | track=0107a7cc9a74727bcbf22b22a5114e4e
global_step=11200 | return=-39.19 | steps=61 | track=46e8883d1be0a11c5bd6ae8a726dfa59
global_step=11232 | return=0.93 | steps=63 | track=796c1cd4399d96c835cc7c82f3201e7f
global_step=11568 | return=30.28 | steps=85 | track=ffb5ccc6d9512b1ceb8aac8ce921e99b
global_step=11584 | return=-141.85 | steps=131 | track=4116097c96a649f2d8abef9d2a16927d
global_step=11648 | return=45.24 | steps=69 | track=0a69f53f1855c51ae105865fdf334294
global_step=11712 | return=-34.04 | steps=187 | track=5a1eb48e7b1f2806b8b720ed3305c788
global_step=11968 | return=-78.59 | steps=224 | track=9c33c861b930a203ecdf5f20e226cf68
global_step=11984 | return=-146.58 | steps=131 | track=d315779071f1c54cc4ea98227451fa3e
global_step=11984 | return=-151.27 | steps=130 | track=05afe6c1553319c985268fffd4e106ce
global_step=12272 | return=-167.88 | steps=131 | track=09dea5f8e4abb59e7e62cdd873ba01db
global_step=12288 | return=31.04 | steps=67 | track=a6f85360ae48e055282490f09002be4a
global_step=12592 | return=-132.47 | steps=118 | track=8a15e333adc973d04ffa08c1188fac96
global_step=12640 | return=-147.64 | steps=130 | track=4aacc583b1400cca98597f9576b14f09
global_step=12688 | return=-28.46 | steps=60 | track=aaa09a77c46ae4ba22c6d2aa747861e8
global_step=12768 | return=-144.13 | steps=131 | track=9e3c745d3d33549cb9d8053e8de43d38
global_step=12896 | return=-142.09 | steps=130 | track=38adb0f9b8c12bc1d5feae4abb8bffff
global_step=13200 | return=-131.30 | steps=131 | track=9e846bf87491253e77ddb5b9c5f148bd
global_step=13344 | return=-140.20 | steps=131 | track=0eb581fabeaa40cd113d7b83f989b597
global_step=13616 | return=-16.01 | steps=63 | track=a959c640b1c17ffce8eff88106c807ba
global_step=13680 | return=-136.07 | steps=131 | track=5a1ab614970b98743f412b8268adc691
global_step=13696 | return=-141.56 | steps=131 | track=7f3068c6a5d777a51ccc8fe865cfa5d4
global_step=13728 | return=-3.72 | steps=64 | track=2a966ce24734a3a82762fc5fa04e0a7a
global_step=13760 | return=-140.61 | steps=131 | track=99e9d82b2f5e5246845578cca9ba2783
global_step=14080 | return=-142.45 | steps=131 | track=396ae4740872bececbddfe9fd971d5cc
global_step=14096 | return=-150.71 | steps=131 | track=a558a65991361bfdf118756e539784c4
global_step=14096 | return=-126.37 | steps=131 | track=33442d4a447c701d8b85f761a9564849
global_step=14384 | return=-162.71 | steps=131 | track=401e518adcaacac9fbf72751d358d2d7
