/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.2_bud_180_04-08-13-39-43/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=7872 | return=-154.61 | steps=131 | track=e170de3c59f8a4323ac576d00eded969
global_step=7872 | return=-151.23 | steps=131 | track=391e2f403257777da49de5cc2f432ff3
global_step=8176 | return=-126.99 | steps=131 | track=500826f380bb31e5afc45b52a7631532
global_step=8224 | return=-142.80 | steps=131 | track=e92c2ce7754e6c6dbf8b98dabe5efc4e
global_step=8368 | return=-65.19 | steps=128 | track=8ea8f07c916773015e5a76256bacf80a
global_step=8416 | return=-142.18 | steps=131 | track=e163b89ac355934059367397822a1b44
global_step=8432 | return=-168.99 | steps=131 | track=7eeeb2407b2d6c17bf67bc138cb2519b
global_step=8560 | return=-101.92 | steps=203 | track=114135fbb5a01bbab133f8c18ade6b17
global_step=8816 | return=-109.21 | steps=86 | track=21a148e0d75d6f7dc6ee75afd19ae51d
global_step=8832 | return=-164.21 | steps=131 | track=5f8f8af3aaf3de5cffb01cd544d38460
global_step=8912 | return=-40.79 | steps=45 | track=cd2f5ae38a88b0bab80fce9671076400
global_step=9072 | return=-51.95 | steps=40 | track=f73f93b1b66ed2908d3dd0008a8a31a1
global_step=9120 | return=-54.71 | steps=77 | track=db4fa3a7857c7310dcabe7344edb3e10
global_step=9360 | return=296.57 | steps=280 | track=101babc3fa5d6f5d5bf85cf92ff01118
global_step=9600 | return=-152.76 | steps=131 | track=f7dd0b959195cf1faaa53071912daa1d
global_step=9632 | return=-25.07 | steps=66 | track=ac8c19ca9be594d884cc6123359f6b25
global_step=9680 | return=-78.05 | steps=146 | track=b381041bd86f789225d6a245274f0661
global_step=9856 | return=-102.24 | steps=92 | track=73c82a59efa02d131a9c400b6e246a5c
global_step=9888 | return=-93.68 | steps=145 | track=3d5203bc6ff5b97a7b54f4cec96adb8a
global_step=9984 | return=-149.40 | steps=131 | track=efe084a0b2f88c4583e0d1f4897eec2c
global_step=10000 | return=-75.86 | steps=229 | track=e74cb27a450c0269e451d1d882a5d48f
global_step=10336 | return=-135.26 | steps=131 | track=9a14c5f5b05509a6257620c29db50749
global_step=10672 | return=-98.03 | steps=139 | track=8863891994e01c1b1c82ba1ece87be46
global_step=10832 | return=-72.33 | steps=119 | track=0605a5735e510d5a42e6df5c1e34582e
global_step=10944 | return=-135.16 | steps=131 | track=7fcf50dabbde3266d3adbfadb48964f5
global_step=10992 | return=-30.04 | steps=62 | track=dbf6611901248f0fa06ae4963603702f
global_step=11184 | return=-149.76 | steps=131 | track=f0f508d7984d853c8aa23e0e3f460820
global_step=11232 | return=-165.31 | steps=131 | track=1492600d515a918a67bf489e64e0ccdf
global_step=11472 | return=-156.17 | steps=131 | track=44cece8e379c24a9faa00e52ddd0fcc1
global_step=11712 | return=-151.77 | steps=131 | track=2e652db3c5ea489764768623e0d548f9
global_step=11744 | return=-147.18 | steps=131 | track=c563ddc85044499a39950d9c63a04d50
global_step=11776 | return=-146.38 | steps=130 | track=7b06095b0457566f2a6ea21822a836cf
global_step=11984 | return=-166.95 | steps=132 | track=35c988ff71694c46fe48b73464c01ada
global_step=12000 | return=-146.55 | steps=131 | track=9a9e8ab10b34b817b64ed7ff78aa73e3
global_step=12112 | return=-132.78 | steps=131 | track=152acb9afe54c39d924416e492c3a758
global_step=12448 | return=-165.10 | steps=131 | track=815c5007eb1ecc9f387f5f34dbae3237
global_step=12512 | return=-96.00 | steps=230 | track=85046ba41c2570600aa64eacbbc18021
global_step=12944 | return=-145.20 | steps=131 | track=3810bf018690d0b1418a8917d650f641
global_step=13072 | return=-142.20 | steps=132 | track=c524c0ff7a2010477f51d897544f06e1
global_step=13104 | return=-149.19 | steps=131 | track=2c96ad045f462995c3c5ccb7b0ea8403
global_step=13200 | return=-49.68 | steps=157 | track=e9192eeeaa05793823160cc07c3af1c0
global_step=13280 | return=-24.47 | steps=51 | track=e9dc2303628707b5298cd057e2feb32d
global_step=13344 | return=-153.97 | steps=131 | track=355dccdda047aafa314e4d40595e1ba5
global_step=13408 | return=-118.32 | steps=101 | track=747ee7c01dafbbff895ad758941adedf
global_step=13632 | return=-16.82 | steps=522 | track=004cf39b45db46e1dd4d79451898610d
global_step=13824 | return=-157.83 | steps=131 | track=cc7cbf26b1f7d10c7ef92c9f84e513f2
global_step=13840 | return=-153.33 | steps=130 | track=34f6dcfb79fa4d8a18c70c4ae8e4b5a3
global_step=13904 | return=-112.11 | steps=151 | track=0f52c48e8b95cbafa38466853942949d
global_step=14080 | return=-146.46 | steps=130 | track=a05d69fa67b27463a29b7796826a8b6c
global_step=14112 | return=-137.65 | steps=131 | track=3a0b5221affe2c2297b55eedab20b911
global_step=14272 | return=-222.21 | steps=192 | track=176e7aad8d78ac781634a146d9737933
global_step=14272 | return=20.22 | steps=66 | track=a3f7e60f8e97ce34c080557a0a3b0fdb
global_step=14432 | return=-116.15 | steps=92 | track=be291fe4614680a2c1af981eac368f6e
global_step=14592 | return=-41.39 | steps=154 | track=87e35aa45fb548bff0a721039a7aaf40
global_step=15200 | return=-86.93 | steps=97 | track=d337bf7de8afbc3c4e0088e4394c0806
global_step=15216 | return=-162.00 | steps=131 | track=768f2a6d58d480f8a73e270cc8d37002
global_step=15376 | return=-154.20 | steps=130 | track=ef9f5c15848bc66d71aaf9590e39dcdc
