/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_10.0_bud_180_20-07-23-05-06/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=16760 | return=-592.43 | steps=443
global_step=16864 | return=-188.43 | steps=131
global_step=16960 | return=-136.35 | steps=61
global_step=17216 | return=-238.43 | steps=131
global_step=17232 | return=-346.61 | steps=174
global_step=17448 | return=-218.43 | steps=131
global_step=17688 | return=-257.53 | steps=129
global_step=17816 | return=-238.43 | steps=131
global_step=17920 | return=-238.43 | steps=131
global_step=17984 | return=-212.35 | steps=95
global_step=18016 | return=-218.43 | steps=131
global_step=18168 | return=-396.14 | steps=298
global_step=18288 | return=-208.43 | steps=131
global_step=18384 | return=-163.65 | steps=49
global_step=18504 | return=-228.43 | steps=131
global_step=18744 | return=-177.15 | steps=102
global_step=18872 | return=-178.43 | steps=131
global_step=19072 | return=-218.43 | steps=131
global_step=19224 | return=-228.43 | steps=131
global_step=19328 | return=-267.53 | steps=129
global_step=19440 | return=-208.43 | steps=131
global_step=19512 | return=-147.73 | steps=125
global_step=19584 | return=-255.93 | steps=236
global_step=19768 | return=-201.60 | steps=111
global_step=20056 | return=-205.33 | steps=76
global_step=20128 | return=-228.43 | steps=131
global_step=20144 | return=-199.83 | steps=174
global_step=20280 | return=-268.43 | steps=131
global_step=20384 | return=-258.43 | steps=131
global_step=20480, SPS=9
global_step=20640 | return=-278.43 | steps=131
global_step=20824 | return=-198.43 | steps=131
global_step=21112 | return=-248.43 | steps=131
global_step=21184 | return=-208.43 | steps=131
global_step=21336 | return=-218.43 | steps=131
global_step=21440 | return=-238.43 | steps=131
global_step=21512 | return=-143.65 | steps=49
global_step=21696 | return=-228.43 | steps=131
global_step=21880 | return=-218.43 | steps=131
global_step=22032 | return=-352.66 | steps=314
global_step=22240 | return=-220.15 | steps=131
