/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_0.3_bud_180_21-07-13-22-38/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=7184 | return=-70.40 | steps=146 | track=14333c7315ae3e0d38b9227a3e9d76b4
global_step=7200 | return=-118.96 | steps=318 | track=ca9814f63dbd35f879292c382674e0ae
global_step=7296 | return=-134.78 | steps=131 | track=58a84c9933817d3b4852b9ce632da2fa
global_step=7344 | return=5.08 | steps=63 | track=df92b7b5fef1b8d5da58cc7f1962ce2b
global_step=7360 | return=-18.49 | steps=130 | track=92be9ab39294d3fe983ce7e01f7d32d5
global_step=7744 | return=-125.85 | steps=131 | track=9c8caa958f3e2b05f995447a3ff32557
global_step=8432 | return=-126.04 | steps=131 | track=5839ddeb9103951bf8fb3649f75cc0b5
global_step=8432 | return=-132.60 | steps=131 | track=f8058fcc4580318580ed4182e993e8b7
global_step=8496 | return=-45.86 | steps=135 | track=48246592dd4acc607fe416777eb6b917
global_step=8640 | return=-134.00 | steps=131 | track=e8a21da05d2cc16f2479cf8a2a46d150
global_step=8704 | return=-138.17 | steps=131 | track=451433a7ea84b9967c2f7dbe9d5b58a1
global_step=8704 | return=-71.49 | steps=148 | track=ecd6e43faf3425d50574c73fd4e25776
global_step=8752 | return=-36.53 | steps=97 | track=cb3b9ab52e23d8eb94b22a5db2447780
global_step=8784 | return=-50.18 | steps=150 | track=c74b37de86f5c80aaeb2efbc93663d45
global_step=9056 | return=-128.83 | steps=131 | track=63c345a26c93ab621256c3bc7d1aab6a
global_step=9264 | return=-137.35 | steps=131 | track=8ce88e75d09d1eb05f3836d9263c9df7
global_step=9408 | return=-123.00 | steps=131 | track=eeaf502c29bc985e3ce1b072040a1fba
global_step=9456 | return=-136.29 | steps=130 | track=a6d391acedd9d34abf64c95640cc747c
global_step=9456 | return=-133.20 | steps=131 | track=9cb42a11ef6dea5986ea6b4e0e0baea2
global_step=9536 | return=-77.17 | steps=145 | track=719864e45162f04acad7ab7f5e07a19e
global_step=9632 | return=-80.36 | steps=70 | track=41a577dd7c0aa5dea8bd5bf26c63515c
global_step=9760 | return=-4.45 | steps=62 | track=1f0bfbe936298a718a70bd7b8c75b91c
global_step=9808 | return=8.91 | steps=63 | track=4080d546628c13500e0f0de00933d0c6
global_step=9808 | return=8.75 | steps=68 | track=d863c741857c3471ad889537919f6108
global_step=9856 | return=-134.29 | steps=131 | track=bb688589c830e4188e47490dfe0929ce
global_step=10128 | return=-63.09 | steps=216 | track=16aa52e9cd7c69a4f1be421901b62011
global_step=10240 | return=-58.73 | steps=51 | track=bebc21d3c341e872439b737bbd62e6bc
global_step=10528 | return=-131.42 | steps=130 | track=4e6215358a32a18f31410025cdc9848d
global_step=10544 | return=-121.93 | steps=131 | track=c8291c17f8e43e0555ed45eeb6a3b046
global_step=10624 | return=-58.13 | steps=50 | track=072703f359a8203f4ffe8b171356a826
global_step=10736 | return=-136.55 | steps=130 | track=4932ac42576826c9e47a649964663070
global_step=10816 | return=-130.69 | steps=131 | track=54384f597176f83fc67f5ae05682a5d7
global_step=11168 | return=-136.02 | steps=131 | track=1d7b6ee310f995ab31576f47dc5b4704
global_step=11360 | return=-124.51 | steps=130 | track=445320114a127233373da3f46034c0f0
global_step=11456 | return=-60.89 | steps=51 | track=c653c4f994512bff3affc643ff3d63c8
global_step=11568 | return=-127.05 | steps=131 | track=87ec3482601c04493ac1c5b480b1d805
global_step=11568 | return=-131.29 | steps=131 | track=071207b132cab36d5b47cb6fe64f8d94
global_step=11648 | return=-106.36 | steps=131 | track=154e140fa790b1956eac212e2bfa3bab
global_step=11744 | return=-128.32 | steps=131 | track=f9ad0b46c35b98ce62f20ff3ffc41e87
global_step=11952 | return=-131.02 | steps=130 | track=8a6625ab08d863ad943fafb47101b49d
global_step=12144 | return=-64.85 | steps=148 | track=2cbcc763c6f0e2830d22006f1abb2d47
global_step=12224 | return=-130.58 | steps=130 | track=242750e7cd1f57fb43ed200e5022589f
global_step=12288 | return=-114.69 | steps=154 | track=226a7d9b111c2961d7ef6dd3ff6cba49
global_step=12448 | return=-14.44 | steps=61 | track=db453c307cc12d17a1aa8799f7bec92d
global_step=12560 | return=4.40 | steps=61 | track=0e8752722abd905ac76105f25c36881c
global_step=12640 | return=-43.57 | steps=149 | track=2daaf0930eadcfc82e0b5bd7dbbbf427
global_step=12640 | return=-127.36 | steps=131 | track=5f310f2ee6bf8254d98d51c876e97d51
global_step=12656 | return=-136.14 | steps=131 | track=8527d35c370278cf3e69add86cd9a6c0
global_step=12832 | return=-135.50 | steps=130 | track=2e3f4b079ea8a9e586865846ddc301c9
global_step=12912 | return=-137.10 | steps=130 | track=9ed5f18cff1039386185c60d70eaaea6
global_step=13408 | return=14.19 | steps=69 | track=a1fc165074b224aee2dfc9f25b3155ef
global_step=13728 | return=-64.78 | steps=147 | track=70e18b513bacdf169dca870ddb6ce9d1
global_step=13856 | return=-134.01 | steps=131 | track=96ed510c9ab83aa4fc266bfce1b6fae2
global_step=14048 | return=-37.15 | steps=149 | track=ed34049e6f3be31fdf82544c143447bc
global_step=14064 | return=-130.89 | steps=131 | track=eac0efacdbe01e7c12100b0238196b25
global_step=14256 | return=-136.20 | steps=131 | track=1bf5ee284b8ebbadea43b90d2559350e
global_step=14560 | return=-126.45 | steps=131 | track=f4468d23add3feadc3d0db7c5711a46a
global_step=14624 | return=0.79 | steps=55 | track=985aeed0d9ba1549fc21b44023733e52
global_step=14688 | return=-38.68 | steps=153 | track=3eb8d288ffd79cf7b0f1b993d67ce252
global_step=14736 | return=-133.29 | steps=130 | track=3e74252e8d79cfc3b38e4e780f28654b
global_step=14768 | return=-123.40 | steps=131 | track=eef01943d6c2a6035a8f4ce11fa1c201
global_step=14944 | return=-133.01 | steps=131 | track=8600f76446dc9af88a36bbf09ead3efe
global_step=15008 | return=-32.52 | steps=99 | track=d67bd8676241db8339e6e3f5f07a88e5
global_step=15024 | return=-126.94 | steps=131 | track=8fc49d970b420e580ee9896e32d681ac
global_step=15072 | return=-89.59 | steps=243 | track=eac104f2d370885c30624ed6791ea5b7
global_step=15120 | return=-64.04 | steps=154 | track=dafca3259e2979ea080e6dc47df2baf5
global_step=15328 | return=-37.46 | steps=43 | track=167c7f73d79bf9766eb53dc88defe1dc
global_step=15568 | return=-64.53 | steps=51 | track=db7ca0bb6f77380cab4d2f1de903f947
global_step=15584 | return=-131.22 | steps=250 | track=9db5b5327a93f6d098d89b7eb45c524f
global_step=15600 | return=-7.24 | steps=83 | track=5e2a4beeb3c402eac3d8784f51385915
global_step=15712 | return=-23.97 | steps=102 | track=826064554d55b072f5504526ad81f00b
global_step=16064 | return=-19.40 | steps=61 | track=e02ce379d9b8903133d4acef4d75d5da
global_step=16080 | return=-37.74 | steps=59 | track=cc0bef68c2bc6a5ae8e0a2247779531e
global_step=16160 | return=-133.11 | steps=131 | track=bac41e8b969abf0e54297d6c0dbf013d
global_step=16288 | return=-57.60 | steps=151 | track=4c557cb3fa2f30faa5654a5d3cc8ec76
global_step=16384, SPS=75
global_step=16800 | return=-124.73 | steps=131 | track=6da32b85a84d01fa5a87d94363713c34
global_step=16848 | return=-158.82 | steps=267 | track=57ff73d6ff66a2f9d861502160d37e03
global_step=16880 | return=-137.90 | steps=131 | track=aedd51f5f189b4188f486c4cdc50f6b9
global_step=17040 | return=5.74 | steps=154 | track=7f89b88fda740c6a9a32b108ecb39e61
global_step=17072 | return=-54.26 | steps=61 | track=2a38a4bb114c4330ae8f2dbfb0bc705d
global_step=17104 | return=-136.08 | steps=130 | track=98c7c1fca2e7a86d7640087bd4ce83f1
global_step=17376 | return=15.30 | steps=67 | track=3aa2af1dad68110e1919f5ab8dd7d319
global_step=17440 | return=-132.70 | steps=131 | track=01e07ff144397f8a59b6ae61d3de704d
global_step=17456 | return=-75.99 | steps=156 | track=869afeb6d94e32f36ebcda9b5f25b514
global_step=17680 | return=-121.44 | steps=131 | track=2cff9f724e1199a88860ba6a64c5f864
global_step=17696 | return=-130.36 | steps=131 | track=c3394f2ccb96f36a0934a6e6736fb66c
global_step=17824 | return=-129.95 | steps=131 | track=c5599bde02d01eb138e838055b482770
global_step=17888 | return=24.62 | steps=67 | track=2afc2a3bd1999a4e25025fba3dd88503
global_step=18000 | return=-24.82 | steps=69 | track=41171692f0ab3717aed117da052f043c
global_step=18176 | return=-137.85 | steps=131 | track=6457ad7e2af9f75c2d0e744ddc3e2f92
global_step=18176 | return=-57.11 | steps=49 | track=d140756b74a0d4f042aa89687091ff6f
global_step=18256 | return=-134.60 | steps=130 | track=f9b9cc63a9270d658675f467b26fd04c
global_step=18768 | return=24.91 | steps=67 | track=c5148e949c610c88aa79b556b34bc2c3
global_step=18896 | return=55.71 | steps=66 | track=78cfd74e90d212f61b755c1c68800fb3
global_step=19088 | return=-146.21 | steps=217 | track=983e696efc0631a8c8148d5c05176fd3
global_step=19136 | return=-112.58 | steps=256 | track=facae08a3ddd1cc397a1053edc8d8452
global_step=19152 | return=-123.64 | steps=131 | track=ad47f05457cd69527ab4d2955ff9b44e
global_step=19184 | return=-131.76 | steps=131 | track=3a99c9e0b0a8c90f5865f055b4ca388b
global_step=19200 | return=-134.78 | steps=130 | track=938348e4b4583848d3a24ebdb03a91f5
global_step=19216 | return=-7.35 | steps=64 | track=b370a32e70e0ae0aea75cf67b4c7f7a1
global_step=19248 | return=-66.65 | steps=111 | track=51b844b9a0d1c69f6ad65d7e925ce41f
global_step=19328 | return=34.87 | steps=71 | track=c055b888de0598ab85ed43808eefb112
global_step=19792 | return=-128.13 | steps=130 | track=d8935f2a714a82d863a5e141ce0bbd2f
global_step=19840 | return=-72.62 | steps=149 | track=ae71f4f41abddc74c204cce8e3375f45
global_step=20096 | return=-136.58 | steps=130 | track=957beddd170bcb75ae2072bae22ede1d
global_step=20160 | return=-96.95 | steps=141 | track=6acc8bfb757e20e8bfa0da462a3f9ac0
global_step=20240 | return=20.19 | steps=71 | track=3d8aa3b34c2b59a2c35fadfc68f9745d
global_step=20624 | return=-69.40 | steps=107 | track=d36713aeb491c198f35cb0a2132df5be
global_step=20704 | return=10.00 | steps=53 | track=535be350e797bd86f6e69bbd68de62a8
global_step=20816 | return=-31.05 | steps=247 | track=5ea75617c5dab234cb92f682e060b021
global_step=20816 | return=2.53 | steps=63 | track=bbde0047fb05458fce1a2e523e24bfe5
global_step=20880 | return=-129.66 | steps=131 | track=85cc68f6abcc8b4e1313c65ff466c0d3
global_step=21216 | return=-127.16 | steps=129 | track=a182999897a50cdece1d4f34da5ab9e0
global_step=21312 | return=-121.19 | steps=131 | track=6ff2aa6aeb0b9543ac93a099229095d5
global_step=21312 | return=-133.88 | steps=130 | track=7bc314ce9fdc1a69a2cc1b133c5700ee
global_step=21344 | return=-137.57 | steps=130 | track=bb279338cd935b2c1640a69b7a32dd11
global_step=21648 | return=-55.77 | steps=58 | track=25feecd62642bc4472e3ae7766539d9f
global_step=21664 | return=-24.17 | steps=154 | track=35d6440f0390bdc9fa91926c6f019f5d
global_step=21808 | return=-29.36 | steps=154 | track=e5878d4092c24d9a5fac170a78e51aaa
global_step=22032 | return=-122.09 | steps=235 | track=c3bfffa6f4aeca3687be9cc36aeaa857
global_step=22256 | return=-132.64 | steps=130 | track=98588e4bb8634ab7835e7467dfccce4e
global_step=22352 | return=-129.57 | steps=131 | track=f635b13f14b2b91fa721d5724622f022
global_step=22400 | return=-67.88 | steps=94 | track=ab0d96a17a9a3f04e52cd862454e50e7
global_step=22416 | return=-53.68 | steps=46 | track=9f9ee50eedb89cf7a974092d2992f39c
global_step=22880 | return=-27.95 | steps=173 | track=1e8a4cb2edbd21cc6ceea35ea953a347
global_step=22912 | return=49.96 | steps=54 | track=afe1ab5282354ecc2a318ff696fcf933
global_step=23184 | return=-49.24 | steps=147 | track=501dacb31a2c8d42d0e9b4cc0d28bdf0
global_step=23216 | return=-59.14 | steps=149 | track=cd463466f7854de8c4bcfe1dc6561ade
global_step=23328 | return=-121.96 | steps=131 | track=28b7e922b499294b203906e1780a9fbb
global_step=23408 | return=-132.69 | steps=130 | track=ed7c69980c19c926b8f125b252a924ae
global_step=23424 | return=-120.60 | steps=131 | track=c2e0c98cf2424e44391940e3fb548b23
global_step=23440 | return=-136.76 | steps=130 | track=0d516d0c5a59244964cede1a9bf25c5d
global_step=23744 | return=-133.66 | steps=130 | track=ef4753eebc3f754b97d3f0783f16192b
global_step=23920 | return=-131.30 | steps=131 | track=c7cb2e3ff19d9af9412f6cd6ab867f7a
global_step=24016 | return=19.73 | steps=70 | track=f0bc2304a47f08414c45a77a901097ee
global_step=24128 | return=-106.79 | steps=310 | track=fb6715d3411df2016d44cf9e21e1e93c
global_step=24144 | return=-28.19 | steps=44 | track=543cec6ca8a26bedc726daaca30fcaea
global_step=24368 | return=-134.56 | steps=131 | track=607acd246ee2df27f619f8e8a93e79ab
global_step=24400 | return=-25.46 | steps=61 | track=17ec89667acb496e83c5f045e4debbb7
global_step=24464 | return=-136.76 | steps=131 | track=78efdaae4d2393f52b13f0e78ba30591
global_step=24512 | return=-131.34 | steps=131 | track=3780040f30103b8e4a610ecff69bd0d9
global_step=25008 | return=-133.80 | steps=130 | track=a70ab3ae3dcd7618d93aa5d37edf56ef
global_step=25152 | return=39.29 | steps=282 | track=cee72ba96d38aed831c8d49e74600856
global_step=25216 | return=-14.39 | steps=46 | track=803bc86e34f91d3bbed0064516b70e81
global_step=25264 | return=36.03 | steps=69 | track=b4fd9cae0743decc76b0db08c2a0231d
global_step=25296 | return=-135.46 | steps=131 | track=bd78c9ba2ae8fe156b4b04b75cab8557
global_step=25328 | return=-133.65 | steps=131 | track=35e6eef85d93e9cd741aff44ae413c7b
global_step=25424 | return=-92.65 | steps=87 | track=790672335dd20b55f6368499202dd6d5
global_step=25536 | return=-140.32 | steps=130 | track=d02a1e6ec81a4515d5dbcba81836658b
global_step=25648 | return=-67.64 | steps=201 | track=3f4f9df1c9244af7ed52e359c4900119
global_step=25664 | return=-64.04 | steps=145 | track=445dea27744318de22ab1cd9a4c85288
global_step=25856 | return=-126.31 | steps=131 | track=96a1ef3820e95e30b92caf5b1f386e9c
global_step=25968 | return=-6.74 | steps=59 | track=31cdb720d6e87a02e418361e38174bfe
global_step=26032 | return=-124.09 | steps=131 | track=9324e67a2f389635a0ffbcf96de8429f
global_step=26224 | return=-131.27 | steps=130 | track=807a56bfb022f069960f602fb07b799d
global_step=26624 | return=-127.00 | steps=131 | track=0b633431bec4c15d6156fb81773ce840
global_step=26720 | return=-73.13 | steps=144 | track=e9abff2b5c1bca0087e4abe9845b725c
global_step=26960 | return=-6.58 | steps=81 | track=bc5fce43abb9c03d67f3302c3d935fb3
global_step=27152 | return=-130.07 | steps=173 | track=c0385d5af1f581a7fbeb8d227faf7d8e
global_step=27376 | return=-2.81 | steps=138 | track=67b2efceaa41cfd9bebea6ceba429666
global_step=27376 | return=-134.51 | steps=131 | track=c77ee24a24b51cb70659bf0c3eed44b1
global_step=27440 | return=-122.86 | steps=131 | track=366fa540884b99b95aa874f3b26ef1bf
global_step=27440 | return=-56.59 | steps=50 | track=e3b3c5f65bd2bbeee04bfd50c74192b4
global_step=27776 | return=-131.38 | steps=131 | track=6814993bced5c34251d0a26520d69a36
global_step=27920 | return=-47.40 | steps=47 | track=0fc33c80e6fd9cbda24275d0e83b8723
global_step=27920 | return=-123.03 | steps=168 | track=710d692f0ce5d7f82a82b5a51ffad224
global_step=28000 | return=-116.75 | steps=168 | track=edfa82381fb9c73446934ad94aa8c9fa
global_step=28080 | return=-128.92 | steps=131 | track=5d20eb58851da3f9248e96fe33eb04a2
global_step=28128 | return=-130.72 | steps=130 | track=55b5013e13d757b4f4ba95c6101f936c
global_step=28128 | return=-48.54 | steps=42 | track=447060778502bc8df0848fdd9ce51c74
global_step=28240 | return=-67.49 | steps=148 | track=9b9fcb06d767c3a7493d1fa69f829f75
global_step=28304 | return=-30.37 | steps=179 | track=021a0bdf7660a947d93a52e3ce447366
global_step=28320 | return=-137.87 | steps=130 | track=4ad6eb4f2e004e907888d1bdd72f5bc6
global_step=28832 | return=-102.27 | steps=131 | track=a395ed64105c9eda9d9b7114286d46a5
global_step=28848 | return=23.81 | steps=66 | track=e2d880b18ea2450469f14eedc2948a74
global_step=29248 | return=-17.59 | steps=57 | track=856b97b8a718f356accd53fc03c9777c
global_step=29488 | return=-129.65 | steps=131 | track=f8fa456d74ac0d97219001e78eb0fe96
global_step=29488 | return=-125.50 | steps=131 | track=0027bda1835c7321ec74abb96bd2a8e9
global_step=29616 | return=-153.11 | steps=165 | track=3ec2add8bb149280178e76a25086ccfd
global_step=30032 | return=-132.06 | steps=131 | track=1e74194b55339d0b3ceedc62c3db5f84
global_step=30032 | return=-127.30 | steps=131 | track=abe15b069e1bc6fd1ea45b2f04c1b7bc
global_step=30096 | return=-125.00 | steps=130 | track=63bea6d59009fae95cd61ab5e2ed26ad
global_step=30176 | return=-125.30 | steps=130 | track=876cb21e350b173456619c0e899ee8aa
global_step=30224 | return=-141.55 | steps=130 | track=38f9fd4be7453ad9d089c2d41620f3fa
global_step=30240 | return=-138.35 | steps=131 | track=2448af41837c641285808884455a2f18
global_step=30256 | return=-121.02 | steps=294 | track=ac60213ebd75b132d1929085c517d943
global_step=30352 | return=-135.01 | steps=131 | track=63d01eef600aef1cb24506cbe68b5bb0
global_step=30384 | return=-51.44 | steps=183 | track=ae828f81d534aae29c3615f2362be497
global_step=30416 | return=-130.78 | steps=131 | track=019128c630b7cf7208f9dce9a9bb6aa6
global_step=30512 | return=-10.48 | steps=63 | track=b69882eb9c21a38ea63ac375b56d950a
global_step=31136 | return=-2.47 | steps=64 | track=9c0d692e655fdb2a61d678f91126a6f3
global_step=31248 | return=-17.33 | steps=150 | track=8199533074b51fca391da2c932d4d90d
global_step=31712 | return=-136.77 | steps=130 | track=4a3d1a81e3888f44b1662d4f090ae159
global_step=31856 | return=9.44 | steps=162 | track=3e026192590804a7d63a7679401ecea5
global_step=31888 | return=-33.96 | steps=149 | track=5c29a3b41ba4a0acb4d28d24d30b5f2f
