/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.5_bud_180_03-08-23-08-19/info_settings.txt
Device: cpu
Navigation model path: runs/CarRacing-v3__train__1__1785768450/agent_step3276800.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=6880 | return=-100.16 | steps=130 | track=0ca5a8049db206be788e57aa09b3a724
global_step=7152 | return=-91.22 | steps=131 | track=47f593ad87f7641c75c6fe3b326339eb
global_step=7296 | return=-87.71 | steps=131 | track=9de687d2d16938e8a703cee8bea82fe7
global_step=7328 | return=-92.96 | steps=131 | track=3ee185333874928284ca20d19da15439
global_step=7728 | return=-101.51 | steps=131 | track=4f5e8029a814a429e94f34303e2d4a43
global_step=7744 | return=-111.51 | steps=131 | track=ec3b2ebadcdd9454134b6ada0c36a015
global_step=7744 | return=-100.47 | steps=131 | track=c277c0f4572fe0448f580243e5c18836
global_step=7808 | return=-93.64 | steps=131 | track=26cada7036b1bca5fa4558f51464e47a
global_step=7920 | return=37.85 | steps=85 | track=0e2583bca9e1f608a1cc3dc5f2c2e24b
global_step=7968 | return=9.56 | steps=103 | track=1e9148b770526ff22670a51401567d4c
global_step=8032 | return=-103.62 | steps=130 | track=514c572e697216f2b78cc2e3ff4beef3
global_step=8224 | return=-88.80 | steps=131 | track=150188dd64a5900e97725259c0d34abe
global_step=8416 | return=-113.19 | steps=131 | track=9156f41092683b00c81054c641184a48
global_step=8416 | return=-99.67 | steps=131 | track=e5ad1788e8bf203dcbfaebceed0a1773
global_step=8496 | return=-81.87 | steps=131 | track=39718a4f5541efb2aa4d80fdc8073b4d
global_step=8544 | return=20.14 | steps=75 | track=af25e6b6ea2f2379a95bbb533dfe1dfa
global_step=8560 | return=-79.63 | steps=139 | track=dd42380b23366a93bd6ecfae75219c0c
global_step=9104 | return=33.41 | steps=80 | track=8e8558a36272e9ea2470f1db5368e2f2
global_step=9264 | return=-93.10 | steps=131 | track=2d2ad81b479889990af7e85eb6550c6c
global_step=9280 | return=-2.67 | steps=96 | track=87c4f2664db8cb9baa6c2aa93d1425e4
global_step=9616 | return=-24.54 | steps=144 | track=763af3e64a6895d8229d37efcdaf88f1
global_step=9840 | return=-104.49 | steps=130 | track=9aa3a9b31b8e34bc4e2e3bfbc74fdb6d
global_step=9872 | return=-112.58 | steps=132 | track=ca2398ae4a01692d61c74b7a1083a9df
global_step=9984 | return=-61.72 | steps=44 | track=5c179f0374195f8867b68ad9844b93c2
global_step=10032 | return=-103.60 | steps=131 | track=2e9ceb41343621191e97c9b4a2e9d243
global_step=10080 | return=-94.93 | steps=199 | track=c8110749b45c43a55f430789a01fcc00
global_step=10144 | return=-95.69 | steps=131 | track=248df80a9a133cae1f86ec32db46422d
global_step=10336 | return=-103.14 | steps=131 | track=bc531eaa94cfaa824fd2036f865d2c4e
global_step=10528 | return=-97.13 | steps=131 | track=68a53329afd6193da30c4c75d5d7219a
global_step=10528 | return=-91.22 | steps=131 | track=5eda456f98162b13d4ab80b46f3468d8
global_step=10592 | return=-108.76 | steps=130 | track=f7f75e1fae36e9aab63ad6be81d7a0db
global_step=10656 | return=-94.72 | steps=131 | track=074ed0e3b0a3d8aad5b0ce639bf44188
global_step=10656 | return=-44.20 | steps=64 | track=210ac1b9b3b32d0d0d5cd66f0e2565c3
global_step=10912 | return=26.36 | steps=66 | track=58e635151daa053ad6d93d48f0674a0f
global_step=11088 | return=-93.85 | steps=65 | track=1c887f4cdb69487e5ae77b2a58bd663b
global_step=11216 | return=-89.13 | steps=131 | track=97d0cb52f2145dc23905482ba4312cf9
global_step=11360 | return=-46.26 | steps=43 | track=ee3bc3e17c97c70c6da42710a9e8bc54
global_step=11376 | return=-102.98 | steps=130 | track=0e7e30750ba988aa0d8fc192d7f1076e
global_step=11552 | return=3.29 | steps=63 | track=8c825fefd6e788bf1ac9b012b8723d74
global_step=11968 | return=-94.74 | steps=130 | track=053b0a9edbeea7fde2d6b96ecb525330
global_step=12000 | return=-15.33 | steps=67 | track=d741c96dffe2da0c8e33ebb0c0966f1a
global_step=12096 | return=-89.71 | steps=131 | track=c04a4e7219441bc75963bc99cc6a0951
global_step=12192 | return=-108.79 | steps=131 | track=b979670dec01ff4693173b02aa6568e5
global_step=12448 | return=-96.54 | steps=131 | track=ced4f577c3bea72a6cdd78224b988da4
global_step=12640 | return=-95.73 | steps=131 | track=6a837a27df79fb456cd575c5e99f0fc0
global_step=12704 | return=-94.67 | steps=131 | track=a1443c37ee36ff4c81a4ff02932de219
global_step=12752 | return=-104.88 | steps=130 | track=c08f10329af91e7025da9800d6e96e25
global_step=12976 | return=-35.90 | steps=48 | track=1defcb5695b372e65670e64f1805f086
global_step=13024 | return=22.75 | steps=65 | track=19a343b4ea93f753d4c3850b8bb703c4
global_step=13056 | return=9.39 | steps=114 | track=3f26a00f9c88a3ed703f6d0d162c3dac
global_step=13136 | return=25.62 | steps=64 | track=f99c1c67145ee9f6eb4f20149e306086
global_step=13200 | return=-93.13 | steps=131 | track=287979983f638a90b44317a4c2d59519
global_step=13328 | return=-72.65 | steps=35 | track=896bd249b2d03e3729f62bdb03e18fc3
global_step=13472 | return=-87.25 | steps=131 | track=c3406ef3a39b7d818d00458ac91dd550
global_step=13488 | return=-94.81 | steps=131 | track=a905cb6588269c9aeb1a7ad58e4fae5f
global_step=13600 | return=-89.07 | steps=215 | track=fe94725a4d9ae92102144a36318c610e
global_step=13952 | return=-53.86 | steps=149 | track=3186d58eabd652166c18aa60a66a69ae
global_step=13968 | return=-3.58 | steps=61 | track=60ab624db6ae68ce17f69b9a9e080e81
global_step=14112 | return=-100.45 | steps=131 | track=e81ba9f388ee8fa4dcfc2f9b0d0b1bb4
global_step=14144 | return=-7.68 | steps=62 | track=40f3fd5e72781415add7020a136c00d1
global_step=14336 | return=-3.59 | steps=117 | track=ee174d62d8218cbdf5f944cb16959ccd
global_step=14752 | return=-98.34 | steps=131 | track=68444a82b47935ec1713aab83c57ac27
global_step=14816 | return=-92.31 | steps=131 | track=767362a5e81a72f60c6dbc516bc1321b
global_step=14832 | return=-78.84 | steps=44 | track=f95782007e3e868bbfb1d0ba37a7adea
global_step=14976 | return=30.28 | steps=437 | track=1a14a8c1d2a10ac6af6c47eb64b4cf46
global_step=15056 | return=24.60 | steps=67 | track=797042188482aa8b966e45beb05415a3
global_step=15232 | return=-63.43 | steps=137 | track=db2eeda0d8c07a8e69915296d4f849ba
global_step=15296 | return=-92.19 | steps=130 | track=963a30d3f2e4dd10d678b831c1f5847a
global_step=15328 | return=-53.24 | steps=422 | track=0e57e4786491bbd35d6923d53224c02b
global_step=15424 | return=-106.37 | steps=130 | track=0352fdb6531f7966ac1db8dee80229a0
global_step=15600 | return=-102.56 | steps=131 | track=634c14e5bc45a06b127a6934ae219f6b
global_step=15680 | return=-70.63 | steps=163 | track=f73339cc9fcd61bf3c4ce22d70ede411
global_step=15840 | return=-88.53 | steps=139 | track=2c05cd1a084187d7e89c57eb3c3d1ce7
global_step=16048 | return=-84.32 | steps=80 | track=b3ad6e8544732b6d44fabb13002bc69d
global_step=16064 | return=-89.74 | steps=131 | track=4b4ad17199459756859951c3ebe647ac
global_step=16256 | return=-91.90 | steps=131 | track=c0d60d1c4aa65df9a21650b3062107b6
global_step=16272 | return=-91.23 | steps=174 | track=3d9b520538f506af245798eaa073d8db
global_step=16384, SPS=80
global_step=16416 | return=-3.00 | steps=69 | track=77d82f7c6e2395ef23c906fdded4e863
global_step=16448 | return=-86.15 | steps=131 | track=ae23964b44a32490f2b99211fc28695b
global_step=16784 | return=-44.47 | steps=44 | track=ce48010c1d4d27f37f1815620f977794
global_step=17024 | return=-55.93 | steps=60 | track=47e24b4b66ab140dd1fc0bdbf6fe7afc
global_step=17056 | return=-24.94 | steps=138 | track=71934338eb7791b75a2f0161ee3b913e
global_step=17088 | return=-86.46 | steps=131 | track=31c4c325871323f359df25cdc7c098d8
global_step=17168 | return=-97.13 | steps=131 | track=869bee3dc88e9b20e9da5ba2469a67e4
global_step=17344 | return=-89.87 | steps=131 | track=13f458b93e6f5d1cfc4f40b0915166d8
global_step=17440 | return=-102.22 | steps=131 | track=6fab609233b6bc9c6dc692bf92a5fd6a
global_step=17488 | return=-100.28 | steps=128 | track=b0f71de97f2aa81070f3814880f86215
global_step=17920 | return=-92.95 | steps=91 | track=21e3747f84d5d851f325aefd354b58bb
global_step=17952 | return=-98.20 | steps=131 | track=5458ea2063f4f52e9839b027e38d14d0
global_step=18096 | return=-17.99 | steps=62 | track=ce1f440f021f896d2499c3fb5210f5d5
global_step=18144 | return=-52.44 | steps=40 | track=9607216882b0554ce150bd3f3b8e7807
global_step=18160 | return=24.23 | steps=70 | track=5109daf7610cd5da9f5214fdf7f40fbb
global_step=18192 | return=-81.23 | steps=110 | track=91c0a0b2468f482992854f2fd4f07c03
global_step=18240 | return=-45.95 | steps=164 | track=a1036ea6b948b3c69e9b29fa2ada54f1
global_step=18384 | return=-92.48 | steps=131 | track=c079aa4bb436112dfaf9b3b494bcf57f
global_step=18432 | return=-82.76 | steps=85 | track=cc394abd61e54d623c1c512403cb5e45
global_step=18816 | return=-108.61 | steps=195 | track=e754ed5728eb37f12f7597b284d0efcc
global_step=18832 | return=126.34 | steps=250 | track=efae4c1fc4d565af1c381222c357c686
global_step=18880 | return=-101.46 | steps=130 | track=caac2ab7a76ef00e3a39002ff6c58f70
global_step=18928 | return=-42.71 | steps=166 | track=c8913f891121033baf8b199140ed06bb
global_step=19152 | return=12.05 | steps=74 | track=960dde51df23045f2503e4485f72fdb7
global_step=19280 | return=-99.40 | steps=131 | track=4f681936ffd1b2a35366a527e1060cf8
global_step=19456 | return=-101.73 | steps=131 | track=68154c3db1077759cf1b0853d6601ba8
global_step=19552 | return=-88.37 | steps=131 | track=96d0d0c3a07dcf8b6b02f9aad9a76edc
global_step=19776 | return=-75.21 | steps=101 | track=ec5c040994c7e4e470feb4dfd457c373
global_step=19856 | return=-10.76 | steps=60 | track=ea104be934f42d62a9a73774d7e40bbd
global_step=19952 | return=7.48 | steps=63 | track=3e321cf5be826b12b74795585d32a67d
global_step=20032 | return=-101.64 | steps=131 | track=af09e9a2d748786f2e205885710ac477
global_step=20208 | return=-107.35 | steps=131 | track=feda5c72ad611090eb41f70134a14786
global_step=20256 | return=-110.36 | steps=130 | track=7cb4c6c637b0a04a7cda7484fc72e1d3
global_step=20288 | return=-103.77 | steps=130 | track=49c9b5e1806e00548f93d426d5217a58
global_step=20352 | return=-99.75 | steps=131 | track=be3f712501380bb4b0ec36b83f073b59
global_step=20496 | return=-100.28 | steps=131 | track=714491f728149d41a94eb1c42aca284b
global_step=20528 | return=-100.13 | steps=130 | track=a23ccc987aa649453db377d9d4aaa92a
global_step=20592 | return=-71.24 | steps=89 | track=f12115fdc2a23440480b2092730dcb90
global_step=20928 | return=-92.09 | steps=131 | track=25174f8f4debf6d3b1090a627900f331
global_step=21056 | return=-28.62 | steps=63 | track=eaf5fc443ba9aebdd515b3dbd5ec564c
global_step=21296 | return=-71.53 | steps=89 | track=a5c1c7126060b602dd1b4eb103f77713
global_step=21328 | return=34.29 | steps=69 | track=cd9355652e845dc0a46264496c689d82
global_step=21392 | return=-89.96 | steps=131 | track=ab25307e5196f3af40dc70d51cf336c8
global_step=21568 | return=-83.63 | steps=131 | track=25082f3ea700e42a86f89f57ff37cb2c
global_step=21664 | return=-99.30 | steps=131 | track=c893322a959d3f830d1b7343ccb5bedd
global_step=21696 | return=9.08 | steps=83 | track=ee6a0db1bae32fc5904ea06e7f49cf32
global_step=21728 | return=-82.66 | steps=110 | track=5ecc9947873f245bd9b9cb43658dd47b
global_step=21760 | return=-77.29 | steps=93 | track=0c4a11b47665e2352bd74fe6db0f4d0c
global_step=21888 | return=-99.78 | steps=131 | track=4b00ef02f842934474e23211ee2e0522
global_step=22080 | return=-104.24 | steps=202 | track=2c2ff8972634c2003f16d6004d6e8312
global_step=22400 | return=-88.72 | steps=131 | track=bbd53bc00115e169f7b00a0e4a6a32ee
global_step=22448 | return=-59.96 | steps=65 | track=ffcfd8f72f771c9833317d811f665b6a
global_step=22608 | return=-102.09 | steps=131 | track=ef3224b78c4e3d072feb9dbb6ff4307d
global_step=22624 | return=-102.83 | steps=130 | track=c599162fdc154e3f453a4e44436b7497
global_step=22704 | return=-101.60 | steps=131 | track=916911942fb27f4d2590401248a8c239
global_step=22944 | return=15.85 | steps=65 | track=14cd317b6ae3105a09e1da6c9a061330
global_step=23040 | return=-96.79 | steps=131 | track=08810dc76edf12796b3851cfc8c0c19f
global_step=23120 | return=-12.03 | steps=64 | track=079ee028f9b3e441e505d33f15f3a11d
global_step=23152 | return=-100.52 | steps=130 | track=f066581b0a33fa4e7b674e0b053ca2fc
global_step=23200 | return=-70.35 | steps=89 | track=908196e1e3848bcfae18660b0a950a51
global_step=23248 | return=-42.32 | steps=119 | track=c3bd2afa552db499df90c944a72c179c
global_step=23600 | return=-23.44 | steps=61 | track=a246645e033c3bb3382977ee62243f17
global_step=23664 | return=-43.91 | steps=44 | track=46e7bbea99945b9a8f133ee01932d84f
global_step=23680 | return=-101.22 | steps=131 | track=718b2516a4f2848c8644f90b078999a3
global_step=23808 | return=-105.98 | steps=131 | track=1d823b16017cd176f43aab59a1a641cc
global_step=23824 | return=-120.49 | steps=157 | track=c13a95bc2a59ebcb99cdb23476d87337
global_step=24320 | return=-69.65 | steps=161 | track=8de62b5db4207bd65053cd3290f8d797
global_step=24512 | return=-96.87 | steps=131 | track=0a6213e566c03822ee462a2cd448d5ce
global_step=24560 | return=-96.05 | steps=131 | track=2da6ab86744c7707512762c2bb795032
global_step=24736 | return=9.48 | steps=66 | track=a97eb8875ea9b9a88401ddf96f3aa9be
global_step=24736 | return=-87.97 | steps=131 | track=da00985c551e39dc56ea085c70ad75c5
global_step=24816 | return=-87.31 | steps=131 | track=45fbd7368f881edcb2660f381ec3fe32
global_step=24848 | return=11.49 | steps=64 | track=cdd8b206cda27486e9eebb7ca84c3ec0
global_step=25056 | return=-76.16 | steps=45 | track=4826a03dc527a4eda9007855fe85d32c
global_step=25152 | return=-95.79 | steps=217 | track=0d93f4fa24563891915d97ff199f85ef
global_step=25152 | return=-85.26 | steps=131 | track=f49643669ea64501b264b21cc0fc52ca
global_step=25232 | return=-94.55 | steps=131 | track=0c986d8cb49e2741486ccef06ef3e79d
global_step=25264 | return=-99.57 | steps=131 | track=f82ff5b7cee40b2d4389c1280b57264a
global_step=25312 | return=-98.64 | steps=131 | track=513adbea639659789ffa0321837a13cd
global_step=25360 | return=-88.24 | steps=131 | track=b622c198ee62f0a54b23fb74b388cd03
global_step=25712 | return=-93.00 | steps=131 | track=ab5b257adf33ebc78992c970cb8b8b33
global_step=25760 | return=-15.02 | steps=63 | track=6f1f69f569dbd903e4db5300f395b6bd
global_step=25792 | return=-99.71 | steps=131 | track=f3826f5820fb53b690ac059bb5d81f4c
global_step=25840 | return=-48.62 | steps=79 | track=5507bb23b676bab11be849324f5c59da
global_step=25904 | return=-50.18 | steps=129 | track=df8a704c408a0d71776460180a5fef43
global_step=26016 | return=-52.62 | steps=43 | track=be89a61f2ccd8d8e7eb0b28375d7858e
global_step=26064 | return=-55.52 | steps=49 | track=592e235ae8f85a43546d3ed9b9b51b36
