/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.0_bud_180_03-08-23-08-25/info_settings.txt
Device: cpu
Navigation model path: runs/CarRacing-v3__train__1__1785768450/agent_step3276800.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=7296 | return=-114.59 | steps=121 | track=9133eecd8bac3c8613f56c8fee52c3a2
global_step=7328 | return=-109.09 | steps=131 | track=b48ee1e980c20dcad95dfa8600284d16
global_step=7392 | return=-113.24 | steps=130 | track=af48996ff3d20eaaa36504e4a76713c1
global_step=7536 | return=-63.07 | steps=75 | track=90f3eb0af1b9b18185ec0000cb38ce2c
global_step=7584 | return=-116.57 | steps=131 | track=11c7c6c594a0445ffb4192af9c417c4e
global_step=8016 | return=-71.19 | steps=42 | track=1c949229d1490314f32f86cc3500a6d2
global_step=8080 | return=-145.95 | steps=242 | track=529d61d6a465adf05e5fa5613bb87539
global_step=8144 | return=-49.90 | steps=46 | track=35fb630e4e02ffa61893f424dd941666
global_step=8336 | return=-8.64 | steps=64 | track=e9fca15861ced69b4f48dc45292c8c89
global_step=8432 | return=-98.62 | steps=131 | track=2628822aa37e94cc4ef3ddd520c68f9e
global_step=8608 | return=-41.78 | steps=145 | track=4c473acb157300aac8baf34352b5ab50
global_step=8848 | return=28.43 | steps=274 | track=94d73ec2e9d6c3e4c7bbde214e01bd75
global_step=8864 | return=-99.91 | steps=131 | track=147612ef89e29c0dc16ae00276a33af0
global_step=8976 | return=-47.78 | steps=146 | track=f30f0df74ea446e9bc2531400aadb4fd
global_step=9344 | return=-103.43 | steps=131 | track=8ed40c849be1de34c64c32615c36ed00
global_step=9408 | return=-99.09 | steps=131 | track=26ec0f107f351e5c60bd090e03bb4537
global_step=9648 | return=-124.89 | steps=131 | track=34400dc66d4ec44827db80f1a9d9f6d6
global_step=9680 | return=-50.73 | steps=50 | track=a3ec753a4c832b298116e939564860ff
global_step=9696 | return=-85.63 | steps=131 | track=a2114a966e87fd733b027c40f22d9eda
global_step=9760 | return=-100.72 | steps=157 | track=015877fd323c30d82589b017b5760e57
global_step=9984 | return=17.29 | steps=70 | track=952a75c94e0609289e4c85815b9153fa
global_step=10128 | return=-109.51 | steps=131 | track=317f9050667f2d1e3762bfe3f31f22ad
global_step=10176 | return=-106.52 | steps=130 | track=c58415b924e6600e0ebcb4ff9abb0170
global_step=10240 | return=-109.60 | steps=130 | track=4cc892977e9ee6be7c6f2d9979c634bb
global_step=10368 | return=-47.69 | steps=63 | track=1eb3be3980422e0d0ba78a251779cb71
global_step=10432 | return=-136.00 | steps=216 | track=55d0a9036cb904da9e260a4ab46bb328
global_step=10640 | return=-101.84 | steps=137 | track=5441828469659640df8d474e41824cef
global_step=10720 | return=-117.00 | steps=131 | track=f31c17b94f563844ce80d43066c4afe5
global_step=11008 | return=-57.72 | steps=47 | track=9580583d908a6c49fbc27fcb5b2639be
global_step=11088 | return=-96.98 | steps=131 | track=16a65e4619be7bce548948f5cffbc0ee
global_step=11120 | return=14.38 | steps=88 | track=19c654ae3ad86fcbc8baf40533f93990
global_step=11520 | return=-103.37 | steps=131 | track=60a66919ef3bb1221d78379c11d0619e
global_step=11744 | return=-111.20 | steps=130 | track=e89db713a4999b0c8636384d68fb72d7
global_step=11856 | return=-117.60 | steps=130 | track=fdb617a9fdc3024ba3d319a70f031e6d
global_step=12000 | return=-27.09 | steps=61 | track=6af5a5e17e0360a947d4ee310e4ee212
global_step=12096 | return=-97.39 | steps=131 | track=c7fe0b3803488369910ffe99e5a069da
global_step=12240 | return=-105.35 | steps=131 | track=4cb7f763f3d099d78c8b533fb318b024
global_step=12288 | return=-113.33 | steps=131 | track=17888b0980bb7e5419b357b99aefa7e3
global_step=12384 | return=40.80 | steps=78 | track=72e76e0c786d44a347853dd0f9304642
