/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.7_bud_180_03-08-23-08-21/info_settings.txt
Device: cpu
Navigation model path: runs/CarRacing-v3__train__1__1785768450/agent_step3276800.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpuNavigation Model loaded on cpu

Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=10352 | return=-100.28 | steps=131 | track=950b72a144e613e0bd3658de8c56d7ed
global_step=10544 | return=-91.61 | steps=131 | track=e201a3af3e95e797303a982a73e2060f
global_step=10576 | return=-95.89 | steps=131 | track=7e7506edbc2f5ebbe458354fe6450ad8
global_step=10576 | return=5.39 | steps=203 | track=0076a1dbdd3537930ebe46db39c8db18
global_step=10720 | return=-109.78 | steps=131 | track=49f72250ea954da0294838d5c73495c3
global_step=10960 | return=-97.18 | steps=150 | track=f20e9c9ac0b8c84311588ebc2dba549a
global_step=11024 | return=-55.31 | steps=41 | track=6b900733a27f5eb62f34b6bd5c367785
global_step=11200 | return=-102.07 | steps=131 | track=3fbfbd5551cfe9fcc4e22bdaedcc3a9d
global_step=11216 | return=-98.24 | steps=131 | track=cdddaf1ccd88155b6e49074825b1d1cc
global_step=11248 | return=-103.70 | steps=131 | track=f355cdc61084ef8645b89d06097d0f63
global_step=11248 | return=-108.29 | steps=205 | track=a8dfa73e7bbd7062becf816a8262ad0b
global_step=11296 | return=-96.90 | steps=131 | track=b2eccf91453d1f84328add1f39eb8b86
global_step=11600 | return=-109.90 | steps=131 | track=88bb0471c00eedc1b3a24100aeb3c313
global_step=11728 | return=-106.24 | steps=131 | track=4e8ef1648efef5a309dc73e9db9097b2
global_step=11808 | return=-107.97 | steps=131 | track=3e1925a0050dfd8583879a319b58a9ae
global_step=11872 | return=33.76 | steps=71 | track=342ad8a976419a0dd490fa7ca1d9871f
global_step=12160 | return=4.92 | steps=74 | track=517029c1e7558b0ebb14ee88cb8ff1ea
global_step=12192 | return=10.90 | steps=61 | track=8164796e0c595dd702ede67193d20e3d
global_step=12656 | return=-97.98 | steps=131 | track=efc00b0836083b28348ba33af829231b
global_step=12688 | return=-105.13 | steps=131 | track=3648301c9d7432dbd2215caa4f0078db
global_step=12688 | return=-101.59 | steps=131 | track=ad7649572c0b81dda4eae6ab9a632035
global_step=12720 | return=-20.68 | steps=61 | track=51b9f09d646a779e61d8c3cbbe874635
global_step=12736 | return=29.68 | steps=161 | track=36415806e1314bc3644f14f04c28b4ca
global_step=13120 | return=-8.38 | steps=77 | track=7aefe3ec3217151e72c62ed9984f0720
global_step=13120 | return=-94.53 | steps=130 | track=386dfe9d74bf8fc19ee581ee45f16e44
global_step=13248 | return=19.04 | steps=65 | track=9fafacccb94ac38a2414523608938924
global_step=13328 | return=-89.93 | steps=131 | track=ff4ac9f0357345399ca564bae448e692
global_step=13344 | return=-66.83 | steps=95 | track=2fb565fcc43159951344619372da9a61
global_step=13360 | return=-95.30 | steps=131 | track=ea370b7c435ce75dca93db7405fad0e8
global_step=13408 | return=-100.09 | steps=131 | track=ee479c2d46f89f9f277cfccb34d8ca82
global_step=13712 | return=16.34 | steps=65 | track=8b2076747315a5d9be58dc4c99c0c72c
global_step=13712 | return=-102.21 | steps=131 | track=97739d6bfc17fa336faca07eb588c586
global_step=13808 | return=-0.24 | steps=67 | track=09949d8abdfa1efb31998de2fb8d1193
global_step=13872 | return=-0.28 | steps=73 | track=7d1ba69e1f160759e2d54cb798db388e
global_step=14160 | return=-0.98 | steps=64 | track=41dc0a394a55c958d0149cb4c29dae3f
global_step=14272 | return=-95.82 | steps=131 | track=a55eb17717340bb9f5a9e1fe03d7ca7d
global_step=14336 | return=4.87 | steps=260 | track=4e0a569f9a21d96a7c82fc5f59d6f762
