/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.8_bud_180_03-08-23-08-22/info_settings.txt
Device: cpu
Navigation model path: runs/CarRacing-v3__train__1__1785768450/agent_step3276800.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=6368 | return=-54.56 | steps=42 | track=84d4b7acb32f41560598a0cbcb6bca76
global_step=6688 | return=-104.08 | steps=123 | track=1114118df4fa8f45a7c7757b8459bee6
global_step=6896 | return=-93.66 | steps=131 | track=7130dbfefb1dc37adcbfcbe5d0eb4f17
global_step=6960 | return=-101.37 | steps=131 | track=380a8cff5d72efab9c8beb7638653e8b
global_step=7040 | return=25.75 | steps=72 | track=b3eae97c0346f254d44ec92cc57f515b
global_step=7280 | return=-76.19 | steps=94 | track=7be05975e20a88e1e4a51732096c273a
global_step=7296 | return=-18.29 | steps=61 | track=5b7f1eaa5785041e5e253f31adad30e5
global_step=7472 | return=-104.95 | steps=131 | track=0d4693f3ff5807c13542673986835728
global_step=7712 | return=-119.43 | steps=130 | track=b521ec04009bab8d6ec66a9dd6904270
global_step=7728 | return=-116.38 | steps=130 | track=02a3b9444b70847193d7ec80d8633baa
global_step=8128 | return=-103.72 | steps=131 | track=0d24933c00914881911d346bd878a2c7
global_step=8160 | return=-75.80 | steps=142 | track=238147ca74bbc37bec9097b8831506f0
global_step=8400 | return=-110.63 | steps=130 | track=7278ba4dc962951404e79bc144a464b7
global_step=8432 | return=-98.14 | steps=131 | track=a3c63c620a5915742926f475cfb6b892
global_step=8432 | return=-90.71 | steps=131 | track=6f01a21a9d610809a0b452b327e130f1
global_step=8464 | return=-109.64 | steps=130 | track=f1d213b70c857fdd5e5784cf7df9d1ab
global_step=8608 | return=-29.20 | steps=119 | track=9c8307f897faacf28eb008d2a2134b0e
global_step=8720 | return=38.54 | steps=77 | track=54daca3ac160babc91cbe44625ff3741
global_step=8752 | return=1.06 | steps=168 | track=3ef4b69ca7dac21e300b9649fc4bba92
global_step=8800 | return=-68.29 | steps=41 | track=5694ac21efe5d2e613a11c6eb4802823
global_step=8912 | return=-56.68 | steps=46 | track=e945368421701b6fedf5a7fea8edcbf4
global_step=9008 | return=-127.86 | steps=131 | track=5d6578b7a402b9d1113658c961b308ff
global_step=9056 | return=-103.59 | steps=130 | track=20ba9e587f367b383b6d1cd963879cf5
global_step=9168 | return=-121.91 | steps=132 | track=e9cdef2dfc4bac32a66993c566cbce9f
global_step=9408 | return=-102.21 | steps=131 | track=c07ff5b5b8f21c3e8894898ced520ef3
global_step=9488 | return=-75.34 | steps=137 | track=394da9d59d2aa7bd7367af5824eac41c
global_step=9552 | return=-57.13 | steps=46 | track=48862e1bbadb84ba06050842c5ad8ccb
global_step=9792 | return=-1.62 | steps=64 | track=5744775b930a98d8f433e8d59292c0aa
global_step=9824 | return=-119.71 | steps=131 | track=c5a39d2e2729ff32e04aa79512bf0db2
global_step=10016 | return=8.91 | steps=62 | track=6a6de037f4e0f551fd0ef752868f254d
global_step=10176 | return=-27.97 | steps=152 | track=12028be2b7a1be7271afc715754f5419
global_step=10192 | return=35.14 | steps=91 | track=200b9c6b22bd793650ff1e95266a3cf1
global_step=10368 | return=-91.30 | steps=90 | track=4316fe75f958475049f9e43f8c11d656
global_step=10512 | return=-106.95 | steps=131 | track=790933dc541ab0c6df7e16d112f0ce50
global_step=10528 | return=-99.34 | steps=130 | track=1030c0f406ccc47476c055b5133a5da8
global_step=10624 | return=-61.99 | steps=66 | track=2653df42f721cbfd54951a8461560864
global_step=10640 | return=-89.13 | steps=137 | track=6b2dc06bb13b6a7ad282190d1496b9d8
