/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.5_bud_180_22-07-13-02-40/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=6960 | return=-140.94 | steps=131 | track=7f4fa133e1a168a7de234876aaf5b6fd
global_step=7216 | return=-51.94 | steps=55 | track=dd724001410ae8c4b0c69332a529e481
global_step=7392 | return=-144.75 | steps=131 | track=653129434c88d972f5ea8c6d9facce59
global_step=7632 | return=-171.36 | steps=131 | track=719fef4b2f9f3211ea9dab0f77c71bc3
global_step=8048 | return=-146.98 | steps=131 | track=a10d6b4998e8f6e871522c777aba0959
global_step=8224 | return=-164.30 | steps=130 | track=1aad40c6af465fa3f293b4aad22e1000
global_step=8400 | return=-154.08 | steps=131 | track=e02d8b5fe800e929339d386119ba8a0d
global_step=8416 | return=-145.01 | steps=131 | track=51852a5189ef8d4c0908a237ffc0fc3f
global_step=8416 | return=-175.89 | steps=131 | track=2bec211d0ce3c7e5143aea91c7b63a2d
global_step=8416 | return=-153.26 | steps=131 | track=1680c282b129e60f96ac3995550a10c2
global_step=8672 | return=-157.25 | steps=131 | track=06ac947c4623729d2dcbbb9eba6fd2c7
global_step=8752 | return=-70.19 | steps=151 | track=a5479f54d6514315cab0724b5fcd3433
global_step=8768 | return=-173.86 | steps=131 | track=560cd1b180ec10d3f032f21cf92a5e7e
global_step=9248 | return=-58.33 | steps=51 | track=e82c64cfe490f02608a357a205535942
global_step=9312 | return=-22.59 | steps=55 | track=c6e6fa88b8364309dc4c6f8bc6a9b16e
global_step=9328 | return=-144.86 | steps=131 | track=1b4736ab9a234810c7a1ad988cc38916
global_step=9408 | return=-65.44 | steps=152 | track=032b801d9f2ea7682de2a363ca18f701
global_step=9424 | return=-92.36 | steps=194 | track=91a060d30b2d5daa05f2ba84e3ebbca8
global_step=9504 | return=-122.93 | steps=131 | track=bbdeb1db0f6265cb9f55f12ae56ccb63
global_step=9840 | return=-124.68 | steps=137 | track=164f6c19eff1dff75a7bb91b7462677c
global_step=10176 | return=-52.71 | steps=41 | track=cfdb87b0e0da7c2c20a027533aa8f49f
global_step=10336 | return=-147.22 | steps=131 | track=9595ce5e87b0d60f640fa42067a6a694
global_step=10512 | return=-142.25 | steps=131 | track=43e4accaeda8b783abb414cdeb56067d
global_step=10528 | return=-126.47 | steps=131 | track=0ff263eb7799e2c84a0d16ac1ffeba7b
global_step=10880 | return=-147.47 | steps=131 | track=7d6e6f5990346a1ce9ed0f006daeed1e
global_step=11040 | return=-105.73 | steps=147 | track=431b6f0e8a0dfaaab5c3a1b12731e5d1
global_step=11152 | return=-117.53 | steps=433 | track=b173575ded1eb38b4e83003387d12620
global_step=11168 | return=-170.22 | steps=194 | track=00bd1bb5e8bf6864ec56d336f676dc73
global_step=11168 | return=-98.14 | steps=150 | track=49bb17d1216b80b8255b797e623408b3
global_step=11360 | return=-139.75 | steps=131 | track=1908a1f36b586b7f193281789640ef15
global_step=11424 | return=-142.30 | steps=131 | track=a8c4e6546f8a2c8ed8eb6c5dfc1e5622
global_step=11424 | return=-147.74 | steps=130 | track=0cf5c67415cf2c5710b3bb31bb7fba78
global_step=11520 | return=-149.89 | steps=130 | track=294a5baf2b166e59323bec6548264afe
global_step=11584 | return=14.34 | steps=65 | track=bd6d7001ce76f2b233398ec3495e3e7f
global_step=11952 | return=-152.70 | steps=131 | track=ca6ff20aef75a58136c7c7a34109bcb6
global_step=11984 | return=-56.43 | steps=160 | track=3441c2acdddd45afd3035bc9e873c402
global_step=12128 | return=-23.50 | steps=59 | track=ac075849568df985f703fde548c8ccff
global_step=12400 | return=139.45 | steps=391 | track=71dcbc3f651f3c1d75f37869adf5200b
global_step=12432 | return=-147.70 | steps=130 | track=66df33bd43ecb4cbc9ed01db51a7f9dc
global_step=12608 | return=-159.17 | steps=130 | track=4443124abb61584a4b033f50aab267d0
global_step=13136 | return=-137.44 | steps=130 | track=ed98e4ff57cd77a6ce7b945baa40ca63
global_step=13248 | return=-157.13 | steps=130 | track=95141aaa03b103c3fde33aab925db3cb
global_step=13280 | return=-160.84 | steps=131 | track=3b5cdb3eb8a7dd90f1ea7efdf768927b
global_step=13456 | return=-152.20 | steps=130 | track=6b7a32471cb753660354674a2e3cc3e7
global_step=13520 | return=-142.51 | steps=130 | track=79fff5b400bf119a19058faabb418711
global_step=13536 | return=-39.16 | steps=68 | track=f899853e6d86b39dcee7ee2d06243b62
global_step=13536 | return=-145.21 | steps=131 | track=0fb8e114a362167ec8bc4de657eb997b
global_step=13632 | return=-149.72 | steps=131 | track=f586eebf0429a7095a90369458221f9d
global_step=13696 | return=-140.41 | steps=131 | track=11cb77b02ea4eb7d058947177fe94af9
global_step=13968 | return=-56.35 | steps=44 | track=63f423304f6b6a5d9916055b88327d6d
global_step=14112 | return=-177.20 | steps=201 | track=646c2bf76bbcaf14f0017ab7476c72c1
global_step=14240 | return=-155.84 | steps=131 | track=989f00d25113f89833236b70d94e3884
global_step=14320 | return=-86.62 | steps=147 | track=4f013542862cf47aa44ea63a7d0248d8
global_step=14464 | return=-17.36 | steps=62 | track=a957c045034524d407a311072dfdfe26
global_step=14496 | return=-69.83 | steps=156 | track=696e73b8e54d86835d6cc91c9c51f02c
global_step=14496 | return=-182.43 | steps=130 | track=52a9c2938d5112cbf3ad84ef6fbd9cec
global_step=14624 | return=-54.37 | steps=67 | track=55e6b4955db2395c59f3913c564f8b4f
global_step=14720 | return=-154.80 | steps=131 | track=2b55b2a60f47c4efabe5aeeeccfa2344
global_step=14736 | return=-177.71 | steps=284 | track=190ce251e094c93c29d99a4cda3fbcdd
global_step=14912 | return=-80.31 | steps=49 | track=425000b703d046762b4c26e48033e99b
