/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → experiments/adaptive_fps_cautious_ep_counter/runs/CarRacing-v3_fc_0.4_bud_150_19-07-09-20-34/info_settings.txt
Device: cuda
Navigation model path: experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cuda
Navigation Model loaded on cuda
Navigation Model loaded on cuda
Navigation Model loaded on cuda
Navigation Model loaded on cuda
Navigation Model loaded on cuda
Navigation Model loaded on cuda
Navigation Model loaded on cuda
global_step=944 | return=-59.55 | steps=118
global_step=1904 | return=-33.11 | steps=238
global_step=1904 | return=-29.91 | steps=238
global_step=1904 | return=-30.31 | steps=238
global_step=1904 | return=-10.09 | steps=238
global_step=1904 | return=-33.51 | steps=238
global_step=1904 | return=-15.29 | steps=238
global_step=1904 | return=-34.71 | steps=238
global_step=2856 | return=-29.51 | steps=238
global_step=3816 | return=-18.56 | steps=238
global_step=3816 | return=-29.91 | steps=238
global_step=3816 | return=-32.71 | steps=238
global_step=3816 | return=-29.91 | steps=238
global_step=3816 | return=-34.31 | steps=238
global_step=3816 | return=-30.71 | steps=238
global_step=3816 | return=-31.51 | steps=238
global_step=4096, SPS=20
global_step=4768 | return=-32.31 | steps=238
global_step=5728 | return=-29.51 | steps=238
global_step=5728 | return=-40.31 | steps=238
global_step=5728 | return=-30.31 | steps=238
global_step=5728 | return=-33.11 | steps=238
global_step=5728 | return=88.53 | steps=238
global_step=5728 | return=-31.91 | steps=238
global_step=5728 | return=-30.71 | steps=238
global_step=6680 | return=-30.31 | steps=238
global_step=7592 | return=165.13 | steps=232
global_step=7640 | return=-32.31 | steps=238
global_step=7640 | return=6.89 | steps=238
global_step=7640 | return=-32.71 | steps=238
global_step=7640 | return=-31.11 | steps=238
global_step=7640 | return=-32.31 | steps=238
global_step=7640 | return=-35.51 | steps=238
global_step=8192, SPS=20
global_step=8360 | return=201.75 | steps=95
global_step=8592 | return=-30.71 | steps=238
global_step=9552 | return=-30.31 | steps=238
global_step=9552 | return=-33.11 | steps=238
global_step=9552 | return=151.58 | steps=238
global_step=9552 | return=-29.44 | steps=238
global_step=9552 | return=-35.11 | steps=238
global_step=9552 | return=-36.31 | steps=238
global_step=10272 | return=-35.11 | steps=238
global_step=10504 | return=-32.71 | steps=238
global_step=11464 | return=-33.11 | steps=238
global_step=11464 | return=0.45 | steps=238
global_step=11464 | return=-33.51 | steps=238
global_step=11464 | return=25.51 | steps=238
global_step=11464 | return=-35.51 | steps=238
global_step=11464 | return=-32.71 | steps=238
global_step=12184 | return=-19.36 | steps=238
global_step=12288, SPS=20
global_step=12416 | return=-31.51 | steps=238
global_step=13376 | return=-33.91 | steps=238
global_step=13376 | return=-6.02 | steps=238
global_step=13376 | return=-31.11 | steps=238
global_step=13376 | return=-29.51 | steps=238
global_step=13376 | return=-30.31 | steps=238
global_step=13376 | return=-32.31 | steps=238
global_step=14096 | return=-33.11 | steps=238
global_step=14328 | return=21.44 | steps=238
global_step=15152 | return=-61.26 | steps=102
global_step=15288 | return=-29.51 | steps=238
global_step=15288 | return=-35.11 | steps=238
global_step=15288 | return=-32.71 | steps=238
global_step=15288 | return=-31.91 | steps=238
global_step=15288 | return=-31.91 | steps=238
global_step=15288 | return=-37.91 | steps=238
global_step=16008 | return=-31.91 | steps=238
global_step=16144 | return=-64.26 | steps=106
global_step=16384, SPS=20
global_step=17064 | return=-29.51 | steps=238
