/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → experiments/adaptive_fps_cautious_ep_counter/runs/CarRacing-v3_fc_0.2_bud_150_19-07-09-20-33/info_settings.txt
Device: cuda
Navigation model path: experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cuda
Navigation Model loaded on cuda
Navigation Model loaded on cuda
Navigation Model loaded on cuda
Navigation Model loaded on cuda
Navigation Model loaded on cuda
Navigation Model loaded on cuda
Navigation Model loaded on cuda
global_step=944 | return=-55.95 | steps=118
global_step=1904 | return=-29.51 | steps=238
global_step=1904 | return=-27.91 | steps=238
global_step=1904 | return=-28.11 | steps=238
global_step=1904 | return=-7.09 | steps=238
global_step=1904 | return=-29.71 | steps=238
global_step=1904 | return=-9.69 | steps=238
global_step=1904 | return=-30.31 | steps=238
global_step=2856 | return=-27.71 | steps=238
global_step=3816 | return=-14.96 | steps=238
global_step=3816 | return=-27.91 | steps=238
global_step=3816 | return=-29.31 | steps=238
global_step=3816 | return=-27.91 | steps=238
global_step=3816 | return=-30.11 | steps=238
global_step=3816 | return=-28.31 | steps=238
global_step=3816 | return=-28.71 | steps=238
global_step=4096, SPS=20
global_step=4768 | return=-29.11 | steps=238
global_step=5728 | return=-27.71 | steps=238
global_step=5728 | return=-33.11 | steps=238
global_step=5728 | return=-28.11 | steps=238
global_step=5728 | return=-29.51 | steps=238
global_step=5728 | return=93.13 | steps=238
global_step=5728 | return=-28.91 | steps=238
global_step=5728 | return=-28.31 | steps=238
global_step=6680 | return=-28.11 | steps=238
global_step=7592 | return=167.73 | steps=232
global_step=7640 | return=-29.11 | steps=238
global_step=7640 | return=10.49 | steps=238
global_step=7640 | return=-29.31 | steps=238
global_step=7640 | return=-28.51 | steps=238
global_step=7640 | return=-29.11 | steps=238
global_step=7640 | return=-30.71 | steps=238
global_step=8192, SPS=20
global_step=8360 | return=204.35 | steps=95
global_step=8592 | return=-28.31 | steps=238
global_step=9552 | return=-28.11 | steps=238
global_step=9552 | return=-29.51 | steps=238
global_step=9552 | return=157.38 | steps=238
global_step=9552 | return=-24.04 | steps=238
global_step=9552 | return=-29.11 | steps=238
global_step=9552 | return=-31.11 | steps=238
global_step=10272 | return=-30.51 | steps=238
global_step=10504 | return=-29.31 | steps=238
global_step=11464 | return=-29.51 | steps=238
global_step=11464 | return=5.45 | steps=238
global_step=11464 | return=-29.71 | steps=238
global_step=11464 | return=30.71 | steps=238
global_step=11464 | return=-30.71 | steps=238
global_step=11464 | return=-29.31 | steps=238
global_step=12184 | return=-15.36 | steps=238
global_step=12288, SPS=20
global_step=12416 | return=-28.71 | steps=238
global_step=13376 | return=-29.91 | steps=238
global_step=13376 | return=-1.42 | steps=238
global_step=13376 | return=-28.51 | steps=238
global_step=13376 | return=-27.71 | steps=238
global_step=13376 | return=-28.11 | steps=238
global_step=13376 | return=-29.11 | steps=238
global_step=14096 | return=-29.51 | steps=238
global_step=14328 | return=25.04 | steps=238
global_step=15152 | return=-59.06 | steps=102
global_step=15288 | return=-27.71 | steps=238
global_step=15288 | return=-30.51 | steps=238
global_step=15288 | return=-29.31 | steps=238
global_step=15288 | return=-28.91 | steps=238
global_step=15288 | return=-28.91 | steps=238
global_step=15288 | return=-31.91 | steps=238
global_step=16008 | return=-28.91 | steps=238
global_step=16144 | return=-61.46 | steps=106
global_step=16384, SPS=20
global_step=17064 | return=-27.71 | steps=238
global_step=17192 | return=193.38 | steps=130
global_step=17200 | return=-28.31 | steps=238
global_step=17200 | return=-28.71 | steps=238
global_step=17200 | return=-28.11 | steps=238
global_step=17200 | return=-30.91 | steps=238
global_step=17200 | return=-28.31 | steps=238
global_step=17920 | return=-28.51 | steps=238
global_step=18976 | return=-29.11 | steps=238
global_step=19104 | return=92.33 | steps=238
global_step=19112 | return=60.00 | steps=238
global_step=19112 | return=-29.11 | steps=238
global_step=19112 | return=-28.71 | steps=238
global_step=19112 | return=-29.71 | steps=238
global_step=19112 | return=-29.51 | steps=238
global_step=19832 | return=-28.71 | steps=238
global_step=20480, SPS=20
global_step=20888 | return=-29.51 | steps=238
global_step=21016 | return=197.35 | steps=238
