/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_0.1_bud_180_21-07-13-18-21/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=7456 | return=-128.47 | steps=131 | track=30c80f70c9ed95c599651b08a641a199
global_step=7664 | return=-46.71 | steps=150 | track=abbddeee8a4d38e912c315f036879c6e
global_step=7728 | return=-113.17 | steps=131 | track=a2f9a9f1eb03317a080b23350a337727
global_step=7776 | return=-127.26 | steps=131 | track=9445779449cbe89f572029dbf7d99fc3
global_step=8048 | return=-47.30 | steps=45 | track=ad75eecd27f6bc0ca916ef7030049ddf
global_step=8096 | return=-82.60 | steps=225 | track=4480a80834001c0977878698fb12c7e9
global_step=8256 | return=-112.56 | steps=175 | track=41fb64e2e56393ead4d5a02cfe881359
global_step=8272 | return=-61.07 | steps=50 | track=32ebfb2ce4d2856750e80bf70ebbe341
global_step=8416 | return=-127.96 | steps=131 | track=6ef70ac94d791e6d23b3406d6f021cda
global_step=8432 | return=-129.99 | steps=131 | track=8a33324f108a3ab7342526b289fb3868
global_step=8432 | return=-136.05 | steps=131 | track=cb3611a0cbc9445b8a717ad777e476d6
global_step=8432 | return=-138.34 | steps=131 | track=4c7df122a771f00e3101f83f0d0944e1
global_step=8496 | return=-15.96 | steps=135 | track=215a695d9b6e0f8fcb06009ad3d787f0
global_step=8688 | return=-132.40 | steps=131 | track=9d824d2a4d2f26fc61bc75a51eb84494
global_step=8944 | return=-132.01 | steps=131 | track=ce95f19249f64fc6af840c66ab86d1ad
global_step=9296 | return=-138.52 | steps=130 | track=5bc2cbdb564f14146a64a6a2c1a9ce0d
global_step=9472 | return=-48.83 | steps=153 | track=5a2272b76ba65972523a174306049ab4
global_step=9776 | return=-131.41 | steps=131 | track=51b9eb7bc906ca84f1b96af977237c4d
global_step=9904 | return=-97.13 | steps=135 | track=d94dc22c91a4991da742863195074c3b
global_step=10160 | return=-133.15 | steps=131 | track=8a16d590b2457a3d5ad1b44337e599f1
global_step=10368 | return=-126.73 | steps=131 | track=f7c50090732720bd45c88d44fd3d044d
global_step=10384 | return=-127.59 | steps=131 | track=822d72c318ea6363de62335c0f62c29d
global_step=10416 | return=-69.35 | steps=144 | track=5afa442560f46c35569fe296d1ce8de0
global_step=10528 | return=-129.55 | steps=131 | track=b1e67a1ad6f691cbe6b2113e0961638d
global_step=10528 | return=-131.79 | steps=130 | track=ba4c934b4db581a28315d680f440242f
global_step=10784 | return=-114.15 | steps=130 | track=b7f0b3fb40c4ae408ae5750ca3493bdb
global_step=11008 | return=-123.84 | steps=156 | track=6a4796c69ad08163e5dbc45731e17953
global_step=11056 | return=-47.34 | steps=163 | track=78d0e13353af975c4aea37dd4e42d8ce
global_step=11104 | return=63.43 | steps=166 | track=380c8408651f33e04348fbda7298b57e
global_step=11248 | return=-68.52 | steps=143 | track=dd82426cd43f42663b1b7266334f6660
global_step=11408 | return=-133.39 | steps=131 | track=7d2b40587c99e6af6d09f06607407a31
global_step=11584 | return=-126.80 | steps=131 | track=bbb5af2dc9073885a1c6edd9a79bc258
global_step=11856 | return=-58.90 | steps=121 | track=b01ccaadf308b50b673ac4a5f63e0a01
global_step=11888 | return=-126.96 | steps=131 | track=738b02a49e9402415c9e7c8e1673704c
global_step=11888 | return=-85.01 | steps=93 | track=c0130348ea13fc3df0563b357fa214d0
global_step=12272 | return=-131.51 | steps=131 | track=e53f511286baa29023aa752b793f2114
global_step=12416 | return=40.90 | steps=62 | track=e448b5e69b93a634ced4cf222dbd43c8
global_step=12480 | return=-124.55 | steps=131 | track=4f1ef86cdf4e8ce9301d3dbb1956575c
global_step=12528 | return=-135.30 | steps=131 | track=33f717322ffacc0bb7621880d010ed86
global_step=12624 | return=-127.48 | steps=130 | track=8272d9a01893ace623bf4ae115415fbd
global_step=12624 | return=-135.08 | steps=130 | track=5f990f66c56ef210f8075ca739b1c2f9
global_step=13008 | return=-80.71 | steps=138 | track=4e7b7810e6f00e57d5d8184f9c9c8429
global_step=13120 | return=-128.15 | steps=131 | track=34f6aadf1c90f5ced18dbf12e2955b3c
global_step=13152 | return=-128.31 | steps=130 | track=360fa189b601d1d3e71a9da2fb4c1e78
global_step=13216 | return=-130.70 | steps=131 | track=8b1221295d45cc5b66b71e4e1ced40da
global_step=13408 | return=-182.83 | steps=351 | track=8746936ff649578b250988f9de934d52
global_step=13424 | return=-11.38 | steps=62 | track=fc64eabab6b61f79a7962c7ff2d5b5ef
global_step=13488 | return=-82.78 | steps=118 | track=939c7b19f0a014da030c7e0892d12c0c
global_step=13520 | return=165.62 | steps=101 | track=a8f83c1c204586a5cf5b05d474009f85
global_step=13968 | return=-123.60 | steps=131 | track=1fa26b914e8d6e368c3f8931c9b65dbe
global_step=14064 | return=-96.24 | steps=175 | track=b2eaf08676ced4638ad63501fe4a7398
global_step=14096 | return=-10.86 | steps=67 | track=679b5d0400c4646b4e7c87270c87dac1
global_step=14352 | return=-19.79 | steps=153 | track=dc002a120ee08dc62dd7931843c789b4
global_step=14480 | return=6.77 | steps=66 | track=b4192c05592c98f074930fcbd72c9bd1
global_step=14528 | return=-17.72 | steps=62 | track=db3cc3063973320b6913896a281753ff
global_step=14576 | return=-128.65 | steps=130 | track=ff6b8bc3f066c7d13de5aa0e7493cc2b
global_step=14640 | return=-134.71 | steps=131 | track=4d1bcc269871fe4198ac676c448d5a06
global_step=14720 | return=-131.68 | steps=130 | track=6a0bb5db8c739096a0f7988ed089c69b
global_step=14736 | return=-131.51 | steps=131 | track=21e5937c6f929b7d229c537a94cacd3d
global_step=14784 | return=-48.85 | steps=156 | track=bcbdea04c3657e99e25faf6e1da459bf
global_step=15088 | return=-8.34 | steps=63 | track=71825815d6a0765d0f03a85278e0e534
global_step=15232 | return=-125.66 | steps=131 | track=2340a8749265c2be3bba373f447b2225
global_step=15264 | return=-126.00 | steps=131 | track=2440f38bbfbae404d31bdea8d15117a3
global_step=15312 | return=-126.08 | steps=130 | track=641140bbd8f5338765b9d758e91d5afa
global_step=15536 | return=-124.91 | steps=131 | track=d409922f48ebd9000816817dcaacfde6
global_step=15600 | return=-135.37 | steps=131 | track=09bc5d9c25fb858ac68c5eacfd0796ea
global_step=15664 | return=21.38 | steps=67 | track=5fed22a8e7cd9946ff0a9d1a000a2d3e
global_step=15840 | return=42.50 | steps=69 | track=f7552051b8865df6e6d5c8a14e8f5f8e
global_step=16080 | return=-123.76 | steps=131 | track=52235e693ef039fbb77e777a7d981a43
global_step=16208 | return=-127.47 | steps=131 | track=325aa70a3f7b2e14ecb5982dbd343b8a
global_step=16352 | return=8.73 | steps=67 | track=e259a11a551c8bcc40260ea7bc0fe1d6
global_step=16384, SPS=100
global_step=16464 | return=-125.10 | steps=131 | track=dd8f0c6969739d523f8d3175e7969cdc
global_step=16592 | return=-135.30 | steps=131 | track=03fceb98558a2c1249a966ff94f69231
global_step=16656 | return=-24.34 | steps=50 | track=0710cad760761c5c7336063e2fc5f59d
global_step=16736 | return=-130.34 | steps=130 | track=babbb99ef7f1bf99155b2bd41fdba10f
global_step=17184 | return=-77.49 | steps=149 | track=bcbe55becd33f7fd9a2f95dc8fdc20cf
global_step=17200 | return=-126.47 | steps=131 | track=97628278079647eaaed21c3bf916aa3e
global_step=17216 | return=-17.31 | steps=154 | track=0fc3bb76658f678a88b7e4298b621515
