/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_0.5_bud_180_21-07-13-22-39/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=7328 | return=-135.71 | steps=131 | track=dd1a122ee309d9c813e9c8659803b78a
global_step=7472 | return=-130.25 | steps=131 | track=db954e71b44cb04ff8cf339b88121dd4
global_step=7472 | return=-52.18 | steps=49 | track=7aba27c63481af9a0b344d470d37ef36
global_step=7648 | return=-137.37 | steps=130 | track=deeae85226c4540c5b7262421c916635
global_step=7744 | return=-80.95 | steps=90 | track=1606b72ace8afa92243df8599f1d9522
global_step=7776 | return=-32.81 | steps=47 | track=5582791d9c5b6dd85089948c6b35b924
global_step=7792 | return=-24.95 | steps=42 | track=499e13f9e42caa5d8403a056bcb23734
global_step=8368 | return=-108.43 | steps=131 | track=9cd0227e5d98b362feb0ae7ca4a111ae
global_step=8432 | return=-114.81 | steps=131 | track=f1918486d56a25d6331e8858b169da2b
global_step=8528 | return=-70.27 | steps=138 | track=dbb01cdf00f4a3da030f17da02cc89e5
global_step=8576 | return=19.21 | steps=68 | track=27fb583c986700582bdf09c5c384ea83
global_step=8656 | return=-143.43 | steps=258 | track=8c239d3d82f941d99d2dce6f007fecc7
global_step=8672 | return=8.56 | steps=63 | track=dae3c900d6c5e6e74de2b7ab966d32d7
global_step=8768 | return=-132.75 | steps=131 | track=a4e9552eb652591d06a7dd3c630aa4c4
global_step=9088 | return=4.35 | steps=172 | track=5f270624a524e3f71559633fdaaf85cf
global_step=9376 | return=-130.88 | steps=130 | track=e75c43947f10234e3b02446e071cd5b7
global_step=9472 | return=-62.19 | steps=49 | track=761ae9dfa1bdec1d0507f06aa9b58a41
global_step=9488 | return=29.44 | steps=69 | track=ed7f0cc65478a7a3985b9201cee23efa
global_step=9568 | return=-132.32 | steps=130 | track=2743cea65ae993d376cce8e06b69fc98
global_step=9712 | return=-43.87 | steps=148 | track=c71a1d7c1a3af7c9801d4b59a5c64323
global_step=9888 | return=-131.31 | steps=131 | track=61bd43d76faac977c37bea4b181c6445
global_step=9904 | return=-133.08 | steps=131 | track=450759a6449197027230701f95d5f234
global_step=9968 | return=-129.14 | steps=165 | track=772c30348e6cd8eff81c0f8e4b4d5b18
global_step=10176 | return=-142.96 | steps=178 | track=b3e508278dd71ae3d184c3efd2f5c670
global_step=10480 | return=23.51 | steps=68 | track=28871336b2cb784c908d4d9ff9c5f84b
global_step=10544 | return=-45.34 | steps=66 | track=65133061a07638b65cf70833a7c51a5f
global_step=10544 | return=-125.16 | steps=174 | track=53f8b3d2b3f5425df9be0a215e864a6f
global_step=10768 | return=-130.69 | steps=131 | track=1aca3007e9e1b43bff42809c9d670b68
global_step=10784 | return=-41.13 | steps=54 | track=13c1f99e10067bfdc3ee501534f75596
global_step=10848 | return=-149.40 | steps=144 | track=ba1eaa2c452a42339468a46f73275dae
global_step=10880 | return=-94.01 | steps=143 | track=f7dd0f7e4d8647feabc4a311f9767e69
global_step=10880 | return=-139.78 | steps=131 | track=ddd6157f0080cd6e147b10d597220e21
global_step=10960 | return=-24.08 | steps=61 | track=00db5a037f1be6fc5c1d9c31fb350f4a
global_step=11184 | return=-135.87 | steps=130 | track=fceca401956446a53cca844334a24515
global_step=11488 | return=-48.54 | steps=44 | track=bec41dd008f65712bef0f75a57e4b428
