/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_10.0_bud_180_21-07-13-22-41/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpuNavigation Model loaded on cpu

Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=7472 | return=-210.40 | steps=131 | track=1d4c9739c597abeec2c4fdea8395eeb2
global_step=7568 | return=-81.59 | steps=66 | track=93139dc897434035396307dea03be39e
global_step=7584 | return=-216.76 | steps=147 | track=8c9edee6dfc404245585222160e32462
global_step=8032 | return=-107.76 | steps=44 | track=7a17610888300cc00ff4e44ef3c6bb74
global_step=8096 | return=-148.38 | steps=111 | track=04cc78bcab66a1723cbe052aed39bd67
global_step=8400 | return=-215.67 | steps=131 | track=4fb1fe143517ee1f021aa63cabadb5bb
global_step=8416 | return=-296.22 | steps=131 | track=0feb6ebddd9fdb54c29d1c5fe567aa84
global_step=8432 | return=-254.48 | steps=131 | track=4619c929dbb0092e93d382196fd7051f
global_step=8432 | return=-195.89 | steps=131 | track=1ac8ad9f9e25212fe1d1d57294d8b496
global_step=8528 | return=-47.73 | steps=67 | track=ebebb69322b8ec5de8ebdd91d88cbf25
global_step=8816 | return=-208.34 | steps=131 | track=50885ead76355da1c4bc8c0fcf231ceb
global_step=8832 | return=-119.31 | steps=84 | track=b7293892fb7ec0fa098cd3b48960f77f
global_step=9152 | return=-364.38 | steps=309 | track=7c3bba1d4b1b7fddf02622d0a43486bd
global_step=9168 | return=-150.55 | steps=99 | track=6503b6eb249c98672473533ddc6d8a61
global_step=9248 | return=-151.64 | steps=147 | track=4dc90f5d5f98298d019d08c34f8ff808
global_step=9568 | return=-226.36 | steps=131 | track=91ae29bcd72d345d60675045d1878491
global_step=9696 | return=-224.00 | steps=131 | track=27d98be7e06abb3c858a6161901e0dd4
global_step=9968 | return=-82.71 | steps=71 | track=6ff92a33027d08a288e964ae4a43164e
global_step=10144 | return=-227.47 | steps=131 | track=deacfb6a5ce5aa27cb6a390888c3715d
global_step=10176 | return=-430.65 | steps=241 | track=c0b46028502ea44e63f480e916d9d496
global_step=10512 | return=-241.80 | steps=130 | track=718c6e1c4be970dd6b79f5c64cd78a4c
global_step=10544 | return=-192.91 | steps=131 | track=297a6d37b4e2bd5fbad53344c22ab516
global_step=10624 | return=-326.87 | steps=157 | track=faf72a681d4b612d3fe7a2eb2bdae5d1
global_step=10640 | return=-232.35 | steps=131 | track=aed34a48d9674b0e06dae7b850444b0a
global_step=10944 | return=-187.69 | steps=131 | track=57fd4f2788a87921e8f67e217872a2fc
global_step=11008 | return=-199.15 | steps=162 | track=1d6ced90e8f5a4e41339c72cc2469746
global_step=11248 | return=-259.78 | steps=175 | track=3df351ba55ba432e8ac9da2891c54410
global_step=11264 | return=-258.74 | steps=131 | track=ab34ba96db622e2732a815a446c1d5a1
global_step=11280 | return=-232.54 | steps=131 | track=357166d1fba25b39a87a557297d852d5
global_step=11312 | return=-254.47 | steps=246 | track=1bb17e55bad76f180cfe63ef18f0e01d
global_step=11664 | return=-245.38 | steps=130 | track=1cd27a669d352b5c698aff39c3b271c7
global_step=11680 | return=-139.60 | steps=151 | track=bca797cd08c95bb7a07d7bdf55712ec9
global_step=11680 | return=-64.35 | steps=64 | track=610236e8ee525693a8684fa30e64de72
global_step=11760 | return=-110.50 | steps=46 | track=f082a2ee8cc7d80c301e46c24be72205
global_step=11808 | return=-204.23 | steps=131 | track=74ec9721b10b2853c9a82d93373ebb5a
global_step=12080 | return=-214.00 | steps=131 | track=5baeea77275a710c6076beeec3aee5fb
global_step=12160 | return=-62.46 | steps=95 | track=6dacd49a990ea1c6e87646b463bb1b01
global_step=12624 | return=-74.30 | steps=154 | track=a7663355a713bfec1ca8641832432724
global_step=12624 | return=-208.77 | steps=131 | track=1cbac88983772f8da25cfd25b6284ffc
global_step=12656 | return=-202.50 | steps=131 | track=2bddf892c57e25fa2314eac60c7acc2b
global_step=12848 | return=-62.13 | steps=64 | track=34c1936d25fb753cddfce4fea693e17e
global_step=13040 | return=-204.29 | steps=130 | track=087920b59432850dbb60ea09925327ca
global_step=13312 | return=-170.76 | steps=195 | track=86c3394ea9ccac6ba72e185f313b78be
