/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.0_bud_180_20-07-14-09-52/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=16648 | return=-31.36 | steps=83
global_step=16672 | return=-144.43 | steps=131
global_step=16848 | return=-148.53 | steps=129
global_step=17072 | return=-147.43 | steps=131
global_step=17256 | return=-146.43 | steps=131
global_step=17288 | return=-144.43 | steps=131
global_step=17352 | return=-150.43 | steps=131
global_step=17448 | return=-146.43 | steps=131
global_step=17688 | return=-149.53 | steps=129
global_step=17728 | return=-148.43 | steps=131
global_step=17904 | return=-145.43 | steps=131
global_step=18128 | return=-153.43 | steps=131
global_step=18272 | return=-71.75 | steps=45
global_step=18312 | return=-152.43 | steps=131
global_step=18344 | return=-152.43 | steps=131
global_step=18448 | return=-71.13 | steps=136
global_step=18504 | return=-147.43 | steps=131
global_step=19184 | return=-147.43 | steps=131
global_step=19368 | return=-154.43 | steps=131
global_step=19400 | return=-147.43 | steps=131
global_step=19440 | return=-121.03 | steps=145
global_step=19504 | return=-148.43 | steps=131
global_step=19512 | return=-93.73 | steps=125
global_step=19584 | return=-138.93 | steps=236
global_step=20072 | return=-191.46 | steps=292
global_step=20296 | return=-95.43 | steps=138
global_step=20392 | return=-98.03 | steps=109
global_step=20424 | return=-154.43 | steps=131
global_step=20480, SPS=18
global_step=20496 | return=-149.43 | steps=131
global_step=20560 | return=-148.43 | steps=131
global_step=20640 | return=-160.43 | steps=131
global_step=21128 | return=-148.43 | steps=131
global_step=21168 | return=-54.88 | steps=83
global_step=21352 | return=-151.43 | steps=131
global_step=21424 | return=-201.53 | steps=252
global_step=21448 | return=-155.43 | steps=131
global_step=21480 | return=-145.43 | steps=131
global_step=21696 | return=-147.43 | steps=131
global_step=21712 | return=-148.23 | steps=143
global_step=22184 | return=-151.43 | steps=131
