/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.1_bud_90_04-08-13-42-34/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=7360 | return=-155.07 | steps=131 | track=8cfdcfbecd2b8f50529d8ba728af59d1
global_step=7360 | return=-161.91 | steps=131 | track=a434f1e278bdeb812eb530cca68c2284
global_step=7408 | return=-127.11 | steps=184 | track=7c7aaa30af403edf765b256c4c52588d
global_step=7712 | return=-141.17 | steps=131 | track=05425ffb32f5b75a057a54a4ee0fd54f
global_step=7872 | return=-66.24 | steps=150 | track=03a17c5882bbfc73569496df001f96f0
global_step=8176 | return=-100.65 | steps=183 | track=658d59bc936da192bf9b724744b7475b
global_step=8208 | return=-156.21 | steps=131 | track=bfc830bba642810cd8d68ade979c40a4
global_step=8400 | return=-104.61 | steps=131 | track=2e8ab94a6664f5c92c033ecba44b51d3
global_step=8432 | return=-157.61 | steps=130 | track=ca0a98b7a255a9047ef2ed8be0f2ec38
global_step=8544 | return=-115.68 | steps=178 | track=a98cc0c22064ed75964348d77438c9bf
global_step=8656 | return=-22.03 | steps=333 | track=399f57e0b5f5df5718a335d4d1b69ea0
global_step=8704 | return=-146.46 | steps=216 | track=d894cf97ac17b7c4f1ae87f668bbf08d
global_step=8896 | return=-119.39 | steps=95 | track=2ed94424dc6c9bd7f4aab1ef2df591c6
global_step=9216 | return=-163.16 | steps=152 | track=5bdfb2739095ea3003709269e61594d8
global_step=9376 | return=-154.57 | steps=132 | track=bb62e56612c5006bd3f47211483385de
global_step=9424 | return=-153.40 | steps=131 | track=2a890aebbd88d4a10718f356d2a2b77f
global_step=9472 | return=-154.12 | steps=131 | track=3a85663b3f8cc8cd65fc687f9517199e
global_step=9520 | return=-149.13 | steps=131 | track=d8b9bbfb9128aa11c48d1eb70ca8246e
global_step=9680 | return=-70.67 | steps=93 | track=72b4e8bf0e682424441b8f95e8006680
global_step=9792 | return=-114.70 | steps=119 | track=a90f42fcf2d995295660349974c46602
global_step=10112 | return=-55.31 | steps=90 | track=cf64e6c835cfa9084a0977b87a96f793
global_step=10176 | return=-155.99 | steps=153 | track=5e35bd4daa8c8721ca5fc3fa38ca979b
global_step=10320 | return=-137.08 | steps=131 | track=94f879ef3bfdbe6ff8f53138039ff990
global_step=10400 | return=-77.81 | steps=93 | track=efb9fc855092130921614c201cfac612
global_step=10496 | return=-145.22 | steps=130 | track=c49a90d74586deb6ea45ebb316c7dbef
global_step=10528 | return=4.38 | steps=68 | track=f4a9f19eca0a44ffc9fa5fae6709e9ce
global_step=10544 | return=-144.51 | steps=131 | track=f69244eb866119ed91d485ecb80e71fe
global_step=10656 | return=-143.61 | steps=131 | track=ad668550742b96c360f3b799ac0c2fdb
global_step=10688 | return=-80.43 | steps=91 | track=63163ae776e81bd5a1a33f2ab40a52d5
global_step=10816 | return=-140.55 | steps=131 | track=bcb8b21dec37a197807e106752c373e5
global_step=11344 | return=-183.61 | steps=249 | track=999dd322074cdab2f930f40ed60c6db2
global_step=11488 | return=-5.47 | steps=67 | track=a7ace4a73048f04b7b6bcce4ceb0a35f
global_step=11552 | return=17.23 | steps=65 | track=f26f1f058b435d3f072152a86345abb4
global_step=11552 | return=-113.53 | steps=135 | track=5fb735931c315d6672c2d145437f575e
global_step=11568 | return=-4.80 | steps=64 | track=e9b5158912a2b33546503001002cf998
global_step=11584 | return=-144.51 | steps=131 | track=007734a89e564dfd08c7e7021a12ff8e
global_step=11616 | return=-154.81 | steps=130 | track=38e03dbf5e81ac7e146021e1c49cfb35
global_step=11776 | return=-170.00 | steps=130 | track=5893d37869fbde9571cace96b7580185
global_step=11904 | return=-135.37 | steps=131 | track=7d69ff7ac59ba3f653ceca633e382161
global_step=12112 | return=-61.24 | steps=47 | track=817ce09f6e053ea328a218ed627f469a
global_step=12288 | return=-168.88 | steps=131 | track=fb2e802c5e71c15baaaaea50920dbcf3
global_step=12496 | return=-63.28 | steps=148 | track=c63288ebab1b1d11949544b45f0e8f56
global_step=12576 | return=-24.10 | steps=63 | track=cc86bae506c82a6f89c681704cb59be1
global_step=12656 | return=-146.93 | steps=131 | track=56dda1aba4a821d7d4726982e7c4d892
global_step=12784 | return=-23.93 | steps=62 | track=99e222d02c1f883069d46722ec0b9879
global_step=12800 | return=-144.83 | steps=131 | track=25be1101a2668d11e8dbf05da6231d17
global_step=13056 | return=-101.23 | steps=149 | track=a7c2cac4b7bb12d7648780a334210d34
global_step=13088 | return=-21.62 | steps=60 | track=dfb18bff578cbcef4402a18f157c8919
global_step=13152 | return=-161.51 | steps=145 | track=6f071473eb37c1b58cb3720bd84a8793
global_step=13232 | return=-21.57 | steps=45 | track=3f369c9d5ebafa0d1b1fb0fd7f6c4741
global_step=13376 | return=-122.39 | steps=190 | track=a8f6f3c93be9c02b38919d4540d8d762
global_step=13664 | return=-160.89 | steps=131 | track=1acf3211833db39b55471682ad520876
global_step=13680 | return=-15.71 | steps=68 | track=9da36be363f998d80c3969f6fb3b07e6
global_step=13696 | return=-144.12 | steps=132 | track=5aa462389979cbb0f3cca63ba84f35bd
global_step=13904 | return=-155.62 | steps=142 | track=1c69cea0dc5404ac5c73e873d734336a
global_step=13920 | return=-150.44 | steps=151 | track=a71206666519b2cc4cd67e092c31af80
global_step=14016 | return=-148.77 | steps=131 | track=541b94e6b782d92a0a259ebf85244656
global_step=14144 | return=-103.25 | steps=159 | track=b1baad6065b6595ac78c715fe27d696f
global_step=14336 | return=-8.17 | steps=68 | track=7c82a037b6ae03e5e0da4ebbafc4c870
global_step=14560 | return=-119.13 | steps=109 | track=2983f2f7aa35e4a7cb463afea743bb8f
global_step=14672 | return=-63.81 | steps=46 | track=07c006279392025c7eaaf156948d72cb
global_step=14704 | return=-131.83 | steps=102 | track=5e01a9c21ccbb8e4dfa4ed3001bb6280
global_step=14720 | return=-13.54 | steps=64 | track=3040acd3c68e7c4cc7e1b5cbeeac2580
global_step=14768 | return=-146.42 | steps=131 | track=7132a43bf92a71e6aafede6a6ca7dccc
global_step=14896 | return=-136.86 | steps=131 | track=19a8950d3172d80bc4307d4be0aa41ca
global_step=14976 | return=-69.10 | steps=81 | track=f6b1f85861a45252a60b19b2092d5ca4
global_step=15264 | return=-152.45 | steps=131 | track=d6aee793959f874c6016db4b14122a01
global_step=15424 | return=-134.85 | steps=145 | track=c2adfbfd72dd19f8cab4b201f588722e
global_step=15488 | return=-132.75 | steps=131 | track=06e44af57fc0d792b5ffef0d96ab956c
global_step=15568 | return=-58.66 | steps=53 | track=ead5bc564df58dbbe72067e0acc9e1e1
global_step=15792 | return=-140.66 | steps=130 | track=1a4a3cb2d2dd425bd3e7eb958bc1c221
global_step=15920 | return=1.93 | steps=74 | track=87adc75b6fdc816e11473138bf0d399a
global_step=16016 | return=-144.71 | steps=131 | track=51df554d8ee89dead5d2fa61030caa21
global_step=16128 | return=-150.40 | steps=131 | track=82be1a6ff3022b5494c5e9a4a87f2cf0
global_step=16256 | return=-134.59 | steps=131 | track=335d2f231c7750d68404c4efe81c45e7
global_step=16384, SPS=88
global_step=16656 | return=-146.10 | steps=130 | track=906ddfe78237eaee5770a8e112f29978
global_step=16768 | return=-64.77 | steps=93 | track=8aec9977f16685e5d8ad449819acf632
global_step=16784 | return=-162.31 | steps=131 | track=89dc0cff727dc199b88d5b36fd5498af
global_step=16864 | return=-40.39 | steps=45 | track=db56991ad1b4c160c46189c9b7bad9a8
global_step=16880 | return=-139.18 | steps=131 | track=9f8f949dadcd382d460332b4a303dd1d
global_step=16992 | return=35.09 | steps=66 | track=97c6e057eb15d513f91fa6b7a31a8e2e
global_step=17008 | return=-141.66 | steps=131 | track=af60addc00d6f4c70d7dde6fdcedbd83
global_step=17088 | return=-143.83 | steps=131 | track=13c02abe11a910ae361301e4dc7e5b8f
global_step=17168 | return=-72.11 | steps=71 | track=b6c4d7e3566df41e7ee35a2e75234c70
global_step=17536 | return=-139.18 | steps=131 | track=b06baa033245199e1721e12330e5c2da
global_step=17584 | return=-88.82 | steps=82 | track=699e083757a2cb83cefae8d54fe68fab
global_step=17600 | return=-143.59 | steps=131 | track=9ce9e83a1fd7270316ad7e05105b5f79
global_step=17888 | return=-106.19 | steps=130 | track=4cc45294fed5e46dbeffa05063a294f5
global_step=17888 | return=-10.83 | steps=63 | track=6af9fe457e481509c0dafb5790a9a60d
global_step=18080 | return=-90.09 | steps=156 | track=add5497391e175a2492003f4f7b08d11
global_step=18096 | return=-9.98 | steps=62 | track=1555b01cdd8bc03b2f8e2a021c95e745
global_step=18160 | return=-94.75 | steps=238 | track=0131454840adf16fdca8789e3ffa733b
global_step=18720 | return=-106.62 | steps=401 | track=5482149576d658c82a5c8d5b891f8d6e
global_step=18736 | return=38.89 | steps=70 | track=94f068dcd74b8cec37191f6aa704fc89
global_step=18768 | return=-130.08 | steps=131 | track=33353edffa42b95b904c6c6c4eab680f
global_step=18992 | return=-91.03 | steps=90 | track=5a37efdbfe1b392da31d0d7a1887d08a
global_step=19040 | return=-101.48 | steps=141 | track=206cf31ebcc7e13c1a4824b42931e0cc
global_step=19088 | return=-148.05 | steps=130 | track=b273d5c1e39cf254ced33a7d2a43bf52
global_step=19120 | return=-146.67 | steps=131 | track=03875fa88068191535e65e6ee9a0fa23
global_step=19280 | return=-146.86 | steps=131 | track=9ce41643c35ae2354eaeaa8870f512f8
global_step=19344 | return=-85.03 | steps=159 | track=95d5659d15ee1303116a5e9b1bd0f256
global_step=19520 | return=-24.04 | steps=48 | track=b033a4f4103004408c2764df2502f5c1
global_step=19552 | return=174.28 | steps=86 | track=6f6280a11d85ad6d57fa8121b002af88
global_step=19680 | return=-146.30 | steps=130 | track=7be1579b0202bde95f0a335c9ca1df5c
global_step=19968 | return=-5.96 | steps=54 | track=dda54aa4db8c051fe41c0d7880aff204
global_step=19984 | return=-61.92 | steps=53 | track=c69b3a8ce7db00e91bc103b6125536d9
global_step=19984 | return=-150.90 | steps=130 | track=b98a0bd40c9a91b6cf7447f6f2cbbd96
global_step=20000 | return=-146.20 | steps=131 | track=2544174989a88ddf04b80fb7d0965745
global_step=20192 | return=-151.41 | steps=131 | track=fd1a5a2626fd0ee6e90e7e22e264b099
global_step=20208 | return=-156.65 | steps=131 | track=cd2d59ea22b3097a688e38e350dd4430
global_step=20672 | return=20.38 | steps=71 | track=b6126d39214333846ef77b3816dec7cf
global_step=20736 | return=-54.50 | steps=47 | track=632c7ce8d83df9427ac36134d136df94
global_step=20736 | return=-15.64 | steps=65 | track=07678680b8cd8ec8cab20d99ef167e04
global_step=20832 | return=-149.77 | steps=131 | track=fe04ccb59b4d8283716d03e88ed4662c
global_step=20864 | return=-61.87 | steps=94 | track=abc40fce91a52ca724e88c5182cb3239
global_step=20880 | return=-149.91 | steps=131 | track=18dcf4e19bef005859c861c652cb8b30
global_step=20896 | return=-96.21 | steps=118 | track=863b0f3034f4f0fbab1552d53ced0594
global_step=21152 | return=-137.56 | steps=131 | track=8f49cdb339c46ffca9f5d17e77ddf296
global_step=21312 | return=19.49 | steps=68 | track=8efa8026bb64b405735dbcc36cf41a13
global_step=21392 | return=-143.62 | steps=131 | track=8d1ee8e03b96b5f19166e38221ca0c85
global_step=21664 | return=-144.78 | steps=131 | track=d3bcc1752b6c993c4830e78d0720743b
global_step=21808 | return=-7.72 | steps=66 | track=ff2084f435b0b7181d265e947ab481a8
global_step=21904 | return=-255.69 | steps=313 | track=b52ec0bcb56beebb0880ed54985c23dc
global_step=21952 | return=16.36 | steps=66 | track=80777ca1db1ecb9ceadace044a8c0ff8
global_step=21968 | return=-27.37 | steps=70 | track=d44db2215ae4289f2e5dee6f76d61668
global_step=22080 | return=-102.77 | steps=117 | track=1e0775198d0b8eed5649734891d7d57b
global_step=22096 | return=-156.01 | steps=131 | track=64d5d3566fdb5b5e684e7f9eabfc4500
global_step=22096 | return=-161.63 | steps=131 | track=eb0acb70793cb8e4f8003e53732f7fa8
global_step=22112 | return=-106.20 | steps=89 | track=88d0c28c289e9de69a7173e47986a366
global_step=22112 | return=-149.55 | steps=131 | track=79682ca97a38cc046020c101311b7d66
global_step=22192 | return=-26.40 | steps=64 | track=290df82e183a8ed653fa920616443b05
global_step=22256 | return=-20.55 | steps=86 | track=9e9bc0d4557f812646fa24ded3f496ad
global_step=22848 | return=-140.55 | steps=131 | track=1bf7232fa493d0e534ec41207e48c276
global_step=22848 | return=-69.88 | steps=45 | track=a6c64736fa2c5a6bde4a8071ffd21ef1
global_step=22960 | return=-47.55 | steps=102 | track=b9518c0fd51c7c8128a9c7c4cd04ff67
global_step=23008 | return=-146.59 | steps=131 | track=a4dfc765f7391ede1a079ed12bd4c2f4
global_step=23184 | return=-51.53 | steps=67 | track=994dc6f25bf4532cdc3267be525a6847
global_step=23504 | return=-141.51 | steps=131 | track=9bac5f8223586fa0f3f64fdb75cb1669
global_step=23552 | return=-109.12 | steps=89 | track=3f51abc6a4f3b45982221e211cc54659
global_step=23776 | return=-134.10 | steps=131 | track=399007f6bec912f81b4edc028a54c62c
global_step=23904 | return=-137.26 | steps=130 | track=be86b92f9c1699d517be9de33bcef156
global_step=24016 | return=-124.76 | steps=131 | track=371f53fc637ba8ae8039197f41609537
global_step=24048 | return=-164.18 | steps=130 | track=bd59ff928951cefa49f5d7396fac5906
global_step=24192 | return=-145.03 | steps=131 | track=0625a420edc67e2155f059cfa7e2d899
global_step=24304 | return=-139.56 | steps=131 | track=9ebd5598468e03a9de01556195513ba6
global_step=24368 | return=-146.61 | steps=131 | track=743566a753615fb90446bf1c1e7ae126
global_step=24736 | return=-184.36 | steps=172 | track=194ae3554c64627a0c4238999d83eca6
global_step=24960 | return=-146.72 | steps=131 | track=624b82b35e167f32bba6a34e466e4217
global_step=25024 | return=-112.89 | steps=135 | track=d83be830111b7338ebbd4ce788203356
global_step=25072 | return=-161.56 | steps=131 | track=c3004c3a4913e72885b91a5877028f6b
global_step=25120 | return=-147.36 | steps=131 | track=91f3521576a216a7049b8e84d53fa100
