/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.0_bud_90_04-08-13-42-33/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=6864 | return=-57.81 | steps=86 | track=6121a7d34b582b92ed7d76f02cc05cae
global_step=7248 | return=-155.64 | steps=131 | track=992313d3c8ae940ec0d54b92198fe3a6
global_step=7296 | return=1.69 | steps=64 | track=1e50338866b25b974b86422887e7bb0f
global_step=7328 | return=-148.41 | steps=131 | track=f557d40379f719b977d31eb33f09d55b
global_step=7424 | return=-148.24 | steps=131 | track=12842d49a2199c06ce0cde52f6ccf471
global_step=7600 | return=-112.75 | steps=143 | track=17bde23ea04d8b8f4ab9aefa2e6fd10f
global_step=7600 | return=-141.47 | steps=131 | track=bd2f0e1a36c029433138fbf9f520dceb
global_step=7744 | return=-154.55 | steps=131 | track=33c482f4dadda132b1e74ab529aebf3b
global_step=7920 | return=5.87 | steps=76 | track=ec8da0e193f4ced27e8d6670cd7fe736
global_step=8112 | return=-141.69 | steps=131 | track=9f1e4196443df91a35faf9f2a8e5bf87
global_step=8368 | return=-44.76 | steps=47 | track=c3827aa87dcb947fb1406baddaa1a246
global_step=8736 | return=-139.60 | steps=130 | track=1f126be0b6f5b12eb8a5744122c382b9
global_step=8784 | return=-25.51 | steps=153 | track=2c21e40a4d87a7cc9df9e09e8d959738
global_step=8800 | return=-155.92 | steps=130 | track=e99c8d3ca7156d11b3fb4b0798a8000d
global_step=8832 | return=-147.05 | steps=130 | track=c4501af6763fd58cc50408a0a16604ab
global_step=8976 | return=-143.47 | steps=131 | track=d393e1fbf198ec361d86477c450b0287
global_step=9360 | return=-149.19 | steps=131 | track=28a436548816cf247305afe461c8aace
global_step=9408 | return=-140.72 | steps=131 | track=dd1e39a6256f3b618dbd7d6300de2dd9
global_step=9440 | return=-151.20 | steps=131 | track=4cee0ab0a9f28523601a3a0c991deee2
global_step=9472 | return=-96.79 | steps=127 | track=78cc84528f9e803a836f532540da5f40
global_step=9488 | return=-69.68 | steps=40 | track=e8373d76d3da28ef88d5102561b21bb6
global_step=9744 | return=-193.50 | steps=213 | track=704c5e8b8d6d498076c2d985e2c04ad4
global_step=9936 | return=14.11 | steps=70 | track=79b0a4f8d84a553e32fa57568eb73e21
global_step=9952 | return=-71.44 | steps=146 | track=c718e1725f73f1db49fb47e4efe7d050
global_step=10016 | return=-27.56 | steps=79 | track=924062fb14be55801a88685e113811bd
global_step=10032 | return=-153.78 | steps=131 | track=8c4cfbc950376276dc05e67571ab8cfe
global_step=10048 | return=-100.36 | steps=143 | track=43905509b1b2024ed340def2aab853c2
global_step=10208 | return=-33.94 | steps=45 | track=e63451897c496b6100e463ce2264669c
global_step=10448 | return=-78.32 | steps=145 | track=a923838e9d84aa69eb85a4e5d1e5a77e
global_step=10480 | return=-124.36 | steps=131 | track=1d73435142856ea8b08046794d8b25b0
global_step=10528 | return=7.75 | steps=64 | track=5423ef1939965a1dd12872f81738f624
global_step=10560 | return=2.45 | steps=69 | track=d13562397e06f0765917b7c0f91dd4ca
global_step=10672 | return=-269.32 | steps=474 | track=ae3ba15b47f1a5857dc8b3fc8730bfb0
