/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.9_bud_90_04-08-13-42-33/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=7040 | return=-109.33 | steps=133 | track=8a3d212e1c8a63f1e9e94c8f2565f39c
global_step=7056 | return=-146.69 | steps=131 | track=73ec460792c77a4ce9fdc0e7fe7b1291
global_step=7392 | return=-154.43 | steps=130 | track=d959cd138166cca6961398e13d2e10a9
global_step=7408 | return=-140.99 | steps=131 | track=47dcef6d68ae56ed0d1fdd01b553eeec
global_step=7536 | return=-66.72 | steps=195 | track=0a6b340dd39046faf593502a7b98b79e
global_step=7696 | return=-137.74 | steps=131 | track=8967b64905e70972ef907442fc88cd1f
global_step=7776 | return=-156.48 | steps=131 | track=af25dbc90b2170af796f4672ad26cc43
global_step=7792 | return=-154.00 | steps=131 | track=0e2c3bbec3341a3d7f916179bdd9473c
global_step=7936 | return=-111.07 | steps=88 | track=567c6469a81798bce814d55b1f9cc33e
global_step=8032 | return=-76.85 | steps=146 | track=d8b3dadcb7ffe69a42a5142c5de89db8
global_step=8416 | return=-172.32 | steps=131 | track=fbf961a7400f0ada5e76938116f41519
global_step=8432 | return=-139.74 | steps=131 | track=b704491bbc77548244858d343b25c083
global_step=8448 | return=-143.24 | steps=131 | track=10547ac4de4f8252ce2051d8c831e087
global_step=8512 | return=-138.86 | steps=130 | track=145225554040b559e01917e76347903b
global_step=8528 | return=-51.93 | steps=46 | track=b4fef852bdff7a7bb79a968a770757a1
global_step=9168 | return=-147.55 | steps=131 | track=5caf79f6d5cb8f6ad04b8ece320f28e4
global_step=9216 | return=-45.88 | steps=42 | track=ed024cd929fafc99891f61e9ccaf1b7b
global_step=9408 | return=10.48 | steps=91 | track=287496d766bff31fb4c0c5164dca1bdd
global_step=9504 | return=-91.74 | steps=61 | track=b5ae00a2b6547897e3cfe3115ac27302
global_step=9520 | return=-143.15 | steps=131 | track=97d7f6e2defc0d0334de9949cce9ebb6
global_step=9552 | return=-115.60 | steps=109 | track=6dd34b2e763974eb79e33a3fb9ca9d78
global_step=9600 | return=-114.36 | steps=405 | track=0bc8aefd925bb06b598e50b2af66d790
global_step=9648 | return=-143.75 | steps=131 | track=71261a552fea647343153d267ebfb904
global_step=9920 | return=-54.66 | steps=93 | track=fe7d03ebca3e37d583ba9ad21dc52e13
global_step=10144 | return=-154.90 | steps=131 | track=24ed4038c4b0427ab879bb3343a1c444
global_step=10272 | return=-92.77 | steps=160 | track=30895def9a52622ab5f8f73bb4735621
global_step=10368 | return=-173.47 | steps=207 | track=548404245d230b52f71deb631bebed7e
global_step=10560 | return=-137.30 | steps=131 | track=2b0c6d4e51542e6e6f007425b347e979
global_step=10672 | return=28.08 | steps=286 | track=686817f157d1111c5e367d93900ec8ec
global_step=10864 | return=-95.07 | steps=151 | track=383bea78f861387112cdd0dcfb1aae8c
global_step=11152 | return=-112.30 | steps=108 | track=52f5474cbafff7ec1a49d50ff84824ad
global_step=11232 | return=-120.94 | steps=101 | track=b53b9e584bfb0dfbf1a94a4664313a7d
global_step=11280 | return=-144.90 | steps=131 | track=92b4f2b0f7787a47769fa269ee23c56c
global_step=11328 | return=-134.98 | steps=131 | track=17075c4e58c2f2f377bcab63bce92fdc
global_step=11536 | return=-32.16 | steps=117 | track=08bc35a63a751eb208014fc00b50ff63
global_step=11632 | return=-136.93 | steps=131 | track=5df5cfc27080c141977d5ca106ead00b
global_step=11648 | return=-161.86 | steps=130 | track=c34e8f0991429812749b334fb0c82db4
global_step=11824 | return=-153.24 | steps=276 | track=488f12bf0a557039c7056fdbf365756b
global_step=12016 | return=-150.60 | steps=130 | track=8d8a8adf54291606c277f93c5735e74b
global_step=12256 | return=-138.21 | steps=131 | track=083018b08bfd5e55e2bd6fb40330f8aa
global_step=12384 | return=-144.41 | steps=131 | track=e4381f116fa08df18b2e7caffa8726e1
