/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.7_bud_90_04-08-13-42-30/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=7360 | return=-157.63 | steps=131 | track=2816751321c8294acdcd4404326d2a4b
global_step=7440 | return=-29.10 | steps=54 | track=c44f9e3728bc28e532722221bc0d5b2d
global_step=7472 | return=-146.20 | steps=131 | track=d07e8fef887e6ed66fb787dad36a73aa
global_step=7520 | return=-179.07 | steps=339 | track=6e6d57ae8df83d0fa46f6ed7056f68f9
global_step=7760 | return=-141.72 | steps=131 | track=8641307f4996400ae5ac9e2293d7d4fd
global_step=7872 | return=-125.60 | steps=131 | track=8bb72a6484217cb22eb2c2eaa895b61a
global_step=7968 | return=5.94 | steps=64 | track=ed8fc5fdb1b823ec46488188924325e2
global_step=8096 | return=-124.14 | steps=105 | track=d9abc9e123c89674d45fef49b8f34fdf
global_step=8416 | return=-132.96 | steps=131 | track=3398892f08ba3128515002fbb2bf1112
global_step=8608 | return=-98.83 | steps=143 | track=41b97d928b0a1932ec2959d854ab2677
global_step=8640 | return=-151.87 | steps=131 | track=f5f4900292af2d0e1db6927730e35c9b
global_step=8960 | return=-140.10 | steps=130 | track=84016a55e70efb210257d3c6513982a1
global_step=8960 | return=-110.28 | steps=89 | track=5260f2128f19fd7561d523cd2ad32a9e
global_step=9088 | return=-68.48 | steps=41 | track=f039b33a40e93f96b6670191250b9e7a
global_step=9280 | return=-60.17 | steps=112 | track=fd12d47ad73bb4735eaf928290e27db6
global_step=9360 | return=-147.60 | steps=131 | track=938c589841ca10a15a14072b7e0a75a1
global_step=9424 | return=-155.20 | steps=131 | track=dc58b9ab9752a3900e9f8da5099341be
global_step=9440 | return=10.18 | steps=168 | track=17a50a8cc793c3b64754900443fdfd5c
global_step=9472 | return=-158.97 | steps=131 | track=4c3f077d5f899772225242e808786c94
global_step=9488 | return=-97.80 | steps=146 | track=cfbe2fc9b8e3931606c64280e8a502bb
global_step=9536 | return=-151.29 | steps=130 | track=3d1ac296ca7c92eabbe09dbb792c0dba
global_step=9984 | return=-150.16 | steps=131 | track=6877ff19b7a0e0043091503626133849
global_step=9984 | return=-18.81 | steps=63 | track=65122e7fa5af6bebba9baae280d30d79
global_step=10048 | return=-142.09 | steps=129 | track=10d7cc68ff4ba9ae0b971f46202e07eb
global_step=10208 | return=-147.25 | steps=131 | track=8566dbf53d3eddecf8a950421a95f968
global_step=10432 | return=-33.30 | steps=91 | track=f0978824ca0f65034a645c39b15c459e
global_step=10528 | return=21.04 | steps=67 | track=417dee588a895795067dfa43f221d713
global_step=10656 | return=-23.84 | steps=72 | track=29933cda22320950b684deb931347023
global_step=10752 | return=-143.16 | steps=131 | track=c338513f68b9435ba9a23c49529b3ed8
