/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.8_bud_90_04-08-13-42-32/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=7168 | return=-63.00 | steps=122 | track=e2988932f88e25b84e1f15c2c7c9846b
global_step=7408 | return=-140.44 | steps=131 | track=8e8f365e03737610cbe56343c011a016
global_step=7488 | return=-6.26 | steps=78 | track=63e126cc8f2c8fbdd2401430019d5979
global_step=7520 | return=-159.28 | steps=132 | track=d06a2ff7907cfe6da8bdac082e34f482
global_step=7568 | return=-161.39 | steps=130 | track=cbda16d8890b0e9f7844b6bd55e1e244
global_step=7872 | return=-154.84 | steps=131 | track=cfd0ec62924f41e110b5f6614f0d5a42
global_step=7904 | return=-134.43 | steps=131 | track=3f1343abb141a745ae12519cf6683651
global_step=7936 | return=-133.90 | steps=130 | track=e8a0849fec3f89a88c57153a904b13ca
global_step=7984 | return=-84.49 | steps=50 | track=2734b46ca8087ac083e529f15f2b4d40
global_step=8016 | return=-67.04 | steps=236 | track=5deeec87a4af99d499d83c48e15f6cc2
global_step=8176 | return=-87.81 | steps=117 | track=cf74dc17ce32f634d08bb6c712180d8c
global_step=8592 | return=-138.15 | steps=131 | track=8755e0db3a4cc526b57ad25bb0c7bed4
global_step=8672 | return=-87.57 | steps=121 | track=96659435efd1ff0159529056888c008d
global_step=8944 | return=-157.63 | steps=131 | track=5210bfb2d7967f1d76405cd3c0b36777
global_step=9040 | return=-25.21 | steps=63 | track=67f5f0b1c2e1c71d6f486d977ed28370
global_step=9184 | return=-147.80 | steps=130 | track=74f3a429cbf504e0410b897c142fd11b
global_step=9440 | return=-78.53 | steps=47 | track=aeaf1cf6e6f4b0c1c5556eec99b0e0d5
global_step=9520 | return=-144.13 | steps=131 | track=8c63effd31baf134c082bfa39491efba
global_step=9632 | return=-144.28 | steps=131 | track=bb033e6307954ea2883a953e8799947d
global_step=9984 | return=-144.95 | steps=131 | track=436f2e138d0a0eadad7fe95d65bc8076
global_step=10016 | return=-143.80 | steps=131 | track=08692998ab702baabf68ef380d3fd725
global_step=10032 | return=-149.18 | steps=130 | track=8b173565b25e2fb02396c8bf0b28b9dc
global_step=10272 | return=-143.93 | steps=130 | track=6be068a884c7de1f36a03beb7fe913a8
global_step=10576 | return=-2.44 | steps=65 | track=1f5f971965b11f359f8572ec774ae22c
global_step=10656 | return=-63.67 | steps=75 | track=41cc4c554e4bb8241e32d22f0b7d37e8
global_step=10896 | return=-10.48 | steps=212 | track=235c43251590822619cbc8b89ee7b933
global_step=10976 | return=-67.29 | steps=148 | track=2f883414ba63cb63099e7218bba7c0b7
global_step=11040 | return=9.05 | steps=65 | track=2bfd40a6cd77609d4e1cd970da6a70d2
global_step=11040 | return=-112.23 | steps=216 | track=858ac5a60af621e573a2df0e9c1fd6e4
global_step=11056 | return=-148.85 | steps=131 | track=668dc0efbf51dff1f4a6fbe478b49026
global_step=11152 | return=-139.57 | steps=131 | track=1f93cc34932c4cd7e728c4f506e9517c
global_step=11296 | return=-138.59 | steps=131 | track=b0322594dc05893e39a0e0e00a638a7a
global_step=11456 | return=2.93 | steps=318 | track=ff287ced212ddac5fdde8845adc68643
global_step=11616 | return=-58.43 | steps=419 | track=183832640b48c318e426ed05d08a65a7
global_step=11680 | return=-165.92 | steps=230 | track=9cf48b1b186327f9b414301f0d44d30a
global_step=11712 | return=10.90 | steps=70 | track=a96e4fd95bf33aa47db70a341424b1b6
global_step=11744 | return=-149.61 | steps=131 | track=4d62d50e7edbaca0b71a10d2b1a3861d
global_step=11984 | return=-66.09 | steps=51 | track=1091653c7404141e158b89fe9237e2b3
global_step=12096 | return=9.01 | steps=65 | track=7037ee59a8b5be69ae52f35f45e14b11
global_step=12128 | return=-165.86 | steps=130 | track=7389f17aca661c7a57e33b0209b2c44a
global_step=12128 | return=-147.60 | steps=131 | track=ba70dc342361ee4f06b7da4b0eb0e050
global_step=12368 | return=-139.82 | steps=130 | track=0d168ddcae592c6877b28b83f0df8a44
global_step=12400 | return=-17.86 | steps=48 | track=dd242cd103e9fa7189bc8e0891e332ce
global_step=12416 | return=-101.66 | steps=94 | track=bbe294fa7c43f7c31c97c6185cdbcb14
global_step=12448 | return=-79.70 | steps=71 | track=7bd5bacfcf6d50db27150ca4e756b9bb
global_step=12720 | return=-72.60 | steps=108 | track=0c8e108cf80a9aea07cdcd91eeea9dba
global_step=12768 | return=-144.86 | steps=131 | track=f0fb818fbadeb32d378a587e94b36fd5
global_step=13008 | return=6.49 | steps=54 | track=87321aeb4e5dddd490c85b571154910c
global_step=13168 | return=-129.26 | steps=131 | track=d0a40bb77da67b317a3973cbfe4a0b16
global_step=13568 | return=-144.59 | steps=131 | track=1e63fb0a1f89a2912cebf6f6a7fff697
global_step=13696 | return=-32.99 | steps=60 | track=2104404ced8bddfab260689cb61604b3
global_step=13776 | return=-38.56 | steps=47 | track=a9cd4ccc9945b2f700a5426bc836a9a8
global_step=13792 | return=-137.37 | steps=131 | track=f2ae5cb9fe4f5b2df69ec02163e9355e
global_step=13824 | return=-153.35 | steps=131 | track=06a10eb34cb1e3dc06d2138129eea233
global_step=14000 | return=-22.82 | steps=76 | track=515055b05a5e7af6b9a91b63e4e5b738
global_step=14096 | return=-137.77 | steps=131 | track=ce0027db4c3a14e8b6bbc6f9825558ae
global_step=14288 | return=-120.18 | steps=134 | track=26c377ed0154ea4dbf7f7d45b0f2420d
global_step=14464 | return=-147.42 | steps=130 | track=eb8f390fc83bcb40907f10dfbc15a4c0
global_step=14480 | return=-77.52 | steps=148 | track=62257c4d5a861d7dc59834ca830fc72f
global_step=14528 | return=-146.77 | steps=131 | track=2d35ff98d5ae178fde979c7f4e7823e5
global_step=14560 | return=-156.60 | steps=131 | track=d43ca8d0bbeaf61c55d098119756bbd3
global_step=14848 | return=203.77 | steps=104 | track=13a6323321ddf0a8ef0ad5fa15fc6b4a
global_step=14992 | return=-37.92 | steps=61 | track=6b54ac5319d27e53960dbc5fedac605b
global_step=15024 | return=-104.75 | steps=82 | track=fb82ab416fa619c94c06db319ed41804
global_step=15104 | return=-18.93 | steps=62 | track=4661246d0a3208f7bdc913ce9640a92d
global_step=15136 | return=-142.22 | steps=255 | track=5a4c1f6c0eadfdf1851dab2e2165c858
global_step=15344 | return=-61.46 | steps=110 | track=483834dbf8dbc89b23a05bba4ce3febe
global_step=15456 | return=-114.30 | steps=231 | track=fdb9e0fbb1c80c422da14948d041d722
global_step=15680 | return=-50.96 | steps=117 | track=6787a26b2083d142a6924bc8ec0eda04
global_step=15696 | return=-55.11 | steps=52 | track=d9528c75c1f4eefdf38ba5b89685a366
global_step=15776 | return=-64.04 | steps=46 | track=720a18708de709a2b64c64dc8dc4c92c
global_step=15872 | return=-138.60 | steps=130 | track=ddb1856321a168d40ad4794e10e27a20
global_step=16096 | return=-69.98 | steps=97 | track=2752018bad91eab69dee8df05c19c7ce
global_step=16096 | return=-43.76 | steps=46 | track=ac7846b297fd8b8fffed8b48d3a88b1c
global_step=16112 | return=-220.24 | steps=231 | track=501afe514eefa71c2e41dfe835762eae
global_step=16272 | return=-57.69 | steps=112 | track=756ae9cbd77502275b0eba25822916c3
global_step=16272 | return=21.47 | steps=70 | track=836132dc30125f71bacac65a116e17da
global_step=16384, SPS=86
global_step=16400 | return=-148.66 | steps=131 | track=86a8b7e878de6c6ef16aa9afe3bda42b
global_step=16592 | return=-128.14 | steps=131 | track=1902e0170c50db178bdd95841b216e76
global_step=16656 | return=-132.69 | steps=130 | track=5d71479097385ae7930fabb21d597f66
global_step=16656 | return=-83.47 | steps=48 | track=d0f13b2f4c6668da547f992aca372281
global_step=16784 | return=-139.40 | steps=111 | track=2ccd6e3a4451a37fc0c0ffb05b6b56e7
global_step=16944 | return=-31.66 | steps=52 | track=4ed1369c8fbf2e00963922142be975d9
global_step=16976 | return=-60.72 | steps=43 | track=ddecca960fe3aa05b2bf7a7e0c407095
global_step=17216 | return=-136.45 | steps=131 | track=f384fa23086cfe793f247583329549ba
global_step=17344 | return=-224.10 | steps=219 | track=1ab6a1cd6cdceffa6883d39b226b9962
global_step=17360 | return=5.86 | steps=67 | track=b85d1ec00bcf44cbe25cd53e6e31057c
