/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.9_bud_90_04-08-13-45-38/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=6800 | return=15.20 | steps=65 | track=46af844b169da23aad894ebc1a5476d4
global_step=7152 | return=-139.44 | steps=131 | track=96f9ae0a3c025728572542ca78d3bbec
global_step=7216 | return=-13.34 | steps=63 | track=81891f9ddd88eecb26e868117a0d5926
global_step=7248 | return=-138.69 | steps=131 | track=4ae5ba4ff4e514edb5c3e94911fe8d7f
global_step=7264 | return=-114.32 | steps=102 | track=8af77c62ac2b5169d1c8197bcfba0d22
global_step=7456 | return=-141.43 | steps=131 | track=50e5322233738867bb737b8ac1ebb7b3
global_step=7696 | return=-153.00 | steps=131 | track=53bd02c3f9ce489fccb27327002c7bdf
global_step=7728 | return=33.81 | steps=67 | track=69296804301323f53210c5dea42196d6
global_step=7776 | return=-68.13 | steps=118 | track=53e4ea181421e44b21df81cfa1f4cef0
global_step=7952 | return=-129.63 | steps=131 | track=30f1014015e7158d0ad9f24a8c7ad1d3
global_step=7968 | return=-146.80 | steps=130 | track=e3e8c29ff1e2aa086fcfa38662c24d66
global_step=7984 | return=-147.34 | steps=131 | track=d09d98572de37ed25f97e409c75af269
global_step=8288 | return=-67.06 | steps=122 | track=18f095ae4a6ab2c758bd760ad88ae370
global_step=8416 | return=-134.50 | steps=131 | track=6a7b8dacfe49a04038ebbeee3cb01935
global_step=8816 | return=-140.38 | steps=132 | track=677159b73baa54231c3da0d3e195696f
global_step=9104 | return=-40.78 | steps=143 | track=575e2b2a0a85a3f6286a3b5a03b4715b
global_step=9232 | return=-146.23 | steps=129 | track=97ab58cfd2ca101bb1ec583898fbba2d
global_step=9328 | return=-146.25 | steps=131 | track=9238249542e4d16b49d9215d2a3d04ac
global_step=9360 | return=-145.81 | steps=131 | track=dfa3f1c82250db80a2f19cd7e5c265ad
global_step=9504 | return=-174.21 | steps=198 | track=1acd06bc012e5af60a569b6fdd354d9c
global_step=9568 | return=-159.11 | steps=131 | track=a1992afd3a9d53909fa3074411f2f93c
global_step=9872 | return=-139.66 | steps=130 | track=d80d43299c20910fa577dea1c5609532
global_step=10128 | return=19.61 | steps=133 | track=e26dc77b14674586bb5ecab812aa2577
global_step=10128 | return=-55.24 | steps=178 | track=fd788c695f615c8bdd8c9ec34a5f36ff
global_step=10176 | return=-91.95 | steps=58 | track=094ed70cb4fa152ca9297b6838639f85
global_step=10384 | return=-144.95 | steps=130 | track=228b52ab8105e09cfdaa61ee57e286ef
global_step=10416 | return=-28.12 | steps=152 | track=830630abe883327e7168a90dbeac5be0
global_step=10432 | return=6.91 | steps=66 | track=09910dfc031d37b4b8829ca223e6ceb1
global_step=10528 | return=-152.50 | steps=131 | track=0c7ce8ab0b473be7643b211457584937
global_step=10576 | return=-3.21 | steps=62 | track=3c7f32d2b2c9665bbe2bc33a1644e377
global_step=10928 | return=-164.41 | steps=131 | track=9bce951989b47bfbcd65930dee689ed3
global_step=10960 | return=-115.16 | steps=203 | track=47162fe816e62df37461e51f6fc81920
global_step=11184 | return=-146.83 | steps=201 | track=3afaebabfa70dbc73658bab5d456517f
global_step=11440 | return=-142.26 | steps=131 | track=ba4425ca77fbd809b9ce1fcd3ad99ecc
global_step=11616 | return=-156.41 | steps=131 | track=1d5c2aa9aaea0e3b04d5a71804d888c9
global_step=11632 | return=-63.93 | steps=93 | track=b24cb2fade132be81ea2f4c216b50ccc
global_step=11632 | return=-12.07 | steps=65 | track=296d07a150a13118e83f38fb8d3d15cc
global_step=11728 | return=-34.71 | steps=163 | track=e2fbae6c54caf0f22b68a3f1568d3019
global_step=11744 | return=-171.16 | steps=250 | track=1737ea06488e398cb888df83c75ed953
global_step=11872 | return=-68.54 | steps=92 | track=390eaad7cc4e64a8ab71221086cad0e3
global_step=12032 | return=12.48 | steps=66 | track=d2752ddfd15a5ae606bbb8f8f0e02157
global_step=12272 | return=-162.28 | steps=130 | track=c0cd9f22a91407925873809ae7555d09
global_step=12288 | return=-52.64 | steps=150 | track=691eab9ee66fd35347d9591dbc18423a
global_step=12528 | return=-146.73 | steps=131 | track=0f23cc5fb8db544c728a722d8f67dbe9
global_step=12528 | return=-152.92 | steps=130 | track=7ba3262cc5fa987fe7070226c64007b0
global_step=12640 | return=-148.39 | steps=131 | track=a350ae3817862fd26d44e19cb517ed01
global_step=13040 | return=-139.53 | steps=131 | track=1bf98cc074a1ec3948b1ae8fbd02ed92
global_step=13296 | return=-154.29 | steps=131 | track=88b557af89f8c96710ddb5b48d56f8ca
global_step=13552 | return=-138.61 | steps=131 | track=d34702de1df45d11354e0176b5c1f522
global_step=13632 | return=-189.05 | steps=218 | track=711668602c85c03d73ba08ec474c54bd
global_step=13728 | return=-158.40 | steps=130 | track=0a6350c0ff0196f6a7588c9e670c3c1e
global_step=13744 | return=-132.07 | steps=131 | track=6940f7a6c3385ef3068e64e28988eeaa
global_step=13776 | return=17.49 | steps=77 | track=9c27e9477b56d7c2a229ce57f62ecab5
global_step=13904 | return=-103.01 | steps=135 | track=5e294d6d6c9099b3ffaeba732e4565c3
global_step=14000 | return=-157.44 | steps=132 | track=ed61563cf0b3601c8a12715c395465b9
global_step=14224 | return=-30.44 | steps=154 | track=e1fb57b75fad8e2ccab431b608b78e4e
global_step=14240 | return=-138.95 | steps=137 | track=56dfc7e5145169b9c0fc02a301c64f32
global_step=14288 | return=-17.24 | steps=61 | track=ff4555deeb0050ed039155d807f81cb6
global_step=14384 | return=-148.08 | steps=130 | track=f9ec5e4e9b0d5bd89415109c2321cba3
global_step=14448 | return=-53.89 | steps=41 | track=0e9bda0e2b32a9a9b2cd33e0e166e9b5
global_step=14640 | return=-145.08 | steps=131 | track=f9abf5536157719646a5f7c01d0e034f
global_step=14752 | return=-144.71 | steps=131 | track=49af4166e76598ebf962fa24a723be8d
global_step=14768 | return=12.55 | steps=70 | track=890f791b26226f54aa4d6d246be05696
global_step=15008 | return=14.01 | steps=68 | track=33dbd131f99b74a19867ccd70da207fc
global_step=15152 | return=-127.67 | steps=131 | track=55d0d07220a20afd5528432f4f5f28d7
global_step=15152 | return=-55.62 | steps=47 | track=abbf03b33fad52a2c21dea13e26a95a4
global_step=15488 | return=11.63 | steps=64 | track=609adb92c6a8253e8733cb4c6d672750
global_step=15504 | return=3.99 | steps=75 | track=3972f9b2e13df243a09a9eaa14333c3a
global_step=15744 | return=-49.14 | steps=136 | track=86bf07752a71b765aab8f4ff30554b19
global_step=15824 | return=-137.24 | steps=130 | track=b30906c7f2cc1215f847061ba1d7ce1b
global_step=15856 | return=-115.68 | steps=131 | track=615984c9db23893c86b1847647d55103
global_step=15872 | return=-156.14 | steps=224 | track=1748b9bb9d795204b312e33c8ffa99c4
global_step=16064 | return=18.42 | steps=65 | track=99a2cd07b320e0c685abfe5b7a816bbe
global_step=16336 | return=-138.27 | steps=131 | track=17d8921aeda2e0ec5636ed43dfe47efd
global_step=16352 | return=-139.19 | steps=131 | track=f31daabd31305ee2c72973f553ac74b2
