/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.1_bud_90_04-08-13-45-39/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=6848 | return=14.01 | steps=63 | track=91f52cc3ecd01f7fd1d92d6f145e87c3
global_step=7072 | return=-62.38 | steps=47 | track=23ef72b988e3a4d2f6dce076eb07a3cc
global_step=7120 | return=-134.25 | steps=131 | track=7e2524e3dbf6580fb66f8a20511e73eb
global_step=7344 | return=-140.23 | steps=130 | track=9bec3eb0754425ea65de7ed9e0769866
global_step=7424 | return=-140.30 | steps=131 | track=740c543da76575aa09df410b2c51680a
global_step=7488 | return=-140.10 | steps=131 | track=ada7e8e8cdeb16fad5faf2e20ef44976
global_step=7600 | return=-144.00 | steps=130 | track=d8059a8150298bd69a7afef5f4582efe
global_step=7968 | return=-140.68 | steps=130 | track=88f673aa81c7ae3805f478186fc5e356
global_step=8224 | return=-108.33 | steps=109 | track=c8e9ba8da34006d78dab1e144af9b28c
global_step=8384 | return=-146.14 | steps=131 | track=43e2a6c990fe6e6d4033724ce0b1cb38
global_step=8400 | return=-101.57 | steps=131 | track=579e339fc8ad9fe11abb5455e5306249
global_step=8400 | return=-144.38 | steps=131 | track=b2f827edef92d5bc067d8b09d5e57584
global_step=8496 | return=28.16 | steps=71 | track=ece565e6ddf95456d80698cf2e88223b
global_step=8592 | return=-19.63 | steps=91 | track=436b4d3b184c9c7186102113d5de1511
global_step=8672 | return=-9.29 | steps=66 | track=0fa269b7eb4b626b406b3a4f7e36d296
global_step=8736 | return=-245.35 | steps=283 | track=716d319b3e68b2e67ee351285c422402
global_step=8912 | return=-194.58 | steps=179 | track=06697ebbaf1341f5e4a6297f209d5922
global_step=9184 | return=-147.41 | steps=131 | track=ecc1cd916ecfb20828e679ee35ed8956
global_step=9472 | return=6.83 | steps=66 | track=57a8fa6ae6ace92436d6812197e0b455
global_step=9584 | return=-132.94 | steps=130 | track=0d40c66fca2010480acee251d70dae71
global_step=9664 | return=8.11 | steps=66 | track=73e449d9cdf477189ebe1029ed013c16
global_step=9664 | return=41.77 | steps=175 | track=0136575c243de55191a8ba627648e760
global_step=9920 | return=-111.16 | steps=262 | track=3e234b7ad8798583b8a844d68d8fd3a9
global_step=10336 | return=-124.05 | steps=131 | track=d0ef224be75f5a03bf82cde1204063fd
global_step=10432 | return=-48.69 | steps=153 | track=4e8c7b521225d3d3d59d4b905231ee9a
global_step=10480 | return=-6.73 | steps=62 | track=4c84b3873e4f8b8b3678b439df162a53
global_step=10496 | return=-136.60 | steps=130 | track=e87b017f8bdc06e033b13377eadd54a6
global_step=10752 | return=-110.20 | steps=129 | track=56c8a88450388b1fa44c17a1bdfe6b44
global_step=10816 | return=-77.27 | steps=118 | track=2751d0973f63fe54e349bb9d15c74ef3
global_step=11088 | return=-94.81 | steps=146 | track=5bcd8d211d180780158361484926365d
global_step=11104 | return=-178.93 | steps=229 | track=b1945681cce2dd4e30a81ccca17f8e6c
global_step=11392 | return=7.72 | steps=65 | track=528f15f623b68039fb0b0fe0ae6e1a8d
