/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.2_bud_90_04-08-13-45-41/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=6448 | return=-19.37 | steps=72 | track=d8c4ece0b246c4cc438adbcb1c31d203
global_step=6512 | return=-50.16 | steps=56 | track=47ae12c0b24bc8febd4430bcb9a52fbe
global_step=6656 | return=-145.07 | steps=131 | track=104f58be591eec81086dc29a892c113c
global_step=7200 | return=-149.40 | steps=131 | track=3db926d9adad27e590fd9a47858712d0
global_step=7216 | return=-155.87 | steps=130 | track=6bba47de472b65ad4e28f0bad9ed8d34
global_step=7296 | return=-157.56 | steps=130 | track=c7354b2d313aeab8750edf10eb4bd91f
global_step=7360 | return=-9.81 | steps=64 | track=e11743aa060d3e1b4f6382024e2d4b24
global_step=7376 | return=-9.00 | steps=57 | track=543f86cbaa6400a92d2d4aeaf1dad7f0
global_step=7408 | return=-121.55 | steps=135 | track=2dfdbfe747f122b05e9ab107f9cef980
global_step=7472 | return=-151.20 | steps=130 | track=8f6a063253cbf50ecdecd34116d95a21
global_step=7520 | return=-148.35 | steps=131 | track=adf4bf0284fc1ab43f50c735f9fd7c00
global_step=7776 | return=-87.73 | steps=141 | track=9e955f9b65ffde771d52ff5278479d72
global_step=7936 | return=-143.02 | steps=167 | track=f793c1b5f72d62896757c2d7f7145195
global_step=8000 | return=-128.81 | steps=174 | track=12f6424847d5aa4347d07a1ad613d20c
global_step=8320 | return=-104.78 | steps=197 | track=c776c2cb3d9f4bd78b2c528527348d80
global_step=8368 | return=-38.67 | steps=61 | track=498a1181ae0c3bfd2e348687d312f3aa
global_step=8512 | return=-134.93 | steps=131 | track=31dce537dc5b4f113bf780d115eeb0ce
global_step=8592 | return=2.45 | steps=69 | track=feb75809a1dd276d050fb58dea192aa9
global_step=8592 | return=-121.77 | steps=185 | track=47c452fa734a3d31b46ffd85f0c67f13
global_step=8608 | return=-168.38 | steps=130 | track=523ddc9eec93bf644c359150bbdab775
global_step=8752 | return=-115.50 | steps=96 | track=14629b26914793acfdca44a1d8796384
global_step=8784 | return=5.11 | steps=85 | track=5953cc8a2f2072f97f1daa7205213c62
global_step=9328 | return=-149.29 | steps=131 | track=8c2feefba50816f205676a0af1c37441
global_step=9360 | return=-77.41 | steps=46 | track=1de88cd5d180b610c194252600e7cd96
global_step=9408 | return=70.50 | steps=171 | track=6efd23cc57db9e96de2b1dcd318ad677
global_step=9472 | return=-149.91 | steps=131 | track=40831ee413f599b52660e7e6a1fda652
global_step=9568 | return=58.89 | steps=111 | track=6c1ad8005292c72dae6260b411fba27c
global_step=9616 | return=-148.79 | steps=130 | track=b067367f75a3c89bb16e81bc8b39616e
global_step=9696 | return=-119.38 | steps=105 | track=e2f15c1752daef9e13f3c4235065a17b
global_step=9696 | return=-85.89 | steps=149 | track=fa7a130946812f67b32d3b616266373f
global_step=9840 | return=19.82 | steps=65 | track=c607266aebc2e7426affa47af04e0eb3
global_step=10432 | return=-139.56 | steps=131 | track=e4be2d54647ee216ed16dcce2c650339
global_step=10496 | return=-151.45 | steps=132 | track=9544708180e18717d0d919c693f83305
global_step=10608 | return=-144.42 | steps=130 | track=489aec4bfe5bd853fcc4b04aa676e50f
global_step=10608 | return=1.76 | steps=64 | track=53c8838244d390e6736b1a7b43d4b4cf
global_step=10704 | return=-161.51 | steps=131 | track=3a25f4bc4e4eef712f58af7f43f9aac2
global_step=10704 | return=-146.00 | steps=131 | track=7bbb9e604089f5e61cab855c233ff7ca
global_step=10832 | return=41.12 | steps=70 | track=28d09ed1f6cd3f83f39655eaef87e0f7
global_step=10944 | return=34.67 | steps=68 | track=b3bd07d0a3daa7a157b32b25d68f306a
global_step=11104 | return=-83.46 | steps=146 | track=0279e8fd7ee2d338ea10f79d3e695d7e
global_step=11168 | return=-69.82 | steps=201 | track=83ff1154f3f103542209d23ad3446c4d
global_step=11200 | return=-53.31 | steps=93 | track=3bf706e63589a9958817b9cf18c74f1e
global_step=11440 | return=-150.15 | steps=131 | track=522690dc76a1bfd6a279e9af5d399730
global_step=11472 | return=-143.06 | steps=131 | track=3304fd5c445e356de27091ec3951d2e0
global_step=11584 | return=-140.83 | steps=131 | track=264ab67da126e4bfd6fd15fffadb5a8d
global_step=11696 | return=2.50 | steps=67 | track=edde1597688067a15168e3b9a9e6d275
global_step=11712 | return=-37.65 | steps=62 | track=7366fc054ed007fdf700004109f957c9
global_step=11728 | return=-160.28 | steps=131 | track=7d0a99f30c7e193430a8b6fe3703c7d9
global_step=12592 | return=-106.75 | steps=130 | track=aeb497c3484d6b19674019748b50123b
global_step=12704 | return=-139.79 | steps=130 | track=f24367261ce774c3d585d1dc0bae6bed
global_step=12800 | return=-145.10 | steps=130 | track=727c9ac20a3303a835e8483b76f77b10
global_step=12944 | return=-139.38 | steps=131 | track=037039c0970dc5f44b576dcb2851a92d
global_step=13008 | return=-83.08 | steps=160 | track=4d4a039a1392b2c494673ab42d24b6d8
global_step=13056 | return=-142.94 | steps=131 | track=10149fad04e92201055068ff1fb3293d
global_step=13216 | return=-132.99 | steps=131 | track=dd71f9c294be56effa108d08a9275608
global_step=13280 | return=-131.81 | steps=131 | track=cd0a213052038354e38f92b57f3b5a01
global_step=13312 | return=-146.96 | steps=131 | track=9cbe068d0a219e8fbb679cabd81142ac
global_step=13552 | return=-115.24 | steps=131 | track=8deb4f7f8736a937509d78ece0f1b59f
global_step=13584 | return=-149.16 | steps=131 | track=5dbc000be8009dcbd6e605e966ed49d3
global_step=13696 | return=-151.24 | steps=131 | track=a6d29f143771eaabc5bcb0c4b4c9e5f2
global_step=13760 | return=-50.55 | steps=271 | track=278ce5cf32d37b4f3e53d58845d69547
global_step=13824 | return=-140.42 | steps=131 | track=807dede3ac79feb2074365310a111964
global_step=13840 | return=-149.38 | steps=131 | track=9615185a6c453dbd6444804df31fb958
global_step=14704 | return=-155.38 | steps=131 | track=50d2ce28d45fd51962b45c9dca44159c
global_step=14800 | return=-163.62 | steps=130 | track=daf3a5520bc79edc49bc68e419ac1369
global_step=14816 | return=-31.37 | steps=76 | track=00dcc5f0179df4c480f34a2b018c580d
global_step=15056 | return=-166.52 | steps=131 | track=510a6cb336a6456044dbc38a5a261d21
global_step=15152 | return=60.86 | steps=133 | track=8160ad2d4b71246dca8238ca9f603f1b
global_step=15168 | return=-150.77 | steps=131 | track=d372b0b50717b099769ac985d1a12e26
global_step=15216 | return=-30.64 | steps=150 | track=12176dc8490b357541c63879840f5bed
global_step=15328 | return=-154.16 | steps=131 | track=dc4dfaf1a86e2217837bc246107eef6b
global_step=15392 | return=-143.20 | steps=131 | track=705e80dc5fb0dd0609da17faaad9696e
global_step=15424 | return=-146.41 | steps=131 | track=730c36b78bde00652820f136427095a4
global_step=15664 | return=-156.93 | steps=131 | track=13deb28fc649183e0342737631f0f65a
global_step=15808 | return=-127.40 | steps=131 | track=a43a0d64baff8083dd571990a77c2a32
global_step=15856 | return=-117.59 | steps=130 | track=a324a50f53b05fb65fd65a28149fe330
global_step=15936 | return=-145.00 | steps=131 | track=69349ba3886a99b7b5a8679781c5305a
global_step=15952 | return=-142.26 | steps=131 | track=745a327bc71d41f32431f58aff8a2b80
global_step=16112 | return=-14.37 | steps=65 | track=fe828343e2cdb77b4b3fc7d589c2e731
global_step=16288 | return=73.69 | steps=286 | track=b2457495a3c72bc1ebd957da3e8c0081
global_step=16384, SPS=72
global_step=16432 | return=-109.48 | steps=101 | track=14b6fb904abd093ca452e566689d2d7d
global_step=16928 | return=-138.82 | steps=131 | track=bd365b6e71426f12b88eb16d46fb30f5
global_step=17264 | return=-138.63 | steps=131 | track=8c69181c5a67f2ece577b31ba422e5ab
global_step=17264 | return=-13.43 | steps=81 | track=6bd77b94d387a04cd09c853ef97e30e7
global_step=17280 | return=-133.33 | steps=131 | track=7f6643c8b3dfb161bd76661c8e5daf69
global_step=17456 | return=-43.36 | steps=111 | track=4e416c4b90e4566dd8c5fbe9bb6763a0
global_step=17504 | return=-149.25 | steps=131 | track=745a44e657e37d8f7d3edb604fab20f2
global_step=17536 | return=-143.95 | steps=131 | track=bb6f3400ab1cde948497d77de722f740
