/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_WO_Time_Pen_fc_1.7_bud_180_04-08-14-41-57/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Env: CarRacing_VarFramerate_WO_Time_Pen  Wrapper: AdaptiveFPS_TrackAware_Wrapper
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=7400 | return=-93.85 | steps=131 | track=06e1bd01257631f49dce2736b67c1b16
global_step=7640 | return=-82.17 | steps=131 | track=c37f16075e8bd1bd14400e91a0191da5
global_step=7648 | return=-102.16 | steps=131 | track=d08910c23b0de152f11a60727acb2025
global_step=7808 | return=-89.29 | steps=86 | track=bf298046d56963bbef40e63edf30d0c0
global_step=8120 | return=-91.10 | steps=131 | track=d0af41d521b0681d01b64e2864530665
global_step=8184 | return=52.37 | steps=67 | track=170ccae5d474add27a36b42c0b7aea7e
global_step=8192, SPS=33
global_step=8248 | return=-52.59 | steps=131 | track=a5e3de9ccf6465d267c7d7b5e4c25cf8
global_step=8376 | return=-81.36 | steps=131 | track=28414bf86338294017df4b879c319a35
global_step=8456 | return=-99.17 | steps=131 | track=045a2df84615a23ab79b2e7fb66c8d49
global_step=8488 | return=27.77 | steps=276 | track=4b5be811d781579d33eaccdc339f7da0
global_step=8640 | return=17.38 | steps=123 | track=5164f3bc3e47c1da0af9d699c293c693
global_step=8712 | return=-60.76 | steps=57 | track=7d79f5e6120b503681129dadbb9e7332
global_step=8864 | return=-96.84 | steps=131 | track=4f3600de6a0277a23193b5883a663362
global_step=9032 | return=34.02 | steps=81 | track=720530ad9cfdb6fb83a2c847a34fc60c
global_step=9176 | return=-80.83 | steps=131 | track=e7f9d0843789a1915a0032452b899d58
global_step=9240 | return=-112.50 | steps=131 | track=3e0f2cd5fce4fc1abda83e4078cb09c2
global_step=9280 | return=23.16 | steps=70 | track=3b6aec8eb54001f7e291bcc7d3542cb9
global_step=9536 | return=-93.84 | steps=130 | track=7743697cdb14ae10e88a673ce79e4ecf
global_step=9696 | return=-95.32 | steps=131 | track=8e1f9ef6d8564aa55ca2d26c2840f23a
global_step=9920 | return=-67.92 | steps=131 | track=15a9fb61793e2f3191a53de8f8c83a96
global_step=10096 | return=-93.18 | steps=132 | track=2b672b82bb8b14f67105d1ae3165656b
global_step=10232 | return=-99.58 | steps=131 | track=f4cd9d2c11a6f07c8cacee538ecde3d3
global_step=10232 | return=32.23 | steps=66 | track=19c10da42dbd35afb1c5b1996a3a0cb9
global_step=10288 | return=-111.29 | steps=228 | track=7366a03a0edfad7175344bf23383bce2
global_step=10336 | return=-93.97 | steps=131 | track=f0cc7086e43dfe24d74466e02704ed00
global_step=10552 | return=8.95 | steps=163 | track=fd978eb206b92a65dec748fb15af943b
global_step=10584 | return=-106.68 | steps=130 | track=29d749efb09d6f361b247be0e154ba30
global_step=10592 | return=-37.10 | steps=44 | track=42fe9c4ac8b75de97606496aaa49f0c9
