/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_WO_Time_Pen_fc_2.0_bud_180_04-08-14-41-59/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Env: CarRacing_VarFramerate_WO_Time_Pen  Wrapper: AdaptiveFPS_TrackAware_Wrapper
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=6888 | return=-80.86 | steps=131 | track=0fc49325805fa8b2c4475c91014e03c8
global_step=6904 | return=-103.11 | steps=131 | track=b6c0042eaf02abb8230fe2e34cad9bbb
global_step=6992 | return=-95.65 | steps=131 | track=b6657ee0d4f867350a93e9ad3e700bf6
global_step=7240 | return=1.14 | steps=133 | track=9d28634fce7e7782ca92a9e4367af757
global_step=7408 | return=-89.68 | steps=131 | track=ccc2ab5d7d74a9ff2a7d6a472e208b91
global_step=7488 | return=-32.40 | steps=109 | track=dbde5dde97401c3c9a18d7fc9af37f1a
global_step=7616 | return=-51.73 | steps=46 | track=dea8119faf2c9f88f9dee54983ffa3af
global_step=7792 | return=-48.69 | steps=47 | track=457044e8cbe3640606f042f04ea16de0
global_step=7880 | return=-90.71 | steps=131 | track=1f74526e8c3db09a27250291100cfb2b
global_step=7936 | return=-101.57 | steps=130 | track=81ed0d2de726b07bac32d2cef64ba621
global_step=8048 | return=-85.80 | steps=131 | track=1d596ca18ece231a3afc43d2d16efd6e
global_step=8080 | return=-13.41 | steps=146 | track=6cc308a73ad853a37b960086a724bcbb
global_step=8144 | return=31.85 | steps=65 | track=18f0afae7ab64c7a016fc642fe599b9b
global_step=8184 | return=-33.76 | steps=48 | track=db53b426d7b2d12117b1855c9b1ca875
global_step=8192, SPS=41
global_step=8544 | return=-91.78 | steps=131 | track=ef0e49fe3aa2cb83d3b33aef6ee2dda1
global_step=8600 | return=46.61 | steps=68 | track=591dee023dec47f1e5298f72d7cf6825
global_step=8936 | return=-100.63 | steps=131 | track=4d6adb4dff4da178e436c529801a8b26
global_step=8992 | return=-93.29 | steps=131 | track=4290548749a9eea58fa4525a3488f88f
global_step=9056 | return=-34.89 | steps=63 | track=c0ca43d0bd135b5aa12ea38be82fd6c6
global_step=9120 | return=-64.31 | steps=129 | track=e05ae71af0d76d0c46893b3f3950bbc5
global_step=9216 | return=-109.09 | steps=348 | track=5222aa61f822e9ed98af8f64d5d424f9
global_step=9248 | return=-102.98 | steps=132 | track=fb525afcf8604358b76ae838b5c1136a
global_step=9384 | return=9.81 | steps=154 | track=6bdac1d7b92f21a9d64a99e15de16e03
global_step=9624 | return=-0.48 | steps=70 | track=740ec503149bb505d3771c4c163b10be
global_step=9656 | return=-98.24 | steps=131 | track=8d1807d976f0e3e21fb9b5f3be95b7a2
global_step=9712 | return=-41.42 | steps=57 | track=18157a9257e023b4defb5169ac1a4a96
global_step=9720 | return=-76.02 | steps=97 | track=36350a572cdb77dd73ef3481a728e8f2
global_step=9816 | return=-55.40 | steps=74 | track=f455193e209297f57e14b249308adf1a
global_step=10032 | return=-45.16 | steps=113 | track=ef79154ffa334215b8eeb0263f6bb98e
global_step=10048 | return=-103.28 | steps=131 | track=a1bbb06e2dae0b0fd802a42e8ab43576
global_step=10352 | return=0.88 | steps=78 | track=bc45c3cb79cdcf0149748b22d060d1ea
global_step=10440 | return=-95.41 | steps=131 | track=b56278085625de89d9fa57b27f3fc315
global_step=10664 | return=-79.75 | steps=129 | track=a63231996f7ac1ed8ee81987808c61e8
global_step=10712 | return=-96.11 | steps=131 | track=57d468079d3f4474c8aa3c44ac5d38b0
global_step=10776 | return=-110.71 | steps=132 | track=a02ba1f46956a899c31488610231fa33
global_step=10872 | return=-84.60 | steps=131 | track=3a82697a8921d4eeae1485a9eba6f008
global_step=11088 | return=-99.76 | steps=131 | track=2fabe9dcdf611057d4d6c656a1742408
global_step=11096 | return=-86.78 | steps=130 | track=e6b20549939c4184bfc99150beec4a33
global_step=11184 | return=38.68 | steps=64 | track=1466202b71fc626987dff34de8fef716
global_step=11400 | return=-110.14 | steps=130 | track=0ec5f7abfdc3ccdd675f290cde9f966d
global_step=11496 | return=-80.64 | steps=131 | track=7c6494f77707dc28c8188901ab883469
global_step=11768 | return=22.26 | steps=83 | track=55d81ded3a57c5e283e2ffafbba8cd9f
global_step=11832 | return=-114.77 | steps=131 | track=b1b275d2184a29f13da6ecd343a828f3
global_step=11936 | return=-35.60 | steps=93 | track=ea8a0530b8b5ae3cba4399f9a2120a97
global_step=11936 | return=-91.63 | steps=132 | track=82369b2f29cee9199d28300d9ee1f568
global_step=11960 | return=63.33 | steps=69 | track=26625f6b1ff81f12c4171f2af633d1da
global_step=12104 | return=15.68 | steps=75 | track=efcf74f2595af2f58c7c3d37a043a877
global_step=12144 | return=-86.66 | steps=131 | track=46e6349485e545324a243874d6acd084
global_step=12208 | return=-38.35 | steps=46 | track=ba7d1c4cffaf58e59a49e7d7b5840ae4
global_step=12448 | return=173.13 | steps=216 | track=7c70740fc4749ca5cd7eb56cc74dceee
global_step=12816 | return=-92.98 | steps=130 | track=efb21bc02d41b30208ddcc8567a2d8c2
global_step=12904 | return=-92.95 | steps=99 | track=f82e863c978cc3bca71018b909182332
global_step=12992 | return=-96.93 | steps=131 | track=1df837c0dd87344067a357a1e5f0aca7
global_step=13008 | return=-92.68 | steps=130 | track=e15f5720ac5bcfe9f87d1910c669948d
global_step=13200 | return=-96.86 | steps=131 | track=67233dd41ea65be6429a9ed8057859aa
global_step=13264 | return=-94.24 | steps=131 | track=e197b507413f664843665d089e015d52
