/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_WO_Time_Pen_fc_1.8_bud_180_04-08-14-41-57/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Env: CarRacing_VarFramerate_WO_Time_Pen  Wrapper: AdaptiveFPS_TrackAware_Wrapper
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=6736 | return=-89.99 | steps=131 | track=b581207b753810a2c71fc4ee7fafe2a3
global_step=6888 | return=-84.77 | steps=131 | track=46d146c107e0736dff72a0826f16c9c4
global_step=6936 | return=-108.67 | steps=131 | track=d437c1e9c4a070a4c5c9d1014bfc26dc
global_step=7064 | return=-37.76 | steps=48 | track=2f8f4dbc46567c82a1968efb43e848cd
global_step=7072 | return=55.87 | steps=66 | track=6ec9b4f43c5ebe57ff50358cdd0ebc8e
global_step=7368 | return=-98.99 | steps=131 | track=c02f11c6461d8ba48016ffafcb0612fd
global_step=7392 | return=11.63 | steps=62 | track=613c0a6a5d6f1bbc952199c30cdd2846
global_step=7480 | return=-85.06 | steps=131 | track=39f5893322368931b87db4f4751b2e6f
global_step=7736 | return=-91.10 | steps=131 | track=d69056bad0193f23dfec77672ff52b06
global_step=7784 | return=-97.31 | steps=130 | track=f127be0d48ceb9137fb7fbde296cb43e
global_step=7784 | return=-109.00 | steps=88 | track=6741f744b10efb10cf241511d4f6b094
global_step=7880 | return=-67.30 | steps=101 | track=94c7bb4080e1ac9637d511481295eab9
global_step=8000 | return=-67.91 | steps=132 | track=a091eb4fcd54c3d85a5284eeb48ed7e9
global_step=8192, SPS=51
global_step=8424 | return=-92.68 | steps=131 | track=df1ba566fd978eac33d7174b78300c28
global_step=8448 | return=-90.38 | steps=131 | track=f45144c18586e10ab6ebae9f7e5c1beb
global_step=8536 | return=-90.00 | steps=131 | track=b91489d1e4b9fc5d1c5fd043518b57f1
global_step=8552 | return=60.73 | steps=68 | track=6ed50c264ffd9e0baccfd8bd80cd32b6
global_step=8840 | return=-74.68 | steps=131 | track=eed6d9a9b589c10e0d45bfdc77a482f0
global_step=8840 | return=-89.99 | steps=131 | track=09b0a39b018a0017d2c30147cef53e27
global_step=8888 | return=31.22 | steps=143 | track=dda8c2713fa62a702dc9be19cafdc766
global_step=9024 | return=39.56 | steps=74 | track=801a300cc580f0d7cb9a510309d02acc
global_step=9192 | return=-76.84 | steps=92 | track=3e729028a0a001a33036866229618254
global_step=9592 | return=-81.62 | steps=131 | track=6b53accb4ed58d7c6c36071c3c53c00c
global_step=9704 | return=-16.76 | steps=63 | track=bd7b53e0d63f16c275c8b80aae159919
global_step=9808 | return=-12.29 | steps=240 | track=5c914a2efa72410135d0e9d6db21ceac
global_step=9888 | return=-105.98 | steps=130 | track=b5e157fa3391992d81f63f76a8db99d4
global_step=9896 | return=-97.68 | steps=131 | track=45e8d1b0dc93359ab2232227878743a5
global_step=10080 | return=-96.89 | steps=131 | track=aa84248ff6bae60bccd9ca32b4be217a
global_step=10568 | return=-68.64 | steps=94 | track=e9f672c614bc885aadc8eb8e6a1d6d10
global_step=10616 | return=-80.27 | steps=113 | track=c80711549faf8c5276c5402a015e3407
global_step=10648 | return=-85.46 | steps=131 | track=4848aa29f162f19df497c23f542d6954
global_step=10680 | return=-24.13 | steps=265 | track=5138c3bb73e821a03dbf3bd5648ba7f4
global_step=10808 | return=-91.48 | steps=239 | track=a018a96c3de184c224c404d8d1bc52fa
global_step=10824 | return=7.14 | steps=116 | track=9326769cbdb9832b15361f6dfa9304b3
global_step=10952 | return=-85.22 | steps=131 | track=3d0ffd4992851e130a616fbcc1100d79
global_step=11144 | return=-88.40 | steps=132 | track=60bbeddcab4622ec4916e627e74da141
global_step=11328 | return=-20.89 | steps=64 | track=7e47b2aae68eeae08168e2508d5879f1
global_step=11432 | return=5.86 | steps=75 | track=d7150e0499503141ee9e503a21ae3773
global_step=11624 | return=-86.86 | steps=131 | track=8bcf607b2e4614900f77e055e24af5e1
global_step=11672 | return=-68.20 | steps=131 | track=32e2016bbf1614e09548028d091513e7
global_step=11704 | return=-93.29 | steps=131 | track=28a99896fcff856a623ab6a436f3ebed
global_step=11736 | return=-86.35 | steps=131 | track=6cb5ce9df82db5d27342120e8b167dab
global_step=11840 | return=-75.47 | steps=110 | track=2309b932e9f03ea3ce10fe1a6fe1af15
global_step=12200 | return=-88.41 | steps=131 | track=59c4114ba2c6c9970790e59c10d19f3f
global_step=12256 | return=-28.47 | steps=51 | track=5cf8bae971b0b9345f1d6cadc7feb3e9
global_step=12384 | return=-90.71 | steps=131 | track=97325cf71adb0c21b439ebba5b5791ff
global_step=12488 | return=-86.11 | steps=131 | track=6617d54744545235003570e3faf93663
global_step=12528 | return=-87.67 | steps=98 | track=89f9d7e49952f65c2a6cdc1a45408db7
global_step=12728 | return=-87.25 | steps=131 | track=ad460027218cfe58ea0801ea588512df
global_step=12760 | return=-71.06 | steps=141 | track=c4963c2ed2b2182773d81173a5e2fb0a
global_step=12760 | return=-83.78 | steps=131 | track=afc6fb48128477f172f3f43822b32bfc
global_step=12912 | return=18.61 | steps=65 | track=76d7eddf21c4e4abe370928c1fc1cb6d
global_step=13096 | return=-4.40 | steps=75 | track=f0ffcde874dd742efb087b5b8a68fcd1
global_step=13256 | return=-97.10 | steps=131 | track=3001071c2bc0294b11f5d1cf43d0fb61
global_step=13304 | return=-59.40 | steps=130 | track=b8dde8ff82e10c85e41371d523842606
global_step=13320 | return=27.78 | steps=69 | track=95e1a5cd0f9fca2b9ccce336c725973e
global_step=13320 | return=64.67 | steps=73 | track=5b06cf521639b0607a1136a5867ccd51
global_step=13472 | return=-69.88 | steps=88 | track=80b656655edb4723a143ae7d0d28f1af
global_step=13576 | return=-100.64 | steps=130 | track=afb22a347cd6152d6d2555f49a151d72
global_step=13968 | return=-91.79 | steps=131 | track=f3a0de86c5001a061eb2d2846a2143ab
global_step=14144 | return=-87.20 | steps=130 | track=43abd4582ab2f94187c76cc325034c4f
global_step=14312 | return=-91.33 | steps=131 | track=7c7f4139f03d3bcc475ccde2cb3759aa
global_step=14352 | return=-101.36 | steps=130 | track=d0c4ea6298fccc1acc1ee8c881a0cf2c
global_step=14376 | return=-96.97 | steps=131 | track=a93648ac3f5f58aec80dc4195422d813
global_step=14376 | return=-91.28 | steps=131 | track=a4abf673e0488f1e426f167b3e399e8f
global_step=14632 | return=-28.79 | steps=144 | track=945eef584be67b8cd16f7a3bc25fd34a
