/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_WO_Time_Pen_fc_2.1_bud_180_04-08-14-42-01/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Env: CarRacing_VarFramerate_WO_Time_Pen  Wrapper: AdaptiveFPS_TrackAware_Wrapper
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=7160 | return=-97.88 | steps=131 | track=1022baf0e57c8bfefa87d6dd01514607
global_step=7352 | return=-116.71 | steps=131 | track=b03b1f2036bdfa4acf11b337b2c11202
global_step=7392 | return=-103.35 | steps=131 | track=62b71741980b52bdef8f16c5bd4ec134
global_step=7432 | return=-60.10 | steps=130 | track=ee284b2a448fb56f681c9f8fac8ec857
global_step=7576 | return=-97.67 | steps=131 | track=cff63538a9421a333ecf4efb71198ef7
global_step=7856 | return=-16.67 | steps=62 | track=ff956abe2447c55ed46979c9707bc6cf
global_step=7904 | return=34.60 | steps=63 | track=3010a21c4601f1203ae06708b4eb0143
global_step=7984 | return=-95.14 | steps=131 | track=4430bb577adf0cb3ea94d23513525f16
global_step=8104 | return=-94.71 | steps=131 | track=28c01954ac554d4ac0c995266c55607a
global_step=8192, SPS=41
global_step=8216 | return=-96.67 | steps=131 | track=a118aa3bf98c57cab4c14d9e07d08460
global_step=8320 | return=-3.11 | steps=153 | track=68d327323efdb219ffcc6b9dd1f9e907
global_step=8344 | return=-4.69 | steps=60 | track=45b6f5cb091f6fd8cc63e411dfecc428
global_step=8488 | return=-102.20 | steps=131 | track=0cf9391b711e96ab60903c705d8fbfa9
global_step=8632 | return=-97.41 | steps=131 | track=659bfe114c7a4ce04ac5aa2d48205ed7
global_step=8704 | return=-69.94 | steps=89 | track=4fe16cd7a55fd62163943e3f2058b243
global_step=8936 | return=-42.70 | steps=89 | track=509a4ad85aeb75aa22cbfc52535241cd
global_step=8960 | return=-99.40 | steps=131 | track=1b9f6017e6cec8ddb993d181c4e053ea
global_step=9168 | return=-51.06 | steps=132 | track=ca93d1881a41eb1fd67f2c14d6bf4b7c
global_step=9392 | return=-90.13 | steps=130 | track=b09d8f307d63b7bb8abca9e19982dddc
global_step=9496 | return=-15.95 | steps=146 | track=d9943c1faeaac76f5879270dee4dae9d
global_step=9688 | return=-78.29 | steps=131 | track=ceb4963f27e522654227aeab49245093
global_step=9728 | return=-31.90 | steps=41 | track=81a6f490b2c95e39b20663da358106e6
global_step=9760 | return=-99.89 | steps=131 | track=20b400f09793590e02ad5574b3c79114
global_step=9992 | return=-82.65 | steps=131 | track=ce84d92d8b4efe90cb8fb1a93fd82ce4
global_step=10224 | return=-98.95 | steps=131 | track=3b36c489e1337125319196491c063b77
global_step=10280 | return=-124.56 | steps=223 | track=89d33ecfedc609a7ca6130acb1c12ff5
global_step=10280 | return=161.71 | steps=164 | track=76cadb03d2de07f7af43078167e12abe
global_step=10288 | return=-86.38 | steps=98 | track=3f05890a88a8332a10e864e19de4a770
global_step=10456 | return=-25.96 | steps=95 | track=be1e6066be5b73731e54d8bbdf7f3d50
global_step=10656 | return=-52.89 | steps=45 | track=88baeba92cd5276de136411a542c9f39
global_step=10784 | return=-94.95 | steps=131 | track=427294690dcdd2f490ecc6c1c0bec7aa
global_step=10808 | return=-109.54 | steps=130 | track=74f93d7c665233faaf5a4b2cf77b93e2
global_step=10944 | return=-70.04 | steps=89 | track=8ae154fceea477053e638e8cfdf79546
global_step=10960 | return=-24.01 | steps=62 | track=598ee3299047891375fae195ffed0b89
